year,regtyp,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Urban regions,Yes,0.07438,670,7863,0.06858,0.08018
1999,Urban regions,No,0.64828,7193,7863,0.63773,0.65884
1999,Rural regions,Yes,0.05290,273,4423,0.04631,0.05950
1999,Rural regions,No,0.68981,4150,4423,0.67618,0.70345
2000,Urban regions,Yes,0.07853,1409,13712,0.07403,0.08303
2000,Urban regions,No,0.64135,12303,13712,0.63332,0.64938
2000,Rural regions,Yes,0.05016,461,7626,0.04526,0.05506
2000,Rural regions,No,0.69582,7165,7626,0.68549,0.70614
2001,Urban regions,Yes,0.07863,1252,12444,0.07390,0.08336
2001,Urban regions,No,0.63683,11192,12444,0.62838,0.64528
2001,Rural regions,Yes,0.05446,467,6940,0.04912,0.05980
2001,Rural regions,No,0.69876,6473,6940,0.68797,0.70956
2002,Urban regions,Yes,0.08411,1614,12705,0.07928,0.08893
2002,Urban regions,No,0.64043,11091,12705,0.63208,0.64877
2002,Rural regions,Yes,0.05819,578,6857,0.05265,0.06373
2002,Rural regions,No,0.69728,6279,6857,0.68641,0.70816
2003,Urban regions,Yes,0.08397,1567,12266,0.07907,0.08888
2003,Urban regions,No,0.63839,10699,12266,0.62988,0.64689
2003,Rural regions,Yes,0.06107,573,6571,0.05528,0.06686
2003,Rural regions,No,0.69511,5998,6571,0.68398,0.70624
2004,Urban regions,Yes,0.09079,1639,11922,0.08563,0.09595
2004,Urban regions,No,0.63515,10283,11922,0.62651,0.64379
2004,Rural regions,Yes,0.06554,600,6409,0.05948,0.07160
2004,Rural regions,No,0.69210,5809,6409,0.68080,0.70340
2005,Urban regions,Yes,0.10016,1657,11382,0.09464,0.10567
2005,Urban regions,No,0.63004,9725,11382,0.62117,0.63891
2005,Rural regions,Yes,0.07498,661,6114,0.06838,0.08158
2005,Rural regions,No,0.67720,5453,6114,0.66548,0.68892
2006,Urban regions,Yes,0.11124,2045,11964,0.10560,0.11687
2006,Urban regions,No,0.61266,9919,11964,0.60394,0.62139
2006,Rural regions,Yes,0.08872,821,6617,0.08186,0.09557
2006,Rural regions,No,0.65383,5796,6617,0.64236,0.66529
2007,Urban regions,Yes,0.12423,2092,11131,0.11810,0.13035
2007,Urban regions,No,0.59697,9039,11131,0.58786,0.60609
2007,Rural regions,Yes,0.09555,823,6185,0.08822,0.10287
2007,Rural regions,No,0.64729,5362,6185,0.63539,0.65920
2008,Urban regions,Yes,0.14752,2289,10585,0.14076,0.15428
2008,Urban regions,No,0.58474,8296,10585,0.57535,0.59412
2008,Rural regions,Yes,0.11644,903,5882,0.10824,0.12463
2008,Rural regions,No,0.64175,4979,5882,0.62950,0.65401
2010,Urban regions,Yes,0.16164,2948,13221,0.15536,0.16791
2010,Urban regions,No,0.57252,10273,13221,0.56408,0.58095
2010,Rural regions,Yes,0.12120,1270,7456,0.11379,0.12860
2010,Rural regions,No,0.63345,6186,7456,0.62251,0.64439
2011,Urban regions,Yes,0.15205,2686,11150,0.14539,0.15872
2011,Urban regions,No,0.50535,8464,11150,0.49607,0.51463
2011,Rural regions,Yes,0.11623,1172,6486,0.10843,0.12403
2011,Rural regions,No,0.55778,5314,6486,0.54569,0.56987
2012,Urban regions,Yes,0.17218,3631,14837,0.16611,0.17826
2012,Urban regions,No,0.54959,11206,14837,0.54159,0.55760
2012,Rural regions,Yes,0.13301,1721,9039,0.12601,0.14001
2012,Rural regions,No,0.62362,7318,9039,0.61363,0.63361
2013,Urban regions,Yes,0.15782,2754,10066,0.15069,0.16494
2013,Urban regions,No,0.43382,7312,10066,0.42414,0.44350
2013,Rural regions,Yes,0.13055,1232,6000,0.12203,0.13908
2013,Rural regions,No,0.52666,4768,6000,0.51403,0.53930
2014,Urban regions,Yes,0.18005,3603,15248,0.17395,0.18615
2014,Urban regions,No,0.54371,11645,15248,0.53580,0.55161
2014,Rural regions,Yes,0.16271,1763,8467,0.15485,0.17058
2014,Rural regions,No,0.59760,6704,8467,0.58716,0.60805
2016,Urban regions,Yes,0.16039,2938,13596,0.15422,0.16656
2016,Urban regions,No,0.55845,10658,13596,0.55011,0.56680
2016,Rural regions,Yes,0.14738,1406,7607,0.13941,0.15535
2016,Rural regions,No,0.60373,6201,7607,0.59274,0.61472
2018,Urban regions,Yes,0.16462,3135,14436,0.15857,0.17067
2018,Urban regions,No,0.55834,11301,14436,0.55024,0.56644
2018,Rural regions,Yes,0.15853,1651,8062,0.15056,0.16651
2018,Rural regions,No,0.59189,6411,8062,0.58116,0.60262
2020,Urban regions,Yes,0.16646,3266,14386,0.16037,0.17255
2020,Urban regions,No,0.54907,11120,14386,0.54093,0.55720
2020,Rural regions,Yes,0.15915,1573,7613,0.15094,0.16737
2020,Rural regions,No,0.58092,6040,7613,0.56984,0.59200
