year,age_gr,pgisced97,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,Pre-primary Level,No,0.71057,242,242,0.65332,0.76783
1999,17-29 y.,Primary Level,No,0.94836,46,46,0.88370,1.01302
1999,17-29 y.,Lower Secondary Level,No,0.91568,659,659,0.89445,0.93691
1999,17-29 y.,Upper Secondary Level,Yes,0.08383,93,1254,0.06848,0.09917
1999,17-29 y.,Upper Secondary Level,No,0.82976,1161,1254,0.80895,0.85058
1999,17-29 y.,Post-secondary Non-tertiary Level,No,0.88767,126,126,0.83231,0.94302
1999,17-29 y.,First Stage of Tertiary Education,No,0.78389,85,85,0.69588,0.87191
1999,17-29 y.,Second Stage of Tertiary Education,No,0.67100,97,97,0.57701,0.76499
1999,30-45 y.,Primary Level,No,0.96298,106,106,0.92687,0.99910
1999,30-45 y.,Lower Secondary Level,No,0.89257,417,417,0.86281,0.92232
1999,30-45 y.,Upper Secondary Level,Yes,0.08630,192,2312,0.07485,0.09775
1999,30-45 y.,Upper Secondary Level,No,0.81538,2120,2312,0.79956,0.83119
1999,30-45 y.,Post-secondary Non-tertiary Level,No,0.77007,204,204,0.71218,0.82795
1999,30-45 y.,First Stage of Tertiary Education,Yes,0.10514,35,291,0.06984,0.14044
1999,30-45 y.,First Stage of Tertiary Education,No,0.66076,256,291,0.60627,0.71525
1999,30-45 y.,Second Stage of Tertiary Education,Yes,0.11042,87,719,0.08749,0.13334
1999,30-45 y.,Second Stage of Tertiary Education,No,0.64532,632,719,0.61032,0.68031
1999,46-65 y.,Primary Level,No,0.98757,207,207,0.97244,1.00270
1999,46-65 y.,Lower Secondary Level,No,0.90475,662,662,0.88237,0.92713
1999,46-65 y.,Upper Secondary Level,Yes,0.08897,155,1974,0.07641,0.10154
1999,46-65 y.,Upper Secondary Level,No,0.80320,1819,1974,0.78566,0.82074
1999,46-65 y.,Post-secondary Non-tertiary Level,No,0.52473,48,48,0.38196,0.66750
1999,46-65 y.,First Stage of Tertiary Education,No,0.75892,208,208,0.70065,0.81719
1999,46-65 y.,Second Stage of Tertiary Education,Yes,0.10821,58,534,0.08183,0.13458
1999,46-65 y.,Second Stage of Tertiary Education,No,0.58142,476,534,0.53954,0.62331
1999,66 and older,Lower Secondary Level,No,0.90823,505,505,0.88303,0.93344
1999,66 and older,Upper Secondary Level,Yes,0.07000,58,809,0.05240,0.08759
1999,66 and older,Upper Secondary Level,No,0.84442,751,809,0.81943,0.86942
1999,66 and older,First Stage of Tertiary Education,No,0.84633,71,71,0.76185,0.93082
1999,66 and older,Second Stage of Tertiary Education,No,0.61793,137,137,0.53626,0.69959
2000,17-29 y.,Pre-primary Level,No,0.75828,376,376,0.71495,0.80161
2000,17-29 y.,Primary Level,No,0.96490,67,67,0.92050,1.00930
2000,17-29 y.,Lower Secondary Level,Yes,0.03975,40,1024,0.02778,0.05173
2000,17-29 y.,Lower Secondary Level,No,0.92799,984,1024,0.91215,0.94383
2000,17-29 y.,Upper Secondary Level,Yes,0.07176,146,1973,0.06037,0.08316
2000,17-29 y.,Upper Secondary Level,No,0.83642,1827,1973,0.82009,0.85275
2000,17-29 y.,Post-secondary Non-tertiary Level,No,0.83802,278,278,0.79464,0.88141
2000,17-29 y.,First Stage of Tertiary Education,No,0.76052,163,163,0.69481,0.82624
2000,17-29 y.,Second Stage of Tertiary Education,Yes,0.14181,31,202,0.09358,0.19004
2000,17-29 y.,Second Stage of Tertiary Education,No,0.64150,171,202,0.57520,0.70780
2000,30-45 y.,Primary Level,No,0.95477,100,100,0.91383,0.99570
2000,30-45 y.,Lower Secondary Level,No,0.90414,546,546,0.87943,0.92886
2000,30-45 y.,Upper Secondary Level,Yes,0.08380,361,4087,0.07530,0.09229
2000,30-45 y.,Upper Secondary Level,No,0.81986,3726,4087,0.80808,0.83164
2000,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.10780,54,464,0.07955,0.13605
2000,30-45 y.,Post-secondary Non-tertiary Level,No,0.80246,410,464,0.76620,0.83873
2000,30-45 y.,First Stage of Tertiary Education,Yes,0.09094,71,668,0.06912,0.11276
2000,30-45 y.,First Stage of Tertiary Education,No,0.75717,597,668,0.72463,0.78972
2000,30-45 y.,Second Stage of Tertiary Education,Yes,0.11742,184,1266,0.09968,0.13516
2000,30-45 y.,Second Stage of Tertiary Education,No,0.61578,1082,1266,0.58898,0.64259
2000,46-65 y.,Primary Level,No,0.98370,164,164,0.96426,1.00314
2000,46-65 y.,Lower Secondary Level,Yes,0.04266,33,954,0.02983,0.05549
2000,46-65 y.,Lower Secondary Level,No,0.91552,921,954,0.89786,0.93317
2000,46-65 y.,Upper Secondary Level,Yes,0.10079,385,3874,0.09131,0.11027
2000,46-65 y.,Upper Secondary Level,No,0.79812,3489,3874,0.78548,0.81077
2000,46-65 y.,Post-secondary Non-tertiary Level,No,0.66280,133,133,0.58215,0.74345
2000,46-65 y.,First Stage of Tertiary Education,Yes,0.09878,66,571,0.07429,0.12328
2000,46-65 y.,First Stage of Tertiary Education,No,0.78026,505,571,0.74626,0.81425
2000,46-65 y.,Second Stage of Tertiary Education,Yes,0.12192,152,980,0.10143,0.14242
2000,46-65 y.,Second Stage of Tertiary Education,No,0.53469,828,980,0.50344,0.56593
2000,66 and older,Primary Level,No,0.95803,60,60,0.90686,1.00920
2000,66 and older,Lower Secondary Level,No,0.92366,848,848,0.90577,0.94154
2000,66 and older,Upper Secondary Level,Yes,0.06286,104,1747,0.05147,0.07424
2000,66 and older,Upper Secondary Level,No,0.87575,1643,1747,0.86027,0.89122
2000,66 and older,Post-secondary Non-tertiary Level,No,0.63477,64,64,0.51587,0.75367
2000,66 and older,First Stage of Tertiary Education,No,0.84212,203,203,0.79183,0.89240
2000,66 and older,Second Stage of Tertiary Education,Yes,0.13334,55,299,0.09474,0.17194
2000,66 and older,Second Stage of Tertiary Education,No,0.56065,244,299,0.50430,0.61700
2001,17-29 y.,Pre-primary Level,No,0.74215,410,410,0.69975,0.78454
2001,17-29 y.,Primary Level,No,0.95416,49,49,0.89499,1.01332
2001,17-29 y.,Lower Secondary Level,Yes,0.03709,35,911,0.02481,0.04937
2001,17-29 y.,Lower Secondary Level,No,0.92810,876,911,0.91131,0.94488
2001,17-29 y.,Upper Secondary Level,Yes,0.08219,141,1669,0.06901,0.09537
2001,17-29 y.,Upper Secondary Level,No,0.82045,1528,1669,0.80204,0.83887
2001,17-29 y.,Post-secondary Non-tertiary Level,No,0.85336,231,231,0.80765,0.89908
2001,17-29 y.,First Stage of Tertiary Education,No,0.76844,114,114,0.69066,0.84622
2001,17-29 y.,Second Stage of Tertiary Education,No,0.66518,155,155,0.59065,0.73972
2001,30-45 y.,Primary Level,No,0.95086,79,79,0.90289,0.99883
2001,30-45 y.,Lower Secondary Level,No,0.90983,470,470,0.88391,0.93576
2001,30-45 y.,Upper Secondary Level,Yes,0.09548,344,3660,0.08596,0.10500
2001,30-45 y.,Upper Secondary Level,No,0.81309,3316,3660,0.80046,0.82572
2001,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.12693,68,464,0.09661,0.15725
2001,30-45 y.,Post-secondary Non-tertiary Level,No,0.78665,396,464,0.74933,0.82397
2001,30-45 y.,First Stage of Tertiary Education,Yes,0.12904,79,608,0.10237,0.15572
2001,30-45 y.,First Stage of Tertiary Education,No,0.70375,529,608,0.66742,0.74007
2001,30-45 y.,Second Stage of Tertiary Education,Yes,0.13132,175,1119,0.11152,0.15112
2001,30-45 y.,Second Stage of Tertiary Education,No,0.60099,944,1119,0.57228,0.62969
2001,46-65 y.,Primary Level,No,0.98608,122,122,0.96521,1.00696
2001,46-65 y.,Lower Secondary Level,No,0.93617,774,774,0.91894,0.95341
2001,46-65 y.,Upper Secondary Level,Yes,0.09107,323,3580,0.08165,0.10050
2001,46-65 y.,Upper Secondary Level,No,0.80832,3257,3580,0.79542,0.82121
2001,46-65 y.,Post-secondary Non-tertiary Level,No,0.66966,140,140,0.59147,0.74785
2001,46-65 y.,First Stage of Tertiary Education,Yes,0.08365,52,515,0.05972,0.10759
2001,46-65 y.,First Stage of Tertiary Education,No,0.78519,463,515,0.74968,0.82069
2001,46-65 y.,Second Stage of Tertiary Education,Yes,0.10685,134,954,0.08723,0.12646
2001,46-65 y.,Second Stage of Tertiary Education,No,0.54273,820,954,0.51110,0.57436
2001,66 and older,Primary Level,No,0.98803,54,54,0.95875,1.01731
2001,66 and older,Lower Secondary Level,No,0.93437,756,756,0.91671,0.95203
