year,age_gr,regtyp,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,Urban regions,Yes,0.07108,116,1752,0.05905,0.08312
1999,17-29 y.,Urban regions,No,0.82501,1636,1752,0.80721,0.84281
1999,17-29 y.,Rural regions,Yes,0.08088,70,980,0.06380,0.09796
1999,17-29 y.,Rural regions,No,0.84385,910,980,0.82111,0.86659
1999,30-45 y.,Urban regions,Yes,0.09850,274,2698,0.08726,0.10975
1999,30-45 y.,Urban regions,No,0.75220,2424,2698,0.73591,0.76850
1999,30-45 y.,Rural regions,Yes,0.07376,103,1476,0.06042,0.08710
1999,30-45 y.,Rural regions,No,0.82095,1373,1476,0.80139,0.84052
1999,46-65 y.,Urban regions,Yes,0.09521,195,2340,0.08331,0.10710
1999,46-65 y.,Urban regions,No,0.75842,2145,2340,0.74108,0.77577
1999,46-65 y.,Rural regions,Yes,0.06662,80,1384,0.05348,0.07976
1999,46-65 y.,Rural regions,No,0.82993,1304,1384,0.81013,0.84973
1999,66 and older,Urban regions,Yes,0.08190,85,1073,0.06548,0.09831
1999,66 and older,Urban regions,No,0.81188,988,1073,0.78848,0.83527
1999,66 and older,Rural regions,No,0.89819,563,563,0.87318,0.92319
2000,17-29 y.,Urban regions,Yes,0.07492,207,2608,0.06482,0.08503
2000,17-29 y.,Urban regions,No,0.81493,2401,2608,0.80002,0.82983
2000,17-29 y.,Rural regions,Yes,0.05543,83,1552,0.04404,0.06682
2000,17-29 y.,Rural regions,No,0.86931,1469,1552,0.85253,0.88608
2000,30-45 y.,Urban regions,Yes,0.09764,514,4667,0.08912,0.10616
2000,30-45 y.,Urban regions,No,0.75889,4153,4667,0.74662,0.77117
2000,30-45 y.,Rural regions,Yes,0.07103,178,2497,0.06095,0.08111
2000,30-45 y.,Rural regions,No,0.81859,2319,2497,0.80347,0.83371
2000,46-65 y.,Urban regions,Yes,0.10880,500,4332,0.09953,0.11807
2000,46-65 y.,Urban regions,No,0.74081,3832,4332,0.72776,0.75386
2000,46-65 y.,Rural regions,Yes,0.07370,165,2389,0.06322,0.08418
2000,46-65 y.,Rural regions,No,0.81162,2224,2389,0.79593,0.82730
2000,66 and older,Urban regions,Yes,0.08341,188,2105,0.07159,0.09522
2000,66 and older,Urban regions,No,0.81355,1917,2105,0.79690,0.83019
2000,66 and older,Rural regions,Yes,0.03060,35,1188,0.02080,0.04040
2000,66 and older,Rural regions,No,0.91098,1153,1188,0.89478,0.92718
