"plh0180","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Hamburg","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Niedersachsen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Bremen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Hessen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Bayern","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Saarland","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Berlin","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Brandenburg","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Sachsen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","(noch) kein Abschluss","Thueringen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Schleswig-Holstein","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Hamburg","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Niedersachsen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Bremen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Nordrhein-Westfalen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Hessen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Baden-Wuerttemberg","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Bayern","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Saarland","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Berlin","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Brandenburg","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Sachsen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Hauptschulabschluss","Thueringen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Realschulabschluss","Schleswig-Holstein","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Realschulabschluss","Hamburg","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Realschulabschluss","Niedersachsen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Realschulabschluss","Bremen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Realschulabschluss","Nordrhein-Westfalen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Realschulabschluss","Hessen","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Realschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Realschulabschluss","Baden-Wuerttemberg","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Realschulabschluss","Bayern","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Realschulabschluss","Saarland","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Realschulabschluss","Berlin","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","2006","Realschulabschluss","Brandenburg","","","",""
