year,hhtyp,quintil_oecd_hh,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,1st Quintile,Yes,0.82019,873,1043,0.79687,0.84351
2015,Single-person household,1st Quintile,No,0.17099,170,1043,0.14813,0.19385
2015,Single-person household,2nd Quintile,Yes,0.85280,697,811,0.82839,0.87720
2015,Single-person household,2nd Quintile,No,0.13863,114,811,0.11483,0.16243
2015,Single-person household,3rd Quintile,Yes,0.86880,573,645,0.84273,0.89488
2015,Single-person household,3rd Quintile,No,0.11887,72,645,0.09388,0.14387
2015,Single-person household,4th Quintile,Yes,0.90070,510,566,0.87604,0.92536
2015,Single-person household,4th Quintile,No,0.09162,56,566,0.06783,0.11541
2015,Single-person household,5th Quintile,Yes,0.92051,493,534,0.89755,0.94348
2015,Single-person household,5th Quintile,No,0.07774,41,534,0.05501,0.10047
2015,Couple without children,1st Quintile,Yes,0.84326,436,501,0.81139,0.87513
2015,Couple without children,1st Quintile,No,0.14814,65,501,0.11700,0.17928
2015,Couple without children,2nd Quintile,Yes,0.91595,712,785,0.89653,0.93538
2015,Couple without children,2nd Quintile,No,0.07706,73,785,0.05839,0.09573
2015,Couple without children,3rd Quintile,Yes,0.94137,752,809,0.92517,0.95757
2015,Couple without children,3rd Quintile,No,0.05137,57,809,0.03615,0.06659
2015,Couple without children,4th Quintile,Yes,0.92974,868,937,0.91336,0.94611
2015,Couple without children,4th Quintile,No,0.06295,69,937,0.04739,0.07851
2015,Couple without children,5th Quintile,Yes,0.94364,1248,1325,0.93122,0.95606
2015,Couple without children,5th Quintile,No,0.05243,77,1325,0.04043,0.06444
2015,Single parent,1st Quintile,Yes,0.84744,632,734,0.82141,0.87347
2015,Single parent,1st Quintile,No,0.13265,102,734,0.10810,0.15721
2015,Single parent,2nd Quintile,Yes,0.85226,378,437,0.81895,0.88556
2015,Single parent,2nd Quintile,No,0.14314,59,437,0.11026,0.17601
2015,Single parent,3rd Quintile,Yes,0.87781,235,235,0.83585,0.91977
2015,Single parent,4th Quintile,Yes,0.87965,158,158,0.82875,0.93055
2015,Single parent,5th Quintile,Yes,0.96343,87,87,0.92375,1.00310
2015,Couple with children,1st Quintile,Yes,0.82946,950,1121,0.80743,0.85149
2015,Couple with children,1st Quintile,No,0.16007,171,1121,0.13860,0.18154
2015,Couple with children,2nd Quintile,Yes,0.87585,1099,1236,0.85746,0.89424
2015,Couple with children,2nd Quintile,No,0.12157,137,1236,0.10334,0.13979
2015,Couple with children,3rd Quintile,Yes,0.91815,1132,1212,0.90271,0.93359
2015,Couple with children,3rd Quintile,No,0.07360,80,1212,0.05889,0.08830
2015,Couple with children,4th Quintile,Yes,0.91558,1014,1085,0.89903,0.93213
2015,Couple with children,4th Quintile,No,0.07582,71,1085,0.06006,0.09157
