year,hhtyp,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,Yes,0.86536,3150,3604,0.85421,0.87650
2015,Single-person household,No,0.12645,454,3604,0.11560,0.13730
2015,Couple without children,Yes,0.92452,4016,4357,0.91668,0.93237
2015,Couple without children,No,0.06911,341,4357,0.06158,0.07664
2015,Single parent,Yes,0.86368,1491,1700,0.84737,0.88000
2015,Single parent,No,0.12578,209,1700,0.11001,0.14155
2015,Couple with children,Yes,0.89786,5117,5634,0.88995,0.90577
2015,Couple with children,No,0.09318,517,5634,0.08559,0.10077
2015,Multi-generational household,Yes,0.88105,119,119,0.82264,0.93946
2015,Other Combinations,Yes,0.85771,211,249,0.81423,0.90119
2015,Other Combinations,No,0.13483,38,249,0.09232,0.17734
2016,Single-person household,Yes,0.89776,3057,3379,0.88754,0.90797
2016,Single-person household,No,0.09220,322,3379,0.08245,0.10196
2016,Couple without children,Yes,0.95259,3879,4095,0.94608,0.95910
2016,Couple without children,No,0.04533,216,4095,0.03896,0.05171
2016,Single parent,Yes,0.88700,1372,1520,0.87107,0.90292
2016,Single parent,No,0.09980,148,1520,0.08472,0.11487
2016,Couple with children,Yes,0.92434,4653,4982,0.91700,0.93168
2016,Couple with children,No,0.06450,329,4982,0.05767,0.07132
2016,Multi-generational household,Yes,0.92245,97,97,0.86895,0.97596
2016,Other Combinations,Yes,0.87106,174,174,0.82111,0.92100
2017,Single-person household,Yes,0.89518,3476,3825,0.88547,0.90489
2017,Single-person household,No,0.09684,349,3825,0.08747,0.10621
2017,Couple without children,Yes,0.95690,4401,4609,0.95103,0.96276
2017,Couple without children,No,0.04160,208,4609,0.03583,0.04736
2017,Single parent,Yes,0.90451,1406,1538,0.88982,0.91921
2017,Single parent,No,0.08669,132,1538,0.07262,0.10075
2017,Couple with children,Yes,0.93404,5055,5313,0.92737,0.94072
2017,Couple with children,No,0.05181,258,5313,0.04585,0.05777
2017,Multi-generational household,Yes,0.90096,101,101,0.84241,0.95951
2017,Other Combinations,Yes,0.83982,238,238,0.79312,0.88651
2018,Single-person household,Yes,0.92011,3708,4016,0.91173,0.92850
2018,Single-person household,No,0.07064,308,4016,0.06271,0.07856
2018,Couple without children,Yes,0.96116,4367,4542,0.95554,0.96678
2018,Couple without children,No,0.03525,175,4542,0.02989,0.04061
2018,Single parent,Yes,0.91608,1415,1511,0.90209,0.93006
2018,Single parent,No,0.07178,96,1511,0.05876,0.08480
2018,Couple with children,Yes,0.93907,4780,5019,0.93245,0.94569
2018,Couple with children,No,0.04745,239,5019,0.04157,0.05333
2018,Multi-generational household,Yes,0.98185,114,114,0.95724,1.00647
2018,Other Combinations,Yes,0.89018,209,209,0.84769,0.93267
2019,Single-person household,Yes,0.82571,3021,3260,0.81269,0.83873
2019,Single-person household,No,0.06509,239,3260,0.05662,0.07356
2019,Couple without children,Yes,0.87256,3718,3865,0.86204,0.88307
2019,Couple without children,No,0.03116,147,3865,0.02568,0.03663
2019,Single parent,Yes,0.82507,1160,1233,0.80386,0.84629
2019,Single parent,No,0.06451,73,1233,0.05079,0.07823
2019,Couple with children,Yes,0.84662,3851,4014,0.83547,0.85777
2019,Couple with children,No,0.03548,163,4014,0.02975,0.04120
2019,Multi-generational household,Yes,0.90970,85,85,0.84840,0.97099
2019,Other Combinations,Yes,0.74756,151,151,0.67803,0.81708
2020,Single-person household,Yes,0.91534,4106,4592,0.90729,0.92339
2020,Single-person household,No,0.07213,486,4592,0.06465,0.07961
2020,Couple without children,Yes,0.95264,4762,5027,0.94677,0.95851
2020,Couple without children,No,0.04336,265,5027,0.03772,0.04899
2020,Single parent,Yes,0.89161,1232,1339,0.87496,0.90827
2020,Single parent,No,0.09471,107,1339,0.07902,0.11040
2020,Couple with children,Yes,0.92901,4604,4908,0.92182,0.93619
2020,Couple with children,No,0.05178,304,4908,0.04558,0.05798
2020,Multi-generational household,Yes,0.93457,107,107,0.88750,0.98165
2020,Other Combinations,Yes,0.87897,260,297,0.84182,0.91613
2020,Other Combinations,No,0.07046,37,297,0.04131,0.09962
2021,Single-person household,Yes,0.82492,2577,2798,0.81084,0.83901
2021,Single-person household,No,0.05872,221,2798,0.05001,0.06744
2021,Couple without children,Yes,0.87795,2982,3128,0.86648,0.88942
2021,Couple without children,No,0.03990,146,3128,0.03304,0.04676
2021,Single parent,Yes,0.80708,772,826,0.78015,0.83400
2021,Single parent,No,0.09221,54,826,0.07247,0.11196
2021,Couple with children,Yes,0.82398,2723,2884,0.81008,0.83788
2021,Couple with children,No,0.03932,161,2884,0.03223,0.04642
2021,Multi-generational household,Yes,0.81416,61,61,0.71573,0.91258
2021,Other Combinations,Yes,0.77460,206,206,0.71740,0.83180
2022,Single-person household,Yes,0.91599,5030,5559,0.90870,0.92328
2022,Single-person household,No,0.07201,529,5559,0.06521,0.07881
2022,Couple without children,Yes,0.95806,5438,5718,0.95287,0.96326
2022,Couple without children,No,0.03781,280,5718,0.03287,0.04276
2022,Single parent,Yes,0.89916,1054,1139,0.88166,0.91665
2022,Single parent,No,0.08489,85,1139,0.06870,0.10108
2022,Couple with children,Yes,0.92669,4876,5151,0.91958,0.93381
2022,Couple with children,No,0.05058,275,5151,0.04459,0.05656
2022,Multi-generational household,Yes,0.92206,77,77,0.86179,0.98233
2022,Other Combinations,Yes,0.83995,935,1096,0.81823,0.86167
2022,Other Combinations,No,0.13012,161,1096,0.11019,0.15005
