year,regtyp,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,Yes,0.88703,9236,10325,0.88093,0.89314
2015,Urban regions,No,0.10602,1089,10325,0.10009,0.11196
2015,Rural regions,Yes,0.89544,4868,5359,0.88725,0.90364
2015,Rural regions,No,0.09461,491,5359,0.08678,0.10245
2016,Urban regions,Yes,0.91326,8622,9360,0.90755,0.91896
2016,Urban regions,No,0.07860,738,9360,0.07315,0.08405
2016,Rural regions,Yes,0.93135,4610,4919,0.92429,0.93842
2016,Rural regions,No,0.05955,309,4919,0.05294,0.06617
2017,Urban regions,Yes,0.91916,9560,10228,0.91388,0.92445
2017,Urban regions,No,0.07295,668,10228,0.06791,0.07799
2017,Rural regions,Yes,0.92647,5117,5428,0.91952,0.93341
2017,Rural regions,No,0.06526,311,5428,0.05868,0.07183
2018,Urban regions,Yes,0.93446,9591,10165,0.92965,0.93927
2018,Urban regions,No,0.05627,574,10165,0.05179,0.06075
2018,Rural regions,Yes,0.93931,5002,5268,0.93286,0.94576
2018,Rural regions,No,0.05215,266,5268,0.04615,0.05815
2019,Urban regions,Yes,0.85695,7812,8243,0.84939,0.86451
2019,Urban regions,No,0.04922,431,8243,0.04455,0.05389
2019,Rural regions,Yes,0.86273,4174,4375,0.85253,0.87293
2019,Rural regions,No,0.04909,201,4375,0.04269,0.05549
2020,Urban regions,Yes,0.92431,10094,10989,0.91936,0.92925
2020,Urban regions,No,0.06215,895,10989,0.05764,0.06667
2020,Rural regions,Yes,0.93466,4977,5292,0.92800,0.94132
2020,Rural regions,No,0.05669,315,5292,0.05046,0.06292
2021,Urban regions,Yes,0.82307,6176,6616,0.81387,0.83226
2021,Urban regions,No,0.05461,440,6616,0.04913,0.06009
2021,Rural regions,Yes,0.86410,3169,3340,0.85248,0.87573
2021,Rural regions,No,0.04461,171,3340,0.03760,0.05161
2022,Urban regions,Yes,0.92148,12103,13117,0.91688,0.92609
2022,Urban regions,No,0.06318,1014,13117,0.05902,0.06735
2022,Rural regions,Yes,0.93427,5682,6062,0.92803,0.94051
2022,Rural regions,No,0.05831,380,6062,0.05241,0.06421
