year,hhtyp,sampreg,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,West,Yes,0.87016,2389,2737,0.85757,0.88276
2015,Single-person household,West,No,0.12243,348,2737,0.11015,0.13472
2015,Single-person household,East,Yes,0.84586,761,867,0.82181,0.86991
2015,Single-person household,East,No,0.14273,106,867,0.11943,0.16603
2015,Couple without children,West,Yes,0.93153,3049,3296,0.92291,0.94015
2015,Couple without children,West,No,0.06259,247,3296,0.05432,0.07086
2015,Couple without children,East,Yes,0.89386,967,1061,0.87532,0.91240
2015,Couple without children,East,No,0.09760,94,1061,0.07974,0.11547
2015,Single parent,West,Yes,0.85779,1170,1338,0.83906,0.87651
2015,Single parent,West,No,0.12972,168,1338,0.11171,0.14773
2015,Single parent,East,Yes,0.89325,321,362,0.86140,0.92511
2015,Single parent,East,No,0.10599,41,362,0.07424,0.13775
2015,Couple with children,West,Yes,0.90458,4302,4725,0.89620,0.91296
2015,Couple with children,West,No,0.08793,423,4725,0.07986,0.09601
2015,Couple with children,East,Yes,0.85993,815,909,0.83735,0.88250
2015,Couple with children,East,No,0.12277,94,909,0.10142,0.14411
2015,Multi-generational household,West,Yes,0.86513,95,95,0.79607,0.93418
2015,Other Combinations,West,Yes,0.85906,182,215,0.81244,0.90568
2015,Other Combinations,West,No,0.14055,33,215,0.09398,0.18712
2016,Single-person household,West,Yes,0.89547,2274,2528,0.88354,0.90740
2016,Single-person household,West,No,0.09448,254,2528,0.08308,0.10589
2016,Single-person household,East,Yes,0.90701,783,851,0.88749,0.92654
2016,Single-person household,East,No,0.08299,68,851,0.06444,0.10154
2016,Couple without children,West,Yes,0.95731,2928,3083,0.95017,0.96444
2016,Couple without children,West,No,0.04035,155,3083,0.03340,0.04730
2016,Couple without children,East,Yes,0.93113,951,1012,0.91552,0.94674
2016,Couple without children,East,No,0.06804,61,1012,0.05251,0.08356
2016,Single parent,West,Yes,0.88390,1071,1185,0.86565,0.90214
2016,Single parent,West,No,0.10258,114,1185,0.08530,0.11986
2016,Single parent,East,Yes,0.90148,301,335,0.86952,0.93344
2016,Single parent,East,No,0.08680,34,335,0.05660,0.11699
2016,Couple with children,West,Yes,0.92745,3898,4162,0.91957,0.93533
2016,Couple with children,West,No,0.06288,264,4162,0.05550,0.07025
2016,Couple with children,East,Yes,0.90646,755,820,0.88651,0.92640
2016,Couple with children,East,No,0.07379,65,820,0.05589,0.09170
2016,Multi-generational household,West,Yes,0.91923,77,77,0.85797,0.98049
2016,Other Combinations,West,Yes,0.87093,149,149,0.81691,0.92495
2017,Single-person household,West,Yes,0.89832,2592,2857,0.88723,0.90940
2017,Single-person household,West,No,0.09437,265,2857,0.08364,0.10509
2017,Single-person household,East,Yes,0.88230,884,968,0.86199,0.90261
2017,Single-person household,East,No,0.10699,84,968,0.08751,0.12647
2017,Couple without children,West,Yes,0.95997,3327,3476,0.95345,0.96648
2017,Couple without children,West,No,0.03837,149,3476,0.03199,0.04476
2017,Couple without children,East,Yes,0.94250,1074,1133,0.92894,0.95606
2017,Couple without children,East,No,0.05671,59,1133,0.04323,0.07018
2017,Single parent,West,Yes,0.90289,1084,1196,0.88610,0.91968
2017,Single parent,West,No,0.08868,112,1196,0.07256,0.10480
2017,Single parent,East,Yes,0.91219,322,322,0.88122,0.94315
2017,Couple with children,West,Yes,0.93812,4206,4404,0.93100,0.94523
2017,Couple with children,West,No,0.04893,198,4404,0.04256,0.05530
2017,Couple with children,East,Yes,0.91043,849,909,0.89185,0.92900
2017,Couple with children,East,No,0.06850,60,909,0.05207,0.08494
2017,Multi-generational household,West,Yes,0.88785,78,78,0.81737,0.95833
2017,Other Combinations,West,Yes,0.83107,204,204,0.77953,0.88262
2017,Other Combinations,East,Yes,0.93453,34,34,0.85014,1.01893
2018,Single-person household,West,Yes,0.92049,2765,2995,0.91080,0.93018
2018,Single-person household,West,No,0.07057,230,2995,0.06139,0.07974
2018,Single-person household,East,Yes,0.91851,943,1021,0.90172,0.93530
2018,Single-person household,East,No,0.07095,78,1021,0.05519,0.08670
2018,Couple without children,West,Yes,0.96585,3290,3413,0.95976,0.97194
2018,Couple without children,West,No,0.03043,123,3413,0.02466,0.03619
2018,Couple without children,East,Yes,0.93952,1077,1129,0.92561,0.95343
2018,Couple without children,East,No,0.05748,52,1129,0.04390,0.07107
2018,Single parent,West,Yes,0.91369,1096,1174,0.89762,0.92976
2018,Single parent,West,No,0.07429,78,1174,0.05928,0.08929
2018,Single parent,East,Yes,0.92725,319,319,0.89871,0.95580
2018,Couple with children,West,Yes,0.93973,3939,4136,0.93248,0.94699
2018,Couple with children,West,No,0.04710,197,4136,0.04064,0.05356
2018,Couple with children,East,Yes,0.93528,841,883,0.91904,0.95152
2018,Couple with children,East,No,0.04942,42,883,0.03512,0.06373
2018,Multi-generational household,West,Yes,0.97805,88,88,0.94726,1.00884
2018,Other Combinations,West,Yes,0.89341,183,183,0.84858,0.93825
2019,Single-person household,West,Yes,0.82469,2247,2430,0.80957,0.83982
2019,Single-person household,West,No,0.06536,183,2430,0.05553,0.07519
2019,Single-person household,East,Yes,0.83941,774,830,0.81442,0.86441
2019,Single-person household,East,No,0.06467,56,830,0.04793,0.08141
2019,Couple without children,West,Yes,0.87702,2781,2884,0.86503,0.88901
2019,Couple without children,West,No,0.02596,103,2884,0.02015,0.03176
2019,Couple without children,East,Yes,0.85472,937,981,0.83266,0.87678
2019,Couple without children,East,No,0.05458,44,981,0.04035,0.06880
2019,Single parent,West,Yes,0.82572,895,954,0.80163,0.84980
2019,Single parent,West,No,0.06624,59,954,0.05045,0.08203
2019,Single parent,East,Yes,0.83018,265,265,0.78489,0.87547
2019,Couple with children,West,Yes,0.84745,3169,3303,0.83518,0.85971
2019,Couple with children,West,No,0.03512,134,3303,0.02884,0.04140
2019,Couple with children,East,Yes,0.84627,682,682,0.81918,0.87336
2019,Multi-generational household,West,Yes,0.92602,66,66,0.86239,0.98965
2019,Other Combinations,West,Yes,0.75678,129,129,0.68246,0.83111
2020,Single-person household,West,Yes,0.91590,3160,3559,0.90678,0.92502
2020,Single-person household,West,No,0.07112,399,3559,0.06268,0.07957
2020,Single-person household,East,Yes,0.91307,946,1033,0.89589,0.93026
2020,Single-person household,East,No,0.07626,87,1033,0.06007,0.09246
2020,Couple without children,West,Yes,0.95263,3641,3851,0.94592,0.95934
2020,Couple without children,West,No,0.04294,210,3851,0.03653,0.04934
2020,Couple without children,East,Yes,0.95270,1121,1176,0.94056,0.96484
2020,Couple without children,East,No,0.04528,55,1176,0.03339,0.05717
2020,Single parent,West,Yes,0.87884,941,1035,0.85895,0.89873
2020,Single parent,West,No,0.10753,94,1035,0.08865,0.12641
2020,Single parent,East,Yes,0.95225,291,291,0.92770,0.97679
2020,Couple with children,West,Yes,0.92803,3790,4052,0.92007,0.93599
2020,Couple with children,West,No,0.05273,262,4052,0.04585,0.05962
2020,Couple with children,East,Yes,0.93474,814,856,0.91818,0.95130
2020,Couple with children,East,No,0.04618,42,856,0.03211,0.06025
2020,Multi-generational household,West,Yes,0.92650,83,83,0.87002,0.98298
2020,Other Combinations,West,Yes,0.87997,223,257,0.84016,0.91979
2020,Other Combinations,West,No,0.06732,34,257,0.03663,0.09802
2020,Other Combinations,East,Yes,0.87193,37,37,0.76277,0.98109
2021,Single-person household,West,Yes,0.82660,1992,2173,0.81068,0.84252
2021,Single-person household,West,No,0.06044,181,2173,0.05042,0.07046
2021,Single-person household,East,Yes,0.81746,585,625,0.78715,0.84777
2021,Single-person household,East,No,0.05110,40,625,0.03383,0.06838
2021,Couple without children,West,Yes,0.87591,2258,2366,0.86263,0.88920
2021,Couple without children,West,No,0.03942,108,2366,0.03158,0.04727
2021,Couple without children,East,Yes,0.88728,724,762,0.86481,0.90975
2021,Couple without children,East,No,0.04208,38,762,0.02781,0.05634
2021,Single parent,West,Yes,0.77839,556,599,0.74511,0.81168
2021,Single parent,West,No,0.10963,43,599,0.08459,0.13467
2021,Single parent,East,Yes,0.91659,216,216,0.87963,0.95355
2021,Couple with children,West,Yes,0.82057,2233,2377,0.80514,0.83600
