year,hhtyp,regtyp,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,Urban regions,Yes,0.85915,2113,2443,0.84536,0.87295
2015,Single-person household,Urban regions,No,0.13514,330,2443,0.12158,0.14870
2015,Single-person household,Rural regions,Yes,0.87947,1037,1161,0.86074,0.89821
2015,Single-person household,Rural regions,No,0.10667,124,1161,0.08890,0.12443
2015,Couple without children,Urban regions,Yes,0.92739,2552,2770,0.91772,0.93705
2015,Couple without children,Urban regions,No,0.06646,218,2770,0.05718,0.07574
2015,Couple without children,Rural regions,Yes,0.91896,1464,1587,0.90553,0.93239
2015,Couple without children,Rural regions,No,0.07424,123,1587,0.06134,0.08715
2015,Single parent,Urban regions,Yes,0.85470,977,1115,0.83401,0.87540
2015,Single parent,Urban regions,No,0.13106,138,1115,0.11125,0.15088
2015,Single parent,Rural regions,Yes,0.88161,514,585,0.85541,0.90782
2015,Single parent,Rural regions,No,0.11522,71,585,0.08932,0.14112
2015,Couple with children,Urban regions,Yes,0.90009,3372,3732,0.89046,0.90971
2015,Couple with children,Urban regions,No,0.09144,360,3732,0.08219,0.10069
2015,Couple with children,Rural regions,Yes,0.89306,1745,1902,0.87917,0.90695
2015,Couple with children,Rural regions,No,0.09693,157,1902,0.08363,0.11023
2015,Multi-generational household,Urban regions,Yes,0.86922,69,69,0.78908,0.94936
2015,Multi-generational household,Rural regions,Yes,0.90184,50,50,0.81853,0.98515
2015,Other Combinations,Urban regions,Yes,0.84145,153,184,0.78853,0.89437
2015,Other Combinations,Urban regions,No,0.14925,31,184,0.09762,0.20088
2015,Other Combinations,Rural regions,Yes,0.92365,58,58,0.85470,0.99259
2016,Single-person household,Urban regions,Yes,0.89067,2069,2312,0.87795,0.90339
2016,Single-person household,Urban regions,No,0.09960,243,2312,0.08739,0.11181
2016,Single-person household,Rural regions,Yes,0.91474,988,1067,0.89798,0.93151
2016,Single-person household,Rural regions,No,0.07447,79,1067,0.05871,0.09023
2016,Couple without children,Urban regions,Yes,0.95077,2427,2567,0.94240,0.95914
2016,Couple without children,Urban regions,No,0.04647,140,2567,0.03832,0.05461
2016,Couple without children,Rural regions,Yes,0.95602,1452,1528,0.94574,0.96631
2016,Couple without children,Rural regions,No,0.04320,76,1528,0.03300,0.05340
2016,Single parent,Urban regions,Yes,0.89228,893,990,0.87295,0.91160
2016,Single parent,Urban regions,No,0.10001,97,990,0.08132,0.11871
2016,Single parent,Rural regions,Yes,0.87720,479,530,0.84923,0.90517
2016,Single parent,Rural regions,No,0.09939,51,530,0.07390,0.12489
2016,Couple with children,Urban regions,Yes,0.91468,3050,3290,0.90514,0.92423
2016,Couple with children,Urban regions,No,0.07483,240,3290,0.06584,0.08382
2016,Couple with children,Rural regions,Yes,0.94597,1603,1692,0.93520,0.95675
2016,Couple with children,Rural regions,No,0.04134,89,1692,0.03185,0.05083
2016,Multi-generational household,Urban regions,Yes,0.91018,60,60,0.83722,0.98314
2016,Multi-generational household,Rural regions,Yes,0.94437,37,37,0.86950,1.01924
2016,Other Combinations,Urban regions,Yes,0.90034,123,123,0.84719,0.95350
2016,Other Combinations,Rural regions,Yes,0.77908,51,51,0.66409,0.89408
2017,Single-person household,Urban regions,Yes,0.89654,2352,2590,0.88480,0.90827
2017,Single-person household,Urban regions,No,0.09609,238,2590,0.08474,0.10745
2017,Single-person household,Rural regions,Yes,0.89191,1124,1235,0.87458,0.90923
2017,Single-person household,Rural regions,No,0.09864,111,1235,0.08200,0.11528
2017,Couple without children,Urban regions,Yes,0.95575,2752,2889,0.94825,0.96325
2017,Couple without children,Urban regions,No,0.04247,137,2889,0.03511,0.04982
2017,Couple without children,Rural regions,Yes,0.95921,1649,1720,0.94986,0.96856
2017,Couple without children,Rural regions,No,0.03984,71,1720,0.03060,0.04909
2017,Single parent,Urban regions,Yes,0.89366,902,992,0.87447,0.91285
2017,Single parent,Urban regions,No,0.09633,90,992,0.07796,0.11471
2017,Single parent,Rural regions,Yes,0.92656,504,546,0.90466,0.94846
2017,Single parent,Rural regions,No,0.06708,42,546,0.04608,0.08808
2017,Couple with children,Urban regions,Yes,0.92939,3325,3505,0.92091,0.93787
2017,Couple with children,Urban regions,No,0.05717,180,3505,0.04948,0.06485
2017,Couple with children,Rural regions,Yes,0.94474,1730,1808,0.93421,0.95528
2017,Couple with children,Rural regions,No,0.03949,78,1808,0.03051,0.04847
2017,Multi-generational household,Urban regions,Yes,0.86532,61,61,0.77894,0.95170
2017,Multi-generational household,Rural regions,Yes,0.95248,40,40,0.88571,1.01925
2017,Other Combinations,Urban regions,Yes,0.82905,168,168,0.77196,0.88615
2017,Other Combinations,Rural regions,Yes,0.87134,70,70,0.79233,0.95034
2018,Single-person household,Urban regions,Yes,0.92100,2542,2756,0.91093,0.93108
