year,sex,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.13136,1202,8584,0.12421,0.13851
2009,male,No,0.70251,7382,8584,0.69284,0.71218
2009,female,Yes,0.10425,1046,9391,0.09807,0.11043
2009,female,No,0.74276,8345,9391,0.73392,0.75160
2014,male,Yes,0.11455,1637,12377,0.10894,0.12016
2014,male,No,0.71758,10740,12377,0.70964,0.72551
2014,female,Yes,0.09490,1693,14589,0.09014,0.09966
2014,female,No,0.74894,12896,14589,0.74191,0.75598
2019,male,Yes,0.11460,1791,12230,0.10895,0.12025
2019,male,No,0.70499,10439,12230,0.69691,0.71308
2019,female,Yes,0.09828,1679,13398,0.09324,0.10332
2019,female,No,0.74049,11719,13398,0.73307,0.74791
