year,age_gr,regtyp,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Urban regions,Yes,0.26850,552,1869,0.24840,0.28860
2009,17-29 y.,Urban regions,No,0.65456,1317,1869,0.63300,0.67612
2009,17-29 y.,Rural regions,Yes,0.22150,224,977,0.19544,0.24755
2009,17-29 y.,Rural regions,No,0.72405,753,977,0.69600,0.75209
2009,30-45 y.,Urban regions,Yes,0.20389,560,3070,0.18963,0.21814
2009,30-45 y.,Urban regions,No,0.79453,2510,3070,0.78024,0.80883
2009,30-45 y.,Rural regions,Yes,0.13759,177,1596,0.12069,0.15450
2009,30-45 y.,Rural regions,No,0.85456,1419,1596,0.83725,0.87186
2009,46-65 y.,Urban regions,Yes,0.13487,461,4025,0.12431,0.14542
2009,46-65 y.,Urban regions,No,0.86270,3564,4025,0.85207,0.87333
2009,46-65 y.,Rural regions,Yes,0.08087,160,2284,0.06968,0.09205
2009,46-65 y.,Rural regions,No,0.91422,2124,2284,0.90273,0.92571
2009,66 and older,Urban regions,Yes,0.02971,93,2694,0.02330,0.03613
2009,66 and older,Urban regions,No,0.96887,2601,2694,0.96231,0.97543
2009,66 and older,Rural regions,No,0.97472,1439,1439,0.96661,0.98284
2014,17-29 y.,Urban regions,Yes,0.25387,792,2908,0.23805,0.26969
2014,17-29 y.,Urban regions,No,0.67440,2116,2908,0.65737,0.69144
2014,17-29 y.,Rural regions,Yes,0.21542,312,1374,0.19367,0.23716
2014,17-29 y.,Rural regions,No,0.71472,1062,1374,0.69083,0.73860
2014,30-45 y.,Urban regions,Yes,0.17164,855,5635,0.16180,0.18149
2014,30-45 y.,Urban regions,No,0.82509,4780,5635,0.81517,0.83501
2014,30-45 y.,Rural regions,Yes,0.11275,318,2847,0.10113,0.12437
2014,30-45 y.,Rural regions,No,0.88273,2529,2847,0.87091,0.89455
2014,46-65 y.,Urban regions,Yes,0.11633,625,5882,0.10813,0.12452
2014,46-65 y.,Urban regions,No,0.88017,5257,5882,0.87187,0.88847
2014,46-65 y.,Rural regions,Yes,0.08479,273,3398,0.07543,0.09416
2014,46-65 y.,Rural regions,No,0.90563,3125,3398,0.89580,0.91546
2014,66 and older,Urban regions,Yes,0.03796,117,3137,0.03127,0.04465
2014,66 and older,Urban regions,No,0.95226,3020,3137,0.94480,0.95972
2014,66 and older,Rural regions,Yes,0.02092,38,1785,0.01428,0.02756
2014,66 and older,Rural regions,No,0.97014,1747,1785,0.96224,0.97804
2019,17-29 y.,Urban regions,Yes,0.26494,785,2546,0.24780,0.28209
2019,17-29 y.,Urban regions,No,0.64403,1761,2546,0.62543,0.66264
2019,17-29 y.,Rural regions,Yes,0.19204,273,1150,0.16926,0.21482
2019,17-29 y.,Rural regions,No,0.67544,877,1150,0.64837,0.70251
2019,30-45 y.,Urban regions,Yes,0.18525,732,4043,0.17328,0.19723
2019,30-45 y.,Urban regions,No,0.79875,3311,4043,0.78639,0.81111
2019,30-45 y.,Rural regions,Yes,0.11383,246,2074,0.10016,0.12751
2019,30-45 y.,Rural regions,No,0.87198,1828,2074,0.85760,0.88637
2019,46-65 y.,Urban regions,Yes,0.10815,796,6504,0.10060,0.11570
2019,46-65 y.,Urban regions,No,0.88543,5708,6504,0.87769,0.89317
2019,46-65 y.,Rural regions,Yes,0.08052,305,3682,0.07173,0.08931
2019,46-65 y.,Rural regions,No,0.91549,3377,3682,0.90650,0.92447
2019,66 and older,Urban regions,Yes,0.03947,139,3213,0.03274,0.04621
2019,66 and older,Urban regions,No,0.95765,3074,3213,0.95069,0.96461
2019,66 and older,Rural regions,Yes,0.02704,50,1870,0.01969,0.03439
2019,66 and older,Rural regions,No,0.97222,1820,1870,0.96476,0.97967
