year,quintil_oecd,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Yes,0.14002,430,2867,0.12732,0.15273
2009,1st Quintile,No,0.67208,2437,2867,0.65489,0.68926
2009,2nd Quintile,Yes,0.09696,335,3160,0.08665,0.10728
2009,2nd Quintile,No,0.70947,2825,3160,0.69364,0.72530
2009,3rd Quintile,Yes,0.10593,372,3425,0.09562,0.11623
2009,3rd Quintile,No,0.73219,3053,3425,0.71736,0.74702
2009,4th Quintile,Yes,0.10759,426,3726,0.09764,0.11754
2009,4th Quintile,No,0.74279,3300,3726,0.72875,0.75682
2009,5th Quintile,Yes,0.13752,684,4792,0.12777,0.14727
2009,5th Quintile,No,0.75826,4108,4792,0.74614,0.77038
2014,1st Quintile,Yes,0.12367,832,5769,0.11518,0.13217
2014,1st Quintile,No,0.66096,4937,5769,0.64874,0.67317
2014,2nd Quintile,Yes,0.07734,588,5499,0.07028,0.08440
2014,2nd Quintile,No,0.73681,4911,5499,0.72517,0.74845
2014,3rd Quintile,Yes,0.09786,604,5160,0.08975,0.10597
2014,3rd Quintile,No,0.74231,4556,5160,0.73038,0.75425
2014,4th Quintile,Yes,0.10324,616,5148,0.09493,0.11156
2014,4th Quintile,No,0.75648,4532,5148,0.74475,0.76820
2014,5th Quintile,Yes,0.12068,689,5383,0.11198,0.12939
2014,5th Quintile,No,0.77070,4694,5383,0.75946,0.78193
2019,1st Quintile,Yes,0.11155,675,4375,0.10222,0.12088
2019,1st Quintile,No,0.64488,3700,4375,0.63070,0.65907
2019,2nd Quintile,Yes,0.09951,554,4751,0.09100,0.10803
2019,2nd Quintile,No,0.71712,4197,4751,0.70432,0.72993
2019,3rd Quintile,Yes,0.10167,561,4496,0.09283,0.11050
2019,3rd Quintile,No,0.73402,3935,4496,0.72110,0.74694
2019,4th Quintile,Yes,0.09173,512,4258,0.08305,0.10040
2019,4th Quintile,No,0.76385,3746,4258,0.75109,0.77661
2019,5th Quintile,Yes,0.11659,615,4776,0.10748,0.12569
2019,5th Quintile,No,0.77817,4161,4776,0.76638,0.78995
