year,migback,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.10242,1728,15618,0.09767,0.10718
2009,No migration background,No,0.75174,13890,15618,0.74496,0.75851
2009,Direct migration background,Yes,0.20867,335,1653,0.18907,0.22826
2009,Direct migration background,No,0.76304,1318,1653,0.74254,0.78355
2009,Indirect migration background,Yes,0.15249,185,704,0.12592,0.17907
2009,Indirect migration background,No,0.37315,519,704,0.33740,0.40891
2014,No migration background,Yes,0.09045,2127,20063,0.08648,0.09442
2014,No migration background,No,0.76579,17936,20063,0.75993,0.77165
2014,Direct migration background,Yes,0.17781,805,5189,0.16741,0.18822
2014,Direct migration background,No,0.77961,4384,5189,0.76833,0.79089
2014,Indirect migration background,Yes,0.12884,398,1714,0.11297,0.14470
2014,Indirect migration background,No,0.36117,1316,1714,0.33843,0.38392
2019,No migration background,Yes,0.09503,2389,20132,0.09098,0.09909
2019,No migration background,No,0.76209,17743,20132,0.75621,0.76797
2019,Direct migration background,Yes,0.16574,696,3935,0.15412,0.17736
2019,Direct migration background,No,0.72991,3239,3935,0.71604,0.74379
2019,Indirect migration background,Yes,0.10939,388,1568,0.09393,0.12484
2019,Indirect migration background,No,0.40006,1180,1568,0.37581,0.42432
