year,regtyp,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.13070,1666,11658,0.12459,0.13682
2009,Urban regions,No,0.70862,9992,11658,0.70037,0.71687
2009,Rural regions,Yes,0.09009,582,6317,0.08303,0.09715
2009,Rural regions,No,0.75303,5735,6317,0.74239,0.76367
2014,Urban regions,Yes,0.11504,2389,17562,0.11032,0.11976
2014,Urban regions,No,0.71880,15173,17562,0.71215,0.72544
2014,Rural regions,Yes,0.08247,941,9404,0.07691,0.08803
2014,Rural regions,No,0.76448,8463,9404,0.75590,0.77306
2019,Urban regions,Yes,0.11685,2452,16306,0.11192,0.12178
2019,Urban regions,No,0.71041,13854,16306,0.70345,0.71737
2019,Rural regions,Yes,0.07665,874,8776,0.07108,0.08222
2019,Rural regions,No,0.75549,7902,8776,0.74649,0.76448
