year,age_gr,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Yes,0.25343,776,2846,0.23745,0.26942
2009,17-29 y.,No,0.67683,2070,2846,0.65965,0.69402
2009,30-45 y.,Yes,0.18349,737,4666,0.17238,0.19460
2009,30-45 y.,No,0.81300,3929,4666,0.80181,0.82419
2009,46-65 y.,Yes,0.11654,621,6309,0.10862,0.12445
2009,46-65 y.,No,0.88019,5688,6309,0.87218,0.88820
2009,66 and older,Yes,0.02553,114,4154,0.02073,0.03033
2009,66 and older,No,0.97077,4040,4154,0.96565,0.97590
2014,17-29 y.,Yes,0.24246,1104,4282,0.22962,0.25530
2014,17-29 y.,No,0.68636,3178,4282,0.67246,0.70026
2014,30-45 y.,Yes,0.15448,1173,8482,0.14679,0.16217
2014,30-45 y.,No,0.84189,7309,8482,0.83412,0.84965
2014,46-65 y.,Yes,0.10486,898,9280,0.09863,0.11109
2014,46-65 y.,No,0.88943,8382,9280,0.88305,0.89581
2014,66 and older,Yes,0.03243,155,4922,0.02749,0.03738
2014,66 and older,No,0.95806,4767,4922,0.95246,0.96366
2019,17-29 y.,Yes,0.25117,1113,3815,0.23740,0.26493
2019,17-29 y.,No,0.64835,2702,3815,0.63320,0.66350
2019,30-45 y.,Yes,0.16680,1023,6273,0.15757,0.17602
2019,30-45 y.,No,0.81804,5250,6273,0.80849,0.82759
2019,46-65 y.,Yes,0.09972,1140,10383,0.09395,0.10548
2019,46-65 y.,No,0.89463,9243,10383,0.88873,0.90054
2019,66 and older,Yes,0.03595,197,5164,0.03087,0.04102
2019,66 and older,No,0.96189,4967,5164,0.95667,0.96711
