year,pgisced97,regtyp,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,Urban regions,At least once per week,0.37832,45,121,0.29154,0.46509
1990,Pre-primary Level,Urban regions,Seldom,0.29628,37,121,0.21458,0.37798
1990,Pre-primary Level,Urban regions,Never,0.21048,39,121,0.13754,0.28342
1990,Primary Level,Urban regions,Seldom,0.10652,64,514,0.07983,0.13322
1990,Primary Level,Urban regions,Never,0.78459,450,514,0.74901,0.82016
1990,Primary Level,Rural regions,Never,0.60835,56,56,0.47935,0.73736
1990,Lower Secondary Level,Urban regions,At least once per week,0.08361,165,1911,0.07120,0.09602
1990,Lower Secondary Level,Urban regions,At least once per month,0.07662,149,1911,0.06469,0.08855
1990,Lower Secondary Level,Urban regions,Seldom,0.19053,374,1911,0.17291,0.20814
1990,Lower Secondary Level,Urban regions,Never,0.59031,1223,1911,0.56826,0.61237
1990,Lower Secondary Level,Rural regions,At least once per week,0.05088,38,538,0.03229,0.06946
1990,Lower Secondary Level,Rural regions,At least once per month,0.05084,44,538,0.03226,0.06943
1990,Lower Secondary Level,Rural regions,Seldom,0.19254,128,538,0.15919,0.22589
1990,Lower Secondary Level,Rural regions,Never,0.43598,328,538,0.39404,0.47792
1990,Upper Secondary Level,Urban regions,At least once per week,0.10361,410,3501,0.09351,0.11371
1990,Upper Secondary Level,Urban regions,At least once per month,0.11471,417,3501,0.10415,0.12527
1990,Upper Secondary Level,Urban regions,Seldom,0.27542,1049,3501,0.26062,0.29022
1990,Upper Secondary Level,Urban regions,Never,0.39851,1625,3501,0.38229,0.41473
1990,Upper Secondary Level,Rural regions,At least once per week,0.06054,103,1017,0.04588,0.07521
1990,Upper Secondary Level,Rural regions,At least once per month,0.07620,138,1017,0.05988,0.09251
1990,Upper Secondary Level,Rural regions,Seldom,0.19784,345,1017,0.17334,0.22233
1990,Upper Secondary Level,Rural regions,Never,0.24263,431,1017,0.21627,0.26899
1990,Post-secondary Non-tertiary Level,Urban regions,At least once per week,0.18279,39,248,0.13459,0.23099
1990,Post-secondary Non-tertiary Level,Urban regions,At least once per month,0.16753,38,248,0.12096,0.21411
1990,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.25092,68,248,0.19686,0.30499
1990,Post-secondary Non-tertiary Level,Urban regions,Never,0.32387,103,248,0.26551,0.38223
1990,First Stage of Tertiary Education,Urban regions,At least once per week,0.15314,64,398,0.11771,0.18856
1990,First Stage of Tertiary Education,Urban regions,At least once per month,0.14228,65,398,0.10792,0.17665
1990,First Stage of Tertiary Education,Urban regions,Seldom,0.31864,143,398,0.27280,0.36447
1990,First Stage of Tertiary Education,Urban regions,Never,0.30424,126,398,0.25898,0.34950
1990,First Stage of Tertiary Education,Rural regions,Seldom,0.20298,42,85,0.11696,0.28899
1990,First Stage of Tertiary Education,Rural regions,Never,0.23608,43,85,0.14526,0.32690
1990,Second Stage of Tertiary Education,Urban regions,At least once per week,0.18915,139,589,0.15749,0.22080
1990,Second Stage of Tertiary Education,Urban regions,At least once per month,0.14846,115,589,0.11972,0.17720
1990,Second Stage of Tertiary Education,Urban regions,Seldom,0.26658,199,589,0.23084,0.30232
1990,Second Stage of Tertiary Education,Urban regions,Never,0.16643,136,589,0.13633,0.19654
1990,Second Stage of Tertiary Education,Rural regions,Seldom,0.12423,38,38,0.01795,0.23052
1995,Pre-primary Level,Urban regions,At least once per week,0.41449,75,181,0.34252,0.48646
1995,Pre-primary Level,Urban regions,Seldom,0.21201,43,181,0.15230,0.27172
1995,Pre-primary Level,Urban regions,Never,0.30130,63,181,0.23428,0.36833
1995,Primary Level,Urban regions,Seldom,0.08552,42,426,0.05894,0.11211
1995,Primary Level,Urban regions,Never,0.83353,384,426,0.79812,0.86895
1995,Primary Level,Rural regions,Never,0.70952,63,63,0.59651,0.82253
1995,Lower Secondary Level,Urban regions,At least once per week,0.08420,130,1719,0.07107,0.09733
1995,Lower Secondary Level,Urban regions,At least once per month,0.04935,103,1719,0.03911,0.05959
1995,Lower Secondary Level,Urban regions,Seldom,0.19309,308,1719,0.17443,0.21176
1995,Lower Secondary Level,Urban regions,Never,0.66743,1178,1719,0.64515,0.68971
1995,Lower Secondary Level,Rural regions,At least once per week,0.08915,68,757,0.06884,0.10946
1995,Lower Secondary Level,Rural regions,At least once per month,0.06077,48,757,0.04374,0.07780
