year,age_gr,sex,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,male,At least once per week,0.15876,205,1379,0.13947,0.17806
1990,17-29 y.,male,At least once per month,0.13609,163,1379,0.11799,0.15420
1990,17-29 y.,male,Seldom,0.30692,382,1379,0.28257,0.33127
1990,17-29 y.,male,Never,0.39823,629,1379,0.37238,0.42407
1990,17-29 y.,female,At least once per week,0.20069,250,1322,0.17909,0.22228
1990,17-29 y.,female,At least once per month,0.17311,197,1322,0.15271,0.19352
1990,17-29 y.,female,Seldom,0.30970,361,1322,0.28476,0.33463
1990,17-29 y.,female,Never,0.31650,514,1322,0.29142,0.34159
1990,30-45 y.,male,At least once per week,0.12165,144,1368,0.10432,0.13898
1990,30-45 y.,male,At least once per month,0.14362,170,1368,0.12503,0.16222
1990,30-45 y.,male,Seldom,0.36290,456,1368,0.33741,0.38839
1990,30-45 y.,male,Never,0.37182,598,1368,0.34620,0.39744
1990,30-45 y.,female,At least once per week,0.14031,157,1402,0.12213,0.15850
1990,30-45 y.,female,At least once per month,0.15187,179,1402,0.13307,0.17066
1990,30-45 y.,female,Seldom,0.36698,456,1402,0.34174,0.39222
1990,30-45 y.,female,Never,0.34084,610,1402,0.31602,0.36566
1990,46-65 y.,male,At least once per week,0.11832,144,1478,0.10184,0.13479
1990,46-65 y.,male,At least once per month,0.11102,138,1478,0.09499,0.12704
1990,46-65 y.,male,Seldom,0.30777,396,1478,0.28423,0.33131
1990,46-65 y.,male,Never,0.46290,800,1478,0.43747,0.48833
1990,46-65 y.,female,At least once per week,0.10323,121,1415,0.08738,0.11909
1990,46-65 y.,female,At least once per month,0.11072,140,1415,0.09436,0.12707
1990,46-65 y.,female,Seldom,0.29080,363,1415,0.26713,0.31447
1990,46-65 y.,female,Never,0.49525,791,1415,0.46919,0.52131
1990,66 and older,male,At least once per week,0.09278,40,408,0.06459,0.12096
1990,66 and older,male,At least once per month,0.08034,33,408,0.05393,0.10675
1990,66 and older,male,Seldom,0.17569,69,408,0.13872,0.21266
1990,66 and older,male,Never,0.65120,266,408,0.60489,0.69750
1990,66 and older,female,At least once per week,0.06258,37,624,0.04356,0.08160
1990,66 and older,female,At least once per month,0.05354,32,624,0.03587,0.07122
1990,66 and older,female,Seldom,0.12906,78,624,0.10273,0.15538
1990,66 and older,female,Never,0.75482,477,624,0.72104,0.78860
1995,17-29 y.,male,At least once per week,0.15726,225,1627,0.13957,0.17496
1995,17-29 y.,male,At least once per month,0.07993,127,1627,0.06675,0.09311
1995,17-29 y.,male,Seldom,0.28955,454,1627,0.26750,0.31159
1995,17-29 y.,male,Never,0.47326,821,1627,0.44899,0.49752
1995,17-29 y.,female,At least once per week,0.21170,318,1707,0.19231,0.23108
1995,17-29 y.,female,At least once per month,0.12255,199,1707,0.10699,0.13811
1995,17-29 y.,female,Seldom,0.31277,541,1707,0.29077,0.33477
1995,17-29 y.,female,Never,0.35298,649,1707,0.33030,0.37566
1995,30-45 y.,male,At least once per week,0.09952,183,2146,0.08685,0.11219
1995,30-45 y.,male,At least once per month,0.10009,182,2146,0.08739,0.11279
