"pli0093_h","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","(noch) kein Abschluss","kein Migrationshintergrund","20","","",""
"Taeglich","1990","(noch) kein Abschluss","direkter Migrationshintergrund","5","","",""
"Taeglich","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","2","","",""
"Taeglich","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","Hauptschule","kein Migrationshintergrund","59","0.0145968790007139","0.0107891538958708","0.0184046041055571"
"Taeglich","1990","Hauptschule","direkter Migrationshintergrund","26","","",""
"Taeglich","1990","Hauptschule","indirekter Migrationshintergrund","6","","",""
"Taeglich","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","Realschule","kein Migrationshintergrund","53","0.0370031230191665","0.0271951949949679","0.0468110510433651"
"Taeglich","1990","Realschule","direkter Migrationshintergrund","4","","",""
"Taeglich","1990","Realschule","indirekter Migrationshintergrund","1","","",""
"Taeglich","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","(Fach-)Abitur","kein Migrationshintergrund","23","","",""
"Taeglich","1990","(Fach-)Abitur","direkter Migrationshintergrund","5","","",""
"Taeglich","1990","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Taeglich","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","AkademikerIn","kein Migrationshintergrund","38","0.0599039280159591","0.0409471897067435","0.0788606663251748"
"Taeglich","1990","AkademikerIn","direkter Migrationshintergrund","4","","",""
"Taeglich","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","kein Migrationshintergrund","24","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","direkter Migrationshintergrund","17","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","6","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","Hauptschule","kein Migrationshintergrund","263","0.0678484251680501","0.0598640346302958","0.0758328157058045"
"Min 1x pro Woche","1990","Hauptschule","direkter Migrationshintergrund","54","0.044920002881809","0.033919835345118","0.0559201704184999"
"Min 1x pro Woche","1990","Hauptschule","indirekter Migrationshintergrund","9","","",""
"Min 1x pro Woche","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","Realschule","kein Migrationshintergrund","177","0.12003128552865","0.103145297165315","0.136917273891985"
"Min 1x pro Woche","1990","Realschule","direkter Migrationshintergrund","17","","",""
"Min 1x pro Woche","1990","Realschule","indirekter Migrationshintergrund","14","","",""
"Min 1x pro Woche","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","kein Migrationshintergrund","99","0.182058632558098","0.148859163606692","0.215258101509505"
"Min 1x pro Woche","1990","(Fach-)Abitur","direkter Migrationshintergrund","19","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","indirekter Migrationshintergrund","7","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","AkademikerIn","kein Migrationshintergrund","109","0.182482816465131","0.151628972561467","0.213336660368794"
"Min 1x pro Woche","1990","AkademikerIn","direkter Migrationshintergrund","11","","",""
"Min 1x pro Woche","1990","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","kein Migrationshintergrund","11","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","direkter Migrationshintergrund","17","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","4","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","Hauptschule","kein Migrationshintergrund","366","0.0908959063946902","0.0817693364680526","0.100022476321328"
"Min 1x pro Monat","1990","Hauptschule","direkter Migrationshintergrund","69","0.0639392821364665","0.0509467013652277","0.0769318629077054"
"Min 1x pro Monat","1990","Hauptschule","indirekter Migrationshintergrund","19","","",""
"Min 1x pro Monat","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","Realschule","kein Migrationshintergrund","257","0.1787082401946","0.158803034821124","0.198613445568075"
"Min 1x pro Monat","1990","Realschule","direkter Migrationshintergrund","18","","",""
"Min 1x pro Monat","1990","Realschule","indirekter Migrationshintergrund","10","","",""
"Min 1x pro Monat","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","kein Migrationshintergrund","98","0.195946826440452","0.161797989697854","0.23009566318305"
"Min 1x pro Monat","1990","(Fach-)Abitur","direkter Migrationshintergrund","25","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","indirekter Migrationshintergrund","8","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
