year,pgisced97,sex,pli0093_h,proportion,n,lower_confidence,upper_confidence
1990,middle vocational,maennlich,Nie,0.12657130472475075,18165,0.12173604589474941,0.13140656355475208
1990,general elemantary,weiblich,Nie,0.10587342869527525,18165,0.10139906420329448,0.11034779318725602
1990,middle vocational,weiblich,Nie,0.09601213697442566,18165,0.09172780871877678,0.10029646523007454
1990,middle vocational,maennlich,Seltener,0.07932379713914174,18165,0.07539378785079737,0.08325380642748612
1990,middle vocational,weiblich,Seltener,0.07130472475075857,18165,0.06756246316006193,0.07504698634145521
1990,general elemantary,maennlich,Nie,0.05884265279583875,18165,0.055420372233591766,0.062264933358085736
1990,general elemantary,weiblich,Seltener,0.034785435630689206,18165,0.0321207313059858,0.03745013995539261
1990,inadequately,weiblich,Nie,0.03326831382748158,18165,0.03066031890319401,0.03587630875176914
1990,middle vocational,weiblich,Min 1x pro Monat,0.030667533593411355,18165,0.02816018813454393,0.03317487905227878
1990,middle vocational,maennlich,Min 1x pro Monat,0.029367143476376246,18165,0.02691188783856342,0.031822399114189076
1990,middle vocational,maennlich,Min 1x pro Woche,0.02904204594711747,18165,0.026600009248088006,0.03148408264614694
1990,middle vocational,weiblich,Min 1x pro Woche,0.026549631556133508,18165,0.02421173911699568,0.028887523995271336
1990,inadequately,maennlich,Nie,0.02102297355873429,18165,0.018936697893010904,0.023109249224457673
1990,higher education,maennlich,Seltener,0.018313827481577807,18165,0.01636391882850679,0.020263736134648824
1990,general elemantary,maennlich,Seltener,0.017988729952319028,18165,0.01605588571265568,0.019921574191982375
1990,general elemantary,weiblich,Min 1x pro Monat,0.014846120502817512,18165,0.013087399715180607,0.01660484129045442
1990,higher education,maennlich,Nie,0.012136974425661032,18165,0.010544611879599836,0.013729336971722229
1990,general elemantary,weiblich,Min 1x pro Woche,0.012136974425661032,18165,0.010544611879599836,0.013729336971722229
1990,higher vocational,maennlich,Nie,0.011270047680970958,18165,0.009734935589893825,0.012805159772048092
1990,higher vocational,maennlich,Seltener,0.010619852622453402,18165,0.00912919051789298,0.012110514727013823
1990,higher education,maennlich,Min 1x pro Woche,0.010511486779367144,18165,0.009028368379325098,0.01199460517940919
1990,higher education,maennlich,Min 1x pro Monat,0.00953619419159081,18165,0.008122858852042513,0.010949529531139108
1990,higher vocational,weiblich,Seltener,0.00942782834850455,18165,0.008022469394043547,0.010833187302965555
1990,vocational + Abi,maennlich,Nie,0.00834416991764196,18165,0.007021320456746037,0.00966701937853788
1990,higher education,weiblich,Seltener,0.007368877329865626,18165,0.006125127662525495,0.008612626997205757
1990,general elemantary,maennlich,Min 1x pro Woche,0.007368877329865626,18165,0.006125127662525495,0.008612626997205757
1990,higher education,weiblich,Min 1x pro Woche,0.0072605114867793676,18165,0.006025873521839845,0.00849514945171889
1990,higher vocational,weiblich,Nie,0.007043779800606849,18165,0.0058275761406544144,0.008259983460559284
1990,general elemantary,maennlich,Min 1x pro Monat,0.0055266579973992196,18165,0.004448540143039959,0.00660477585175848
1990,vocational + Abi,maennlich,Seltener,0.005201560468140442,18165,0.00415546157230165,0.006247659363979235
