year,migback,quintil_oecd,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,1st Quintile,At least once per week,0.08808,92,1012,0.07061,0.10554
1990,No migration background,1st Quintile,At least once per month,0.06280,73,1012,0.04785,0.07776
1990,No migration background,1st Quintile,Seldom,0.23221,250,1012,0.20618,0.25823
1990,No migration background,1st Quintile,Never,0.61691,597,1012,0.58695,0.64688
1990,No migration background,2nd Quintile,At least once per week,0.12404,160,1237,0.10566,0.14242
1990,No migration background,2nd Quintile,At least once per month,0.10689,137,1237,0.08967,0.12412
1990,No migration background,2nd Quintile,Seldom,0.28833,382,1237,0.26308,0.31359
1990,No migration background,2nd Quintile,Never,0.48073,558,1237,0.45288,0.50859
1990,No migration background,3rd Quintile,At least once per week,0.12872,174,1287,0.11042,0.14702
1990,No migration background,3rd Quintile,At least once per month,0.12627,160,1287,0.10812,0.14443
1990,No migration background,3rd Quintile,Seldom,0.30227,401,1287,0.27717,0.32737
1990,No migration background,3rd Quintile,Never,0.44273,552,1287,0.41559,0.46988
1990,No migration background,4th Quintile,At least once per week,0.13799,206,1501,0.12054,0.15545
1990,No migration background,4th Quintile,At least once per month,0.13892,203,1501,0.12142,0.15642
1990,No migration background,4th Quintile,Seldom,0.32254,489,1501,0.29889,0.34620
1990,No migration background,4th Quintile,Never,0.40054,603,1501,0.37574,0.42534
1990,No migration background,5th Quintile,At least once per week,0.15204,244,1566,0.13425,0.16983
1990,No migration background,5th Quintile,At least once per month,0.17740,288,1566,0.15848,0.19633
1990,No migration background,5th Quintile,Seldom,0.34561,528,1566,0.32205,0.36917
1990,No migration background,5th Quintile,Never,0.32495,506,1566,0.30174,0.34815
1990,Direct migration background,1st Quintile,At least once per week,0.05841,39,764,0.04177,0.07505
1990,Direct migration background,1st Quintile,Seldom,0.17077,109,764,0.14407,0.19747
1990,Direct migration background,1st Quintile,Never,0.71066,616,764,0.67848,0.74284
1990,Direct migration background,2nd Quintile,At least once per week,0.12747,47,538,0.09927,0.15568
1990,Direct migration background,2nd Quintile,Seldom,0.22042,109,538,0.18536,0.25548
1990,Direct migration background,2nd Quintile,Never,0.59815,382,538,0.55669,0.63962
1990,Direct migration background,3rd Quintile,At least once per week,0.10595,40,532,0.07977,0.13213
1990,Direct migration background,3rd Quintile,At least once per month,0.11913,36,532,0.09158,0.14668
1990,Direct migration background,3rd Quintile,Seldom,0.17960,84,532,0.14695,0.21225
1990,Direct migration background,3rd Quintile,Never,0.59532,372,532,0.55357,0.63707
1990,Direct migration background,4th Quintile,Seldom,0.31129,95,336,0.26171,0.36087
1990,Direct migration background,4th Quintile,Never,0.51493,241,336,0.46141,0.56845
