"pli0093_h","year","age_gr","n","percent","lower_confidence","upper_confidence","NA"
"Taeglich","1990","17-34","134","0.0411332548411795","0.0346700193518013","0.0475964903305577",""
"Taeglich","1990","35-65","95","0.0229614930507064","0.0186961663535468","0.0272268197478659",""
"Taeglich","1990","66 +","24","","","",""
"Min 1x pro Woche","1990","17-34","428","0.126863067305488","0.116031704667598","0.137694429943377",""
"Min 1x pro Woche","1990","35-65","364","0.0931516443994071","0.0848749104268796","0.101428378371935",""
"Min 1x pro Woche","1990","66 +","53","0.0516160541748275","0.0381173294820571","0.065114778867598",""
"Min 1x pro Monat","1990","17-34","488","0.153584019460217","0.141850203962764","0.165317834957671",""
"Min 1x pro Monat","1990","35-65","499","0.123017950993564","0.113664411267162","0.132371490719965",""
"Min 1x pro Monat","1990","66 +","65","0.0629942369636667","0.0481714528535195","0.0778170210738139",""
"Seltener","1990","17-34","1054","0.322345922607831","0.307135564758163","0.337556280457499",""
"Seltener","1990","35-65","1360","0.323751938918539","0.310427295240412","0.337076582596666",""
"Seltener","1990","66 +","147","0.145518864447772","0.124004965196456","0.167032763699088",""
"Nie","1990","17-34","1523","0.356073735785285","0.340490330942619","0.371657140627951",""
"Nie","1990","35-65","2419","0.437116972637784","0.422991456996761","0.451242488278806",""
"Nie","1990","66 +","743","0.7182554015512","0.690809626971008","0.745701176131392",""
"Taeglich","1991","17-34","","","","",""
"Taeglich","1991","35-65","","","","",""
"Taeglich","1991","66 +","","","","",""
"Min 1x pro Woche","1991","17-34","","","","",""
"Min 1x pro Woche","1991","35-65","","","","",""
"Min 1x pro Woche","1991","66 +","","","","",""
"Min 1x pro Monat","1991","17-34","","","","",""
"Min 1x pro Monat","1991","35-65","","","","",""
"Min 1x pro Monat","1991","66 +","","","","",""
"Seltener","1991","17-34","","","","",""
"Seltener","1991","35-65","","","","",""
"Seltener","1991","66 +","","","","",""
"Nie","1991","17-34","","","","",""
"Nie","1991","35-65","","","","",""
"Nie","1991","66 +","","","","",""
"Taeglich","1992","17-34","","","","",""
"Taeglich","1992","35-65","","","","",""
"Taeglich","1992","66 +","","","","",""
"Min 1x pro Woche","1992","17-34","","","","",""
"Min 1x pro Woche","1992","35-65","","","","",""
"Min 1x pro Woche","1992","66 +","","","","",""
"Min 1x pro Monat","1992","17-34","","","","",""
"Min 1x pro Monat","1992","35-65","","","","",""
"Min 1x pro Monat","1992","66 +","","","","",""
"Seltener","1992","17-34","","","","",""
"Seltener","1992","35-65","","","","",""
"Seltener","1992","66 +","","","","",""
"Nie","1992","17-34","","","","",""
"Nie","1992","35-65","","","","",""
"Nie","1992","66 +","","","","",""
"Taeglich","1993","17-34","","","","",""
"Taeglich","1993","35-65","","","","",""
"Taeglich","1993","66 +","","","","",""
"Min 1x pro Woche","1993","17-34","","","","",""
"Min 1x pro Woche","1993","35-65","","","","",""
"Min 1x pro Woche","1993","66 +","","","","",""
"Min 1x pro Monat","1993","17-34","","","","",""
"Min 1x pro Monat","1993","35-65","","","","",""
"Min 1x pro Monat","1993","66 +","","","","",""
"Seltener","1993","17-34","","","","",""
"Seltener","1993","35-65","","","","",""
"Seltener","1993","66 +","","","","",""
"Nie","1993","17-34","","","","",""
"Nie","1993","35-65","","","","",""
"Nie","1993","66 +","","","","",""
"Taeglich","1994","17-34","","","","",""
"Taeglich","1994","35-65","","","","",""
"Taeglich","1994","66 +","","","","",""
"Min 1x pro Woche","1994","17-34","","","","",""
"Min 1x pro Woche","1994","35-65","","","","",""
"Min 1x pro Woche","1994","66 +","","","","",""
"Min 1x pro Monat","1994","17-34","","","","",""
"Min 1x pro Monat","1994","35-65","","","","",""
"Min 1x pro Monat","1994","66 +","","","","",""
"Seltener","1994","17-34","","","","",""
"Seltener","1994","35-65","","","","",""
"Seltener","1994","66 +","","","","",""
"Nie","1994","17-34","","","","",""
"Nie","1994","35-65","","","","",""
"Nie","1994","66 +","","","","",""
"Taeglich","1995","17-34","193","0.0456831208885929","0.0398369132449612","0.0515293285322246",""
"Taeglich","1995","35-65","120","0.0225407642862574","0.0190119963220698","0.0260695322504449",""
"Taeglich","1995","66 +","33","0.0237956217589463","0.0160954795646251","0.0314957639532674",""
"Min 1x pro Woche","1995","17-34","514","0.116644139675527","0.107656423270091","0.125631856080963",""
"Min 1x pro Woche","1995","35-65","473","0.0833012379489273","0.0767317955925815","0.0898706803052731",""
