year,migback,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,Pre-primary Level,,,,,,,,,,,,
1984,No migration background,Primary Level,,,,,,,,,,,,
1984,No migration background,Lower Secondary Level,265,65.47816927208976,64.15998601907032,66.7963525251092,50.0,70.0,80.0,10.0,100.0,70.0,70.0,80.0
1984,No migration background,Upper Secondary Level,515,62.21894850047398,61.28184536080905,63.156051640138905,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0
1984,No migration background,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,No migration background,First Stage of Tertiary Education,82,60.01733168650787,57.739741450457615,62.29492192255813,45.5651474596498,60.0,80.0,20.0,100.0,60.0,60.0,70.0
1984,No migration background,Second Stage of Tertiary Education,63,62.79479728871459,59.791298395009484,65.7982961824197,45.07338068527656,60.0,80.0,15.0,100.0,60.0,50.0,70.0
1984,Direct migration background,Pre-primary Level,,,,,,,,,,,,
1984,Direct migration background,Primary Level,47,58.3963010935648,54.851947315324956,61.94065487180465,40.0,50.0,80.0,22.0,100.0,50.0,20.0,70.0
1984,Direct migration background,Lower Secondary Level,,,,,,,,,,,,
1984,Direct migration background,Upper Secondary Level,60,49.9137708593474,47.98110717123643,51.84643454745837,40.0,50.0,60.0,20.0,90.0,50.0,40.0,60.0
1984,Direct migration background,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,Direct migration background,First Stage of Tertiary Education,,,,,,,,,,,,
1984,Direct migration background,Second Stage of Tertiary Education,,,,,,,,,,,,
1984,Indirect migration background,Pre-primary Level,,,,,,,,,,,,
1984,Indirect migration background,Primary Level,,,,,,,,,,,,
1984,Indirect migration background,Lower Secondary Level,,,,,,,,,,,,
1984,Indirect migration background,Upper Secondary Level,,,,,,,,,,,,
1984,Indirect migration background,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,Indirect migration background,First Stage of Tertiary Education,,,,,,,,,,,,
1984,Indirect migration background,Second Stage of Tertiary Education,,,,,,,,,,,,
1985,No migration background,Pre-primary Level,,,,,,,,,,,,
1985,No migration background,Primary Level,,,,,,,,,,,,
1985,No migration background,Lower Secondary Level,216,65.89861025555821,64.4555727261721,67.34164778494433,50.0,70.0,80.0,10.0,100.0,70.0,70.0,80.0
1985,No migration background,Upper Secondary Level,457,62.75207725643233,61.77559070194194,63.72856381092272,50.0,60.0,80.0,15.0,100.0,60.0,60.0,60.0
1985,No migration background,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1985,No migration background,First Stage of Tertiary Education,80,59.17515757050389,56.822789160636994,61.52752598037079,40.92589506588138,60.0,80.0,15.0,100.0,60.0,60.0,70.0
