"year","age_gr","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1984","17-34","58.95","45","84","30","40","80","100","100","53.54","64.36","20","100","50","70"
"1984","35-65","58.91","57.5","771","30","50","70","90","100","57.33","60.49","10","100","50","60"
"1984","66 +","71.53","66.5","272","50","60","90","100","100","68.96","74.1","10","100","70","80"
"1985","17-34","60.94","45","86","20","40","80","100","100","54.81","67.07","10","100","50","70"
"1985","35-65","59.27","57.5","670","30","50","70","90","100","57.63","60.91","10","100","50","60"
"1985","66 +","72.44","68","231","50","60","90","100","100","69.65","75.23","20","100","70","80"
"1986","17-34","","","","","","","","","","","","","",""
"1986","35-65","","","","","","","","","","","","","",""
"1986","66 +","","","","","","","","","","","","","",""
"1987","17-34","62.22","55","82","30","40","80","100","100","56.32","68.12","15","100","50","80"
"1987","35-65","58.97","57.5","605","30","50","70","90","100","57.28","60.66","10","100","50","60"
"1987","66 +","70.15","67.5","244","40","50","90","100","100","67.31","72.99","15","100","70","75"
"1988","17-34","60.32","45","93","20","40","100","100","100","54.47","66.17","10","100","50","70"
"1988","35-65","61.04","57.5","620","30","50","80","100","100","59.28","62.8","15","100","50","60"
"1988","66 +","70.21","65","284","50","50","90","100","100","67.7","72.72","15","100","70","70"
"1989","17-34","61.62","45","79","30","40","80","100","100","55.36","67.88","10","100","50","70"
"1989","35-65","58.82","47.5","602","30","50","70","100","100","57.05","60.59","12","100","50","60"
"1989","66 +","69","67.5","296","50","50","80","100","100","66.59","71.41","20","100","60","70"
"1990","17-34","","","","","","","","","","","","","",""
"1990","35-65","","","","","","","","","","","","","",""
"1990","66 +","","","","","","","","","","","","","",""
"1991","17-34","60.27","45","87","30","40","80","100","100","54.49","66.05","20","100","50","70"
"1991","35-65","57.41","49","590","30","40","70","90","100","55.65","59.17","20","100","50","50"
"1991","66 +","69.02","67.5","317","50","50","90","100","100","66.61","71.43","15","100","60","70"
"1992","17-34","59.1","45","96","30","40","80","100","100","53.52","64.68","10","100","50","60"
"1992","35-65","56.25","47.5","769","30","40","70","90","100","54.72","57.78","10","100","50","50"
"1992","66 +","69.58","68.5","397","40","50","90","100","100","67.38","71.78","20","100","60","70"
"1993","17-34","","","","","","","","","","","","","",""
"1993","35-65","","","","","","","","","","","","","",""
"1993","66 +","","","","","","","","","","","","","",""
"1994","17-34","56.8","45","90","20","30","80","100","100","50.87","62.73","10","100","50","60"
"1994","35-65","55.67","47.5","728","30","40","70","90","100","54.07","57.27","10","100","50","50"
"1994","66 +","68.62","69.5","400","40","50","90","100","100","66.42","70.82","20","100","60","70"
"1995","17-34","63.91","45","89","30","50","80","100","100","58.54","69.28","30","100","50","70"
"1995","35-65","56.23","47.5","722","30","40","70","90","100","54.74","57.72","10","100","50","50"
"1995","66 +","69.6","65","428","50","50","90","100","100","67.53","71.67","23","100","60","70"
"1996","17-34","56.59","45","101","20","30","80","100","100","50.95","62.23","10","100","50","50"
"1996","35-65","54.26","48.5","776","30","40","70","85","100","52.72","55.8","2","100","50","50"
"1996","66 +","68.43","68","439","40","50","90","100","100","66.34","70.52","15","100","60","70"
"1997","17-34","57.56","47.5","98","20","30","80","100","100","51.93","63.19","14","100","50","50"
"1997","35-65","54.64","48","770","30","40","70","85","100","53.08","56.2","10","100","50","50"
"1997","66 +","66.41","55","417","40","50","80","100","100","64.34","68.48","20","100","60","70"
"1998","17-34","54.14","45","107","20","30","80","100","100","48.77","59.51","10","100","50","50"
"1998","35-65","55","47.5","882","30","40","70","100","100","53.5","56.5","5","100","50","50"
"1998","66 +","69.05","67.5","507","50","50","90","100","100","67.16","70.94","20","100","60","70"
"1999","17-34","51.7","45","104","20","30","70","100","100","46.14","57.26","10","100","40","50"
"1999","35-65","54.94","49","873","30","40","70","90","100","53.44","56.44","10","100","50","50"
"1999","66 +","67.57","67.5","497","40","50","90","100","100","65.61","69.53","15","100","60","70"
"2000","17-34","55.57","45","149","20","30","80","100","100","50.81","60.33","10","100","50","60"
"2000","35-65","55.01","47.5","1561","30","40","70","90","100","53.88","56.14","5","100","50","50"
"2000","66 +","67.67","67.5","855","40","50","90","100","100","66.17","69.17","5","100","60","70"
"2001","17-34","58.79","45","127","20","30","90","100","100","53.43","64.15","2","100","50","60"
"2001","35-65","55.48","47.5","1419","30","40","70","100","100","54.27","56.69","5","100","50","50"
"2001","66 +","67.95","68","777","40","50","90","100","100","66.37","69.53","20","100","60","70"
"2002","17-34","63.92","65","127","20","40","100","100","100","58.61","69.23","5","100","50","70"
"2002","35-65","55.07","47.5","1505","30","40","70","100","100","53.88","56.26","5","100","50","50"
"2002","66 +","67.59","67.5","865","40","50","90","100","100","66.08","69.1","4","100","60","70"
"2003","17-34","63.08","55","122","20","35","100","100","100","57.65","68.51","5","100","50","80"
"2003","35-65","55.2","47.5","1437","30","40","70","100","100","54.01","56.39","10","100","50","50"
"2003","66 +","67.81","68","882","40","50","90","100","100","66.31","69.31","15","100","60","70"
"2004","17-34","63.87","55","126","20","35","100","100","100","58.71","69.03","10","100","50","70"
"2004","35-65","54.8","49","1422","30","40","70","90","100","53.59","56.01","5","100","50","50"
"2004","66 +","66.26","59.5","915","35","50","80","100","100","64.79","67.73","8","100","60","60"
"2005","17-34","60.76","45","108","30","40","90","100","100","55.33","66.19","5","100","50","70"
"2005","35-65","55.1","49.5","1375","30","40","70","100","100","53.87","56.33","3","100","50","50"
"2005","66 +","66.64","55","929","40","50","80","100","100","65.22","68.06","10","100","60","60"
"2006","17-34","59.08","45","101","30","40","80","100","100","53.52","64.64","3","100","50","60"
"2006","35-65","54.98","49","1453","30","40","70","100","100","53.77","56.19","2","100","50","50"
"2006","66 +","66.19","55","1110","40","50","80","100","100","64.87","67.51","4","100","60","60"
"2007","17-34","58.13","45","94","20","30","80","100","100","52.13","64.13","10","100","50","70"
"2007","35-65","55.26","47.5","1353","30","40","70","100","100","54.04","56.48","2","100","50","50"
"2007","66 +","66.7","57.5","1068","40","50","80","100","100","65.33","68.07","10","100","60","60"
"2008","17-34","59.65","45","79","20","40","80","100","100","53.25","66.05","3","100","50","60"
"2008","35-65","55.15","47.5","1268","30","40","70","100","100","53.85","56.45","2","100","50","50"
"2008","66 +","65.89","57.5","1023","40","50","80","100","100","64.5","67.28","10","100","60","60"
"2009","17-34","60.79","47.5","75","20","40","100","100","100","54.22","67.36","5","100","50","60"
"2009","35-65","54.06","48","1215","30","40","70","100","100","52.76","55.36","2","100","50","50"
"2009","66 +","64.97","57.5","984","40","50","80","100","100","63.56","66.38","10","100","60","60"
