year,sampreg,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,male,684,60.76201119903587,59.92065830174083,61.60336409633091,50.0,60.0,80.0,10.0,100.0,60.0,60.0,65.0
1984,West,female,440,65.64762218220326,64.66035757782431,66.63488678658221,50.0,60.0,80.0,10.0,100.0,60.0,50.0,60.0
1985,West,male,603,62.941857144991964,62.06412999590875,63.81958429407518,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0
1985,West,female,382,63.77063450388029,62.68890430394105,64.85236470381952,50.0,60.0,80.0,15.0,100.0,60.0,60.0,60.0
1986,West,male,,,,,,,,,,,,
1986,West,female,,,,,,,,,,,,
1987,West,male,565,61.68681555365143,60.78188181248772,62.59174929481514,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0
1987,West,female,364,64.82809065118337,63.7564721920398,65.89970911032694,50.0,60.0,80.0,10.0,100.0,60.0,50.0,60.0
1988,West,male,599,63.597125478180004,62.706527811673205,64.48772314468681,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0
1988,West,female,393,65.80846468668973,64.74357343077152,66.87335594260794,50.0,60.0,80.0,15.0,100.0,60.0,50.0,60.0
1989,West,male,581,62.64425421518595,61.76045162226776,63.52805680810415,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0
1989,West,female,395,63.40241689918898,62.34416097886299,64.46067281951497,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0
1990,West,male,,,,,,,,,,,,
1990,West,female,,,,,,,,,,,,
1990,East,male,,,,,,,,,,,,
1990,East,female,,,,,,,,,,,,
1991,West,male,600,61.544470150884564,60.65860631338586,62.43033398838327,50.0,60.0,80.0,20.0,100.0,60.0,60.0,70.0
1991,West,female,391,63.316469368535536,62.26495527240465,64.36798346466642,50.0,60.0,80.0,15.0,100.0,60.0,60.0,60.0
1991,East,male,,,,,,,,,,,,
1991,East,female,,,,,,,,,,,,
1992,West,male,601,60.98922131075534,60.0792473404986,61.899195281012084,50.0,60.0,80.0,10.0,100.0,60.0,60.0,70.0
1992,West,female,420,64.23627653042367,63.1451935630329,65.32735949781444,50.0,60.0,80.0,15.0,100.0,60.0,59.74999999999994,60.0
