"year","bildungsniveau","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1985","(Fach-)Abitur","Staedtischer Raum","66.25","55","44","58.91","73.59"
"1985","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1985","(noch) kein Abschluss","Staedtischer Raum","72.54","65","52","65.4","79.68"
"1985","AkademikerIn","Laendlicher Raum","","","","",""
"1985","AkademikerIn","Staedtischer Raum","61.96","55","50","54.89","69.03"
"1985","Hauptschule","Laendlicher Raum","60.95","55","143","57.28","64.62"
"1985","Hauptschule","Staedtischer Raum","64.99","57.5","534","63.07","66.91"
"1985","Realschule","Laendlicher Raum","","","","",""
"1985","Realschule","Staedtischer Raum","57.73","55","100","53.93","61.53"
"1986","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1986","(Fach-)Abitur","Staedtischer Raum","","","","",""
"1986","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1986","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"1986","AkademikerIn","Laendlicher Raum","","","","",""
"1986","AkademikerIn","Staedtischer Raum","","","","",""
"1986","Hauptschule","Laendlicher Raum","","","","",""
"1986","Hauptschule","Staedtischer Raum","","","","",""
"1986","Realschule","Laendlicher Raum","","","","",""
"1986","Realschule","Staedtischer Raum","","","","",""
"1987","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1987","(Fach-)Abitur","Staedtischer Raum","65.24","55","45","57.86","72.62"
"1987","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1987","(noch) kein Abschluss","Staedtischer Raum","73.27","65","58","66.37","80.17"
"1987","AkademikerIn","Laendlicher Raum","","","","",""
"1987","AkademikerIn","Staedtischer Raum","65.22","55","46","57.96","72.48"
"1987","Hauptschule","Laendlicher Raum","61.87","57.5","144","57.98","65.76"
"1987","Hauptschule","Staedtischer Raum","64.08","55","483","62.13","66.03"
"1987","Realschule","Laendlicher Raum","","","","",""
"1987","Realschule","Staedtischer Raum","58.48","55","100","54.68","62.28"
"1988","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1988","(Fach-)Abitur","Staedtischer Raum","61.44","55","49","54.12","68.76"
"1988","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1988","(noch) kein Abschluss","Staedtischer Raum","70.95","57.5","62","64.38","77.52"
"1988","AkademikerIn","Laendlicher Raum","","","","",""
"1988","AkademikerIn","Staedtischer Raum","66.66","65","45","59.57","73.75"
"1988","Hauptschule","Laendlicher Raum","65.87","57.5","150","62.08","69.66"
"1988","Hauptschule","Staedtischer Raum","65.55","55","540","63.62","67.48"
"1988","Realschule","Laendlicher Raum","","","","",""
"1988","Realschule","Staedtischer Raum","58.95","58","99","55.07","62.83"
"1989","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1989","(Fach-)Abitur","Staedtischer Raum","64.99","65","43","57.41","72.57"
"1989","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1989","(noch) kein Abschluss","Staedtischer Raum","68.42","57.5","68","62.47","74.37"
"1989","AkademikerIn","Laendlicher Raum","","","","",""
"1989","AkademikerIn","Staedtischer Raum","66.46","55","48","58.88","74.04"
"1989","Hauptschule","Laendlicher Raum","61.51","57.5","164","57.77","65.25"
"1989","Hauptschule","Staedtischer Raum","64.3","55","511","62.35","66.25"
"1989","Realschule","Laendlicher Raum","","","","",""
"1989","Realschule","Staedtischer Raum","58.35","47.5","95","54.95","61.75"
"1990","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1990","(Fach-)Abitur","Staedtischer Raum","","","","",""
"1990","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1990","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"1990","AkademikerIn","Laendlicher Raum","","","","",""
"1990","AkademikerIn","Staedtischer Raum","","","","",""
"1990","Hauptschule","Laendlicher Raum","","","","",""
"1990","Hauptschule","Staedtischer Raum","","","","",""
"1990","Realschule","Laendlicher Raum","","","","",""
"1990","Realschule","Staedtischer Raum","","","","",""
"1991","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1991","(Fach-)Abitur","Staedtischer Raum","63.42","55","50","56.84","70"
"1991","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1991","(noch) kein Abschluss","Staedtischer Raum","65.72","57.5","71","60.15","71.29"
"1991","AkademikerIn","Laendlicher Raum","","","","",""
"1991","AkademikerIn","Staedtischer Raum","62.63","55","51","55.74","69.52"
"1991","Hauptschule","Laendlicher Raum","62.69","57.5","161","58.99","66.39"
"1991","Hauptschule","Staedtischer Raum","62.8","55","518","60.84","64.76"
"1991","Realschule","Laendlicher Raum","","","","",""
"1991","Realschule","Staedtischer Raum","58.2","55","95","54.14","62.26"
"1992","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1992","(Fach-)Abitur","Staedtischer Raum","63.36","55","45","55.34","71.38"
"1992","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1992","(noch) kein Abschluss","Staedtischer Raum","66.8","55","71","61.07","72.53"
"1992","AkademikerIn","Laendlicher Raum","58.66","55","39","51.94","65.38"
"1992","AkademikerIn","Staedtischer Raum","62.68","55","73","56.92","68.44"
"1992","Hauptschule","Laendlicher Raum","61.73","57.5","255","58.89","64.57"
"1992","Hauptschule","Staedtischer Raum","62.93","55","572","61.06","64.8"
"1992","Realschule","Laendlicher Raum","58.46","45","46","50.12","66.8"
"1992","Realschule","Staedtischer Raum","56.98","45","124","53.37","60.59"
"1993","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1993","(Fach-)Abitur","Staedtischer Raum","","","","",""
"1993","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1993","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"1993","AkademikerIn","Laendlicher Raum","","","","",""
"1993","AkademikerIn","Staedtischer Raum","","","","",""
"1993","Hauptschule","Laendlicher Raum","","","","",""
"1993","Hauptschule","Staedtischer Raum","","","","",""
"1993","Realschule","Laendlicher Raum","","","","",""
"1993","Realschule","Staedtischer Raum","","","","",""
"1994","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1994","(Fach-)Abitur","Staedtischer Raum","57.77","45","39","49.32","66.22"
"1994","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1994","(noch) kein Abschluss","Staedtischer Raum","63.71","57.5","61","57.74","69.68"
"1994","AkademikerIn","Laendlicher Raum","55.5","45","46","48.25","62.75"
"1994","AkademikerIn","Staedtischer Raum","62.93","55","65","57.07","68.79"
"1994","Hauptschule","Laendlicher Raum","61.2","55","241","58.22","64.18"
"1994","Hauptschule","Staedtischer Raum","62.09","57.5","565","60.18","64"
"1994","Realschule","Laendlicher Raum","59.46","55","43","51.48","67.44"
"1994","Realschule","Staedtischer Raum","57.34","45","124","53.64","61.04"
"1995","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1995","(Fach-)Abitur","Staedtischer Raum","61.12","55","35","52.55","69.69"
"1995","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1995","(noch) kein Abschluss","Staedtischer Raum","66.19","57.5","65","60.29","72.09"
"1995","AkademikerIn","Laendlicher Raum","58.77","45","49","51.97","65.57"
"1995","AkademikerIn","Staedtischer Raum","62.53","55","73","57.33","67.73"
"1995","Hauptschule","Laendlicher Raum","62.92","56","236","60.12","65.72"
"1995","Hauptschule","Staedtischer Raum","63.82","57.5","564","62.02","65.62"
"1995","Realschule","Laendlicher Raum","57.02","45","53","50.08","63.96"
"1995","Realschule","Staedtischer Raum","58.99","45","125","55.38","62.6"
"1996","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1996","(Fach-)Abitur","Staedtischer Raum","54.23","45","38","45.12","63.34"
"1996","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1996","(noch) kein Abschluss","Staedtischer Raum","66.52","57.5","62","60.2","72.84"
"1996","AkademikerIn","Laendlicher Raum","52.62","45","50","45.94","59.3"
"1996","AkademikerIn","Staedtischer Raum","60.87","55","71","55.2","66.54"
"1996","Hauptschule","Laendlicher Raum","60.19","57.5","274","57.38","63"
"1996","Hauptschule","Staedtischer Raum","61.97","57.5","601","60.11","63.83"
"1996","Realschule","Laendlicher Raum","53.54","45","59","47.05","60.03"
"1996","Realschule","Staedtischer Raum","57.22","48.5","121","53.42","61.02"
"1997","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1997","(Fach-)Abitur","Staedtischer Raum","56.01","55","37","48.42","63.6"
"1997","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1997","(noch) kein Abschluss","Staedtischer Raum","67.3","57.5","63","60.29","74.31"
"1997","AkademikerIn","Laendlicher Raum","52.57","45","47","45.52","59.62"
"1997","AkademikerIn","Staedtischer Raum","60.57","55","70","54.88","66.26"
"1997","Hauptschule","Laendlicher Raum","60.34","55.5","271","57.66","63.02"
"1997","Hauptschule","Staedtischer Raum","60.75","57.5","579","58.89","62.61"
"1997","Realschule","Laendlicher Raum","52.79","45","58","46.59","58.99"
"1997","Realschule","Staedtischer Raum","54.45","45","120","50.78","58.12"
"1998","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1998","(Fach-)Abitur","Staedtischer Raum","57.19","45","45","50.82","63.56"
"1998","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1998","(noch) kein Abschluss","Staedtischer Raum","62.74","57.5","68","55.9","69.58"
"1998","AkademikerIn","Laendlicher Raum","53.57","45","52","47.03","60.11"
"1998","AkademikerIn","Staedtischer Raum","60.14","55","89","54.93","65.35"
"1998","Hauptschule","Laendlicher Raum","62.72","55","299","60.08","65.36"
"1998","Hauptschule","Staedtischer Raum","62.13","57.5","649","60.38","63.88"
"1998","Realschule","Laendlicher Raum","54.79","45","67","49.24","60.34"
"1998","Realschule","Staedtischer Raum","55.52","45","134","51.56","59.48"
"1999","(Fach-)Abitur","Laendlicher Raum","","","","",""
"1999","(Fach-)Abitur","Staedtischer Raum","56.91","45","46","49.64","64.18"
"1999","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"1999","(noch) kein Abschluss","Staedtischer Raum","66.06","57.5","71","59.69","72.43"
"1999","AkademikerIn","Laendlicher Raum","53.15","45","55","47.14","59.16"
"1999","AkademikerIn","Staedtischer Raum","62.24","55","85","56.84","67.64"
"1999","Hauptschule","Laendlicher Raum","62.17","55","308","59.56","64.78"
"1999","Hauptschule","Staedtischer Raum","61.59","57.5","646","59.79","63.39"
