"year","bildungsniveau","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","(Fach-)Abitur","maennlich","56.44","55","47","49.59","63.29"
"1984","(Fach-)Abitur","weiblich","","","","",""
"1984","(noch) kein Abschluss","maennlich","76.66","75","39","68.68","84.64"
"1984","(noch) kein Abschluss","weiblich","72.74","65","31","63.83","81.65"
"1984","AkademikerIn","maennlich","65.19","65","57","58.18","72.2"
"1984","AkademikerIn","weiblich","","","","",""
"1984","Hauptschule","maennlich","60.71","57.5","470","58.62","62.8"
"1984","Hauptschule","weiblich","66.79","66.5","317","64.34","69.24"
"1984","Realschule","maennlich","56.1","45","65","51.17","61.03"
"1984","Realschule","weiblich","58.8","55","66","53.21","64.39"
"1985","(Fach-)Abitur","maennlich","57.36","55","39","49.98","64.74"
"1985","(Fach-)Abitur","weiblich","","","","",""
"1985","(noch) kein Abschluss","maennlich","80.33","90","36","71.88","88.78"
"1985","(noch) kein Abschluss","weiblich","","","","",""
"1985","AkademikerIn","maennlich","63.94","65","48","56.26","71.62"
"1985","AkademikerIn","weiblich","","","","",""
"1985","Hauptschule","maennlich","63.13","55","419","60.97","65.29"
"1985","Hauptschule","weiblich","65.52","57.5","258","62.76","68.28"
"1985","Realschule","maennlich","58.09","55","58","52.64","63.54"
"1985","Realschule","weiblich","55.79","55","68","50.67","60.91"
"1986","(Fach-)Abitur","maennlich","","","","",""
"1986","(Fach-)Abitur","weiblich","","","","",""
"1986","(noch) kein Abschluss","maennlich","","","","",""
"1986","(noch) kein Abschluss","weiblich","","","","",""
"1986","AkademikerIn","maennlich","","","","",""
"1986","AkademikerIn","weiblich","","","","",""
"1986","Hauptschule","maennlich","","","","",""
"1986","Hauptschule","weiblich","","","","",""
"1986","Realschule","maennlich","","","","",""
"1986","Realschule","weiblich","","","","",""
"1987","(Fach-)Abitur","maennlich","57.23","55","39","50.08","64.38"
"1987","(Fach-)Abitur","weiblich","","","","",""
"1987","(noch) kein Abschluss","maennlich","80.65","95","41","71.89","89.41"
"1987","(noch) kein Abschluss","weiblich","","","","",""
"1987","AkademikerIn","maennlich","63.6","55","46","56.01","71.19"
"1987","AkademikerIn","weiblich","","","","",""
"1987","Hauptschule","maennlich","61.61","57.5","383","59.4","63.82"
"1987","Hauptschule","weiblich","66.37","67.5","244","63.56","69.18"
"1987","Realschule","maennlich","56.73","45","51","50.57","62.89"
"1987","Realschule","weiblich","59.06","55","71","54.36","63.76"
"1988","(Fach-)Abitur","maennlich","56.54","47.5","44","49.6","63.48"
"1988","(Fach-)Abitur","weiblich","","","","",""
"1988","(noch) kein Abschluss","maennlich","79.45","95","36","70.7","88.2"
"1988","(noch) kein Abschluss","weiblich","66.77","55","32","57.17","76.37"
"1988","AkademikerIn","maennlich","67.55","60","40","60.05","75.05"
"1988","AkademikerIn","weiblich","","","","",""
"1988","Hauptschule","maennlich","64.07","57.5","420","61.88","66.26"
"1988","Hauptschule","weiblich","67.77","65","270","65.02","70.52"
"1988","Realschule","maennlich","57.09","45","54","51.23","62.95"
"1988","Realschule","weiblich","59.58","58","64","54.27","64.89"
"1989","(Fach-)Abitur","maennlich","60.27","55","38","52.79","67.75"
"1989","(Fach-)Abitur","weiblich","","","","",""
"1989","(noch) kein Abschluss","maennlich","75.67","75","38","67.96","83.38"
"1989","(noch) kein Abschluss","weiblich","65.25","55","35","56.26","74.24"
"1989","AkademikerIn","maennlich","69.16","65","41","61.13","77.19"
"1989","AkademikerIn","weiblich","","","","",""
"1989","Hauptschule","maennlich","62.64","57.5","408","60.44","64.84"
"1989","Hauptschule","weiblich","64.89","55","267","62.08","67.7"
"1989","Realschule","maennlich","55.77","45","49","50.44","61.1"
"1989","Realschule","weiblich","58.55","58","63","53.81","63.29"
"1990","(Fach-)Abitur","maennlich","","","","",""
"1990","(Fach-)Abitur","weiblich","","","","",""
"1990","(noch) kein Abschluss","maennlich","","","","",""
"1990","(noch) kein Abschluss","weiblich","","","","",""
"1990","AkademikerIn","maennlich","","","","",""
"1990","AkademikerIn","weiblich","","","","",""
"1990","Hauptschule","maennlich","","","","",""
"1990","Hauptschule","weiblich","","","","",""
"1990","Realschule","maennlich","","","","",""
"1990","Realschule","weiblich","","","","",""
"1991","(Fach-)Abitur","maennlich","61.26","55","43","54.38","68.14"
"1991","(Fach-)Abitur","weiblich","","","","",""
"1991","(noch) kein Abschluss","maennlich","70.52","65","44","63.19","77.85"
"1991","(noch) kein Abschluss","weiblich","66.91","55","33","58.25","75.57"
"1991","AkademikerIn","maennlich","64.39","45","42","56.52","72.26"
"1991","AkademikerIn","weiblich","","","","",""
"1991","Hauptschule","maennlich","61.64","57.5","415","59.42","63.86"
"1991","Hauptschule","weiblich","64.36","55","264","61.6","67.12"
