"year","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","(Fach-)Abitur","57.9","57.9","868","57.9","57.9"
"1984","(noch) kein Abschluss","57.9","57.9","1281","57.9","57.9"
"1984","AkademikerIn","57.9","57.9","790","57.9","57.9"
"1984","Hauptschule","57.9","57.9","7249","57.9","57.9"
"1984","Realschule","57.9","57.9","1885","57.9","57.9"
"1985","(Fach-)Abitur","59.3","59.3","787","59.3","59.3"
"1985","(noch) kein Abschluss","59.3","59.3","1087","59.3","59.3"
"1985","AkademikerIn","59.3","59.3","755","59.3","59.3"
"1985","Hauptschule","59.3","59.3","6441","59.3","59.3"
"1985","Realschule","59.3","59.3","1815","59.3","59.3"
"1986","(Fach-)Abitur","60.6","60.6","808","60.6","60.6"
"1986","(noch) kein Abschluss","60.6","60.6","1028","60.6","60.6"
"1986","AkademikerIn","60.6","60.6","749","60.6","60.6"
"1986","Hauptschule","60.6","60.6","6090","60.6","60.6"
"1986","Realschule","60.6","60.6","1772","60.6","60.6"
"1987","(Fach-)Abitur","60.5","60.5","780","60.5","60.5"
"1987","(noch) kein Abschluss","60.5","60.5","1003","60.5","60.5"
"1987","AkademikerIn","60.5","60.5","742","60.5","60.5"
"1987","Hauptschule","60.5","60.5","6016","60.5","60.5"
"1987","Realschule","60.5","60.5","1759","60.5","60.5"
"1988","(Fach-)Abitur","60.6","60.6","737","60.6","60.6"
"1988","(noch) kein Abschluss","60.6","60.6","908","60.6","60.6"
"1988","AkademikerIn","60.6","60.6","702","60.6","60.6"
"1988","Hauptschule","60.6","60.6","5744","60.6","60.6"
"1988","Realschule","60.6","60.6","1701","60.6","60.6"
"1989","(Fach-)Abitur","61.4","61.4","754","61.4","61.4"
"1989","(noch) kein Abschluss","61.4","61.4","888","61.4","61.4"
"1989","AkademikerIn","61.4","61.4","698","61.4","61.4"
"1989","Hauptschule","61.4","61.4","5494","61.4","61.4"
"1989","Realschule","61.4","61.4","1651","61.4","61.4"
"1990","(Fach-)Abitur","63.1","63.1","748","63.1","63.1"
"1990","(noch) kein Abschluss","63.1","63.1","845","63.1","63.1"
"1990","AkademikerIn","63.1","63.1","699","63.1","63.1"
"1990","Hauptschule","63.1","63.1","5348","63.1","63.1"
"1990","Realschule","63.1","63.1","1625","63.1","63.1"
"1991","(Fach-)Abitur","64.8","64.8","774","64.8","64.8"
"1991","(noch) kein Abschluss","64.8","64.8","825","64.8","64.8"
"1991","AkademikerIn","64.8","64.8","724","64.8","64.8"
"1991","Hauptschule","64.8","64.8","5259","64.8","64.8"
"1991","Realschule","64.8","64.8","1654","64.8","64.8"
"1992","(Fach-)Abitur","66.47","62.1","897","66.25","66.69"
"1992","(noch) kein Abschluss","66.34","62.1","872","66.16","66.52"
"1992","AkademikerIn","63.49","62.1","1655","63.25","63.73"
"1992","Hauptschule","65.61","62.1","6539","65.51","65.71"
"1992","Realschule","64.23","62.1","3104","64.05","64.41"
"1993","(Fach-)Abitur","69.4","67.2","910","69.28","69.52"
"1993","(noch) kein Abschluss","69.31","67.2","850","69.21","69.41"
"1993","AkademikerIn","67.96","67.2","1636","67.83","68.09"
"1993","Hauptschule","69.01","67.2","6347","68.96","69.06"
"1993","Realschule","68.29","67.2","3096","68.2","68.38"
"1994","(Fach-)Abitur","72.23","71.9","921","72.21","72.25"
"1994","(noch) kein Abschluss","72.22","71.9","848","72.2","72.24"
"1994","AkademikerIn","72.03","71.9","1653","72.01","72.05"
"1994","Hauptschule","72.18","71.9","6103","72.17","72.19"
"1994","Realschule","72.07","71.9","3048","72.06","72.08"
"1995","(Fach-)Abitur","74.28","74.2","1061","74.28","74.28"
"1995","(noch) kein Abschluss","74.28","74.2","881","74.28","74.28"
"1995","AkademikerIn","74.24","74.2","1753","74.24","74.24"
"1995","Hauptschule","74.27","74.2","6125","74.27","74.27"
"1995","Realschule","74.24","74.2","3116","74.24","74.24"
"1996","(Fach-)Abitur","75.5","75.5","1029","75.5","75.5"
"1996","(noch) kein Abschluss","75.5","75.5","841","75.5","75.5"
"1996","AkademikerIn","75.5","75.5","1764","75.5","75.5"
"1996","Hauptschule","75.5","75.5","5946","75.5","75.5"
"1996","Realschule","75.5","75.5","3116","75.5","75.5"
"1997","(Fach-)Abitur","76.54","76.5","1019","76.53","76.55"
"1997","(noch) kein Abschluss","76.55","76.5","832","76.54","76.56"
"1997","AkademikerIn","76.63","76.5","1767","76.62","76.64"
"1997","Hauptschule","76.56","76.5","5772","76.56","76.56"
"1997","Realschule","76.61","76.5","3080","76.6","76.62"
"1998","(Fach-)Abitur","77.97","77.9","1147","77.95","77.99"
"1998","(noch) kein Abschluss","78","77.9","824","77.98","78.02"
"1998","AkademikerIn","78.15","77.9","1969","78.13","78.17"
"1998","Hauptschule","78.02","77.9","6196","78.01","78.03"
"1998","Realschule","78.13","77.9","3395","78.12","78.14"
"1999","(Fach-)Abitur","78.69","78.6","1136","78.67","78.71"
"1999","(noch) kein Abschluss","78.71","78.6","791","78.69","78.73"
"1999","AkademikerIn","78.87","78.6","1959","78.85","78.89"
"1999","Hauptschule","78.72","78.6","6025","78.71","78.73"
"1999","Realschule","78.86","78.6","3381","78.85","78.87"
"2000","(Fach-)Abitur","79.17","79.1","2352","79.16","79.18"
"2000","(noch) kein Abschluss","79.2","79.1","918","79.18","79.22"
"2000","AkademikerIn","79.28","79.1","3818","79.27","79.29"
"2000","Hauptschule","79.2","79.1","10679","79.2","79.2"
"2000","Realschule","79.3","79.1","6289","79.29","79.31"
