"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","maennlich","","","","",""
"1984","16-34 Jahre alt","weiblich","","","","",""
"1984","35-65 Jahre alt","maennlich","57.9","57.9","3220","57.9","57.9"
"1984","35-65 Jahre alt","weiblich","57.9","57.9","3123","57.9","57.9"
"1984","66 und Ã¤lter","maennlich","57.9","57.9","509","57.9","57.9"
"1984","66 und Ã¤lter","weiblich","57.9","57.9","771","57.9","57.9"
"1985","16-34 Jahre alt","maennlich","","","","",""
"1985","16-34 Jahre alt","weiblich","","","","",""
"1985","35-65 Jahre alt","maennlich","","","","",""
"1985","35-65 Jahre alt","weiblich","","","","",""
"1985","66 und Ã¤lter","maennlich","59.3","59.3","447","59.3","59.3"
"1985","66 und Ã¤lter","weiblich","59.3","59.3","671","59.3","59.3"
"1986","16-34 Jahre alt","maennlich","","","","",""
"1986","16-34 Jahre alt","weiblich","","","","",""
"1986","35-65 Jahre alt","maennlich","","","","",""
"1986","35-65 Jahre alt","weiblich","","","","",""
"1986","66 und Ã¤lter","maennlich","60.6","60.6","425","60.6","60.6"
"1986","66 und Ã¤lter","weiblich","60.6","60.6","622","60.6","60.6"
"1987","16-34 Jahre alt","maennlich","","","","",""
"1987","16-34 Jahre alt","weiblich","","","","",""
"1987","35-65 Jahre alt","maennlich","","","","",""
"1987","35-65 Jahre alt","weiblich","","","","",""
"1987","66 und Ã¤lter","maennlich","60.5","60.5","429","60.5","60.5"
"1987","66 und Ã¤lter","weiblich","60.5","60.5","656","60.5","60.5"
"1988","16-34 Jahre alt","maennlich","","","","",""
"1988","16-34 Jahre alt","weiblich","","","","",""
"1988","35-65 Jahre alt","maennlich","","","","",""
"1988","35-65 Jahre alt","weiblich","","","","",""
"1988","66 und Ã¤lter","maennlich","60.6","60.6","420","60.6","60.6"
"1988","66 und Ã¤lter","weiblich","60.6","60.6","635","60.6","60.6"
"1989","16-34 Jahre alt","maennlich","","","","",""
"1989","16-34 Jahre alt","weiblich","","","","",""
"1989","35-65 Jahre alt","maennlich","","","","",""
"1989","35-65 Jahre alt","weiblich","","","","",""
"1989","66 und Ã¤lter","maennlich","61.4","61.4","400","61.4","61.4"
"1989","66 und Ã¤lter","weiblich","61.4","61.4","629","61.4","61.4"
"1990","16-34 Jahre alt","maennlich","","","","",""
"1990","16-34 Jahre alt","weiblich","","","","",""
"1990","35-65 Jahre alt","maennlich","","","","",""
"1990","35-65 Jahre alt","weiblich","","","","",""
"1990","66 und Ã¤lter","maennlich","63.1","63.1","417","63.1","63.1"
"1990","66 und Ã¤lter","weiblich","63.1","63.1","644","63.1","63.1"
"1991","16-34 Jahre alt","maennlich","","","","",""
"1991","16-34 Jahre alt","weiblich","","","","",""
"1991","35-65 Jahre alt","maennlich","","","","",""
"1991","35-65 Jahre alt","weiblich","","","","",""
"1991","66 und Ã¤lter","maennlich","64.8","64.8","423","64.8","64.8"
"1991","66 und Ã¤lter","weiblich","64.8","64.8","653","64.8","64.8"
"1992","16-34 Jahre alt","maennlich","","","","",""
"1992","16-34 Jahre alt","weiblich","","","","",""
"1992","35-65 Jahre alt","maennlich","65.09","67.2","3437","64.93","65.25"
"1992","35-65 Jahre alt","weiblich","65.09","67.2","3474","64.93","65.25"
"1992","66 und Ã¤lter","maennlich","65.5","67.2","557","65.14","65.86"
"1992","66 und Ã¤lter","weiblich","65.3","67.2","923","65","65.6"
"1993","16-34 Jahre alt","maennlich","","","","",""
"1993","16-34 Jahre alt","weiblich","","","","",""
"1993","35-65 Jahre alt","maennlich","68.74","69.8","3364","68.66","68.82"
"1993","35-65 Jahre alt","weiblich","68.75","69.8","3394","68.67","68.83"
"1993","66 und Ã¤lter","maennlich","68.95","69.8","561","68.77","69.13"
"1993","66 und Ã¤lter","weiblich","68.84","69.8","939","68.69","68.99"
"1994","16-34 Jahre alt","maennlich","","","","",""
"1994","16-34 Jahre alt","weiblich","","","","",""
"1994","35-65 Jahre alt","maennlich","72.13","72.3","3288","72.12","72.14"
"1994","35-65 Jahre alt","weiblich","72.14","72.3","3317","72.13","72.15"
"1994","66 und Ã¤lter","maennlich","72.17","72.3","571","72.14","72.2"
