"year","bildungsniveau","bula_h","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","(Fach-)Abitur","Baden-Württemberg","57.9","57.9","135","57.9","57.9"
"1984","(Fach-)Abitur","Bayern","57.9","57.9","138","57.9","57.9"
"1984","(Fach-)Abitur","Berlin","57.9","57.9","35","57.9","57.9"
"1984","(Fach-)Abitur","Brandenburg","","","","",""
"1984","(Fach-)Abitur","Bremen","","","","",""
"1984","(Fach-)Abitur","Hamburg","57.9","57.9","44","57.9","57.9"
"1984","(Fach-)Abitur","Hessen","57.9","57.9","106","57.9","57.9"
"1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","","",""
"1984","(Fach-)Abitur","Niedersachsen","57.9","57.9","79","57.9","57.9"
"1984","(Fach-)Abitur","Nordrhein-Westfalen","57.9","57.9","261","57.9","57.9"
"1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","57.9","57.9","33","57.9","57.9"
"1984","(Fach-)Abitur","Sachsen","","","","",""
"1984","(Fach-)Abitur","Sachsen-Anhalt","","","","",""
"1984","(Fach-)Abitur","Schleswig-Holstein","","","","",""
"1984","(Fach-)Abitur","Thüringen","","","","",""
"1984","(noch) kein Abschluss","Baden-Württemberg","57.9","57.9","334","57.9","57.9"
"1984","(noch) kein Abschluss","Bayern","57.9","57.9","131","57.9","57.9"
"1984","(noch) kein Abschluss","Berlin","57.9","57.9","48","57.9","57.9"
"1984","(noch) kein Abschluss","Brandenburg","","","","",""
"1984","(noch) kein Abschluss","Bremen","","","","",""
"1984","(noch) kein Abschluss","Hamburg","","","","",""
"1984","(noch) kein Abschluss","Hessen","57.9","57.9","142","57.9","57.9"
"1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","","",""
"1984","(noch) kein Abschluss","Niedersachsen","57.9","57.9","96","57.9","57.9"
"1984","(noch) kein Abschluss","Nordrhein-Westfalen","57.9","57.9","403","57.9","57.9"
"1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","57.9","57.9","74","57.9","57.9"
"1984","(noch) kein Abschluss","Sachsen","","","","",""
"1984","(noch) kein Abschluss","Sachsen-Anhalt","","","","",""
"1984","(noch) kein Abschluss","Schleswig-Holstein","","","","",""
"1984","(noch) kein Abschluss","Thüringen","","","","",""
"1984","AkademikerIn","Baden-Württemberg","57.9","57.9","125","57.9","57.9"
"1984","AkademikerIn","Bayern","57.9","57.9","157","57.9","57.9"
"1984","AkademikerIn","Berlin","57.9","57.9","37","57.9","57.9"
"1984","AkademikerIn","Brandenburg","","","","",""
"1984","AkademikerIn","Bremen","","","","",""
"1984","AkademikerIn","Hamburg","","","","",""
"1984","AkademikerIn","Hessen","57.9","57.9","93","57.9","57.9"
"1984","AkademikerIn","Mecklenburg-Vorpommern","","","","",""
"1984","AkademikerIn","Niedersachsen","57.9","57.9","78","57.9","57.9"
"1984","AkademikerIn","Nordrhein-Westfalen","57.9","57.9","225","57.9","57.9"
"1984","AkademikerIn","Rheinland-Pfalz,Saarland","57.9","57.9","37","57.9","57.9"
"1984","AkademikerIn","Sachsen","","","","",""
"1984","AkademikerIn","Sachsen-Anhalt","","","","",""
"1984","AkademikerIn","Schleswig-Holstein","","","","",""
"1984","AkademikerIn","Thüringen","","","","",""
"1984","Hauptschule","Baden-Württemberg","57.9","57.9","1355","57.9","57.9"
"1984","Hauptschule","Bayern","57.9","57.9","1284","57.9","57.9"
"1984","Hauptschule","Berlin","57.9","57.9","210","57.9","57.9"
"1984","Hauptschule","Brandenburg","","","","",""
"1984","Hauptschule","Bremen","57.9","57.9","92","57.9","57.9"
"1984","Hauptschule","Hamburg","57.9","57.9","163","57.9","57.9"
"1984","Hauptschule","Hessen","57.9","57.9","706","57.9","57.9"
"1984","Hauptschule","Mecklenburg-Vorpommern","","","","",""
"1984","Hauptschule","Niedersachsen","57.9","57.9","748","57.9","57.9"
"1984","Hauptschule","Nordrhein-Westfalen","57.9","57.9","1873","57.9","57.9"
"1984","Hauptschule","Rheinland-Pfalz,Saarland","57.9","57.9","593","57.9","57.9"
"1984","Hauptschule","Sachsen","","","","",""
"1984","Hauptschule","Sachsen-Anhalt","","","","",""
"1984","Hauptschule","Schleswig-Holstein","57.9","57.9","225","57.9","57.9"
"1984","Hauptschule","Thüringen","","","","",""
"1984","Realschule","Baden-Württemberg","57.9","57.9","282","57.9","57.9"
"1984","Realschule","Bayern","57.9","57.9","370","57.9","57.9"
"1984","Realschule","Berlin","57.9","57.9","76","57.9","57.9"
"1984","Realschule","Brandenburg","","","","",""
"1984","Realschule","Bremen","","","","",""
"1984","Realschule","Hamburg","57.9","57.9","55","57.9","57.9"
"1984","Realschule","Hessen","57.9","57.9","188","57.9","57.9"
"1984","Realschule","Mecklenburg-Vorpommern","","","","",""
"1984","Realschule","Niedersachsen","57.9","57.9","228","57.9","57.9"
"1984","Realschule","Nordrhein-Westfalen","57.9","57.9","462","57.9","57.9"
"1984","Realschule","Rheinland-Pfalz,Saarland","57.9","57.9","109","57.9","57.9"
"1984","Realschule","Sachsen","","","","",""
"1984","Realschule","Sachsen-Anhalt","","","","",""
"1984","Realschule","Schleswig-Holstein","57.9","57.9","92","57.9","57.9"
"1984","Realschule","Thüringen","","","","",""
"1985","(Fach-)Abitur","Baden-Württemberg","59.3","59.3","124","59.3","59.3"
