year,hhtyp,rentown,hlc0083_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1995,Single-person household,Owner,No,1.00000,279,6259,0,0.94446,0,1.05680
1995,Single-person household,Tenant,Yes,0.10207,119,6259,0,0.08932,0,0.11201
1995,Single-person household,Tenant,No,0.89793,964,6259,0,0.86891,0,0.92876
1995,Couple without children,Owner,No,1.00000,651,6259,0,0.95257,0,1.04399
1995,Couple without children,Tenant,Yes,0.02861,37,6259,0,0.02350,0,0.03435
1995,Couple without children,Tenant,No,0.97139,1087,6259,0,0.92556,0,1.01500
1995,Single parent,Owner,No,1.00000,79,6259,0,0.88925,0,1.10937
1995,Single parent,Tenant,Yes,0.32422,78,6259,0,0.26771,0,0.37990
1995,Single parent,Tenant,No,0.67578,176,6259,0,0.60526,0,0.74136
1995,Couple with children,Owner,Yes,0.02139,33,6259,0,0.01807,0,0.02459
1995,Couple with children,Owner,No,0.97861,1010,6259,0,0.93478,0,1.01897
1995,Couple with children,Tenant,Yes,0.10713,148,6259,0,0.09693,0,0.12107
1995,Couple with children,Tenant,No,0.89287,1335,6259,0,0.85482,0,0.93189
1995,Multi-generational household,Owner,No,1.00000,66,6259,0,0.78790,0,1.19880
1995,Multi-generational household,Tenant,No,1.00000,50,6259,0,0.69788,0,1.29911
1995,Other Combinations,Owner,No,1.00000,64,6259,0,0.85036,0,1.16528
1995,Other Combinations,Tenant,No,1.00000,83,6259,0,0.84777,0,1.15274
1996,Single-person household,Owner,No,1.00000,271,6121,0,0.94208,0,1.06035
1996,Single-person household,Tenant,Yes,0.09011,110,6121,0,0.08070,0,0.10162
1996,Single-person household,Tenant,No,0.90989,980,6121,0,0.88000,0,0.94065
1996,Couple without children,Owner,No,1.00000,662,6121,0,0.95988,0,1.05020
1996,Couple without children,Tenant,No,1.00000,1074,6121,0,0.95399,0,1.04208
1996,Single parent,Owner,No,1.00000,90,6121,0,0.89366,0,1.12198
1996,Single parent,Tenant,Yes,0.23016,66,6121,0,0.19081,0,0.26730
1996,Single parent,Tenant,No,0.76984,193,6121,0,0.68789,0,0.84625
1996,Couple with children,Owner,No,1.00000,1033,6121,0,0.95982,0,1.03833
1996,Couple with children,Tenant,Yes,0.09021,125,6121,0,0.07709,0,0.10251
1996,Couple with children,Tenant,No,0.90979,1281,6121,0,0.87026,0,0.94419
1996,Multi-generational household,Owner,No,1.00000,61,6121,0,0.82610,0,1.19806
1996,Multi-generational household,Tenant,No,1.00000,41,6121,0,0.74238,0,1.28582
1996,Other Combinations,Owner,No,1.00000,58,6121,0,0.81786,0,1.17983
1996,Other Combinations,Tenant,No,1.00000,76,6121,0,0.83338,0,1.13883
1997,Single-person household,Owner,No,1.00000,272,6046,0,0.94335,0,1.06117
1997,Single-person household,Tenant,Yes,0.08564,96,6046,0,0.07646,0,0.09722
1997,Single-person household,Tenant,No,0.91436,960,6046,0,0.87323,0,0.94646
1997,Couple without children,Owner,No,1.00000,687,6046,0,0.96031,0,1.04594
1997,Couple without children,Tenant,No,1.00000,1079,6046,0,0.95812,0,1.03888
1997,Single parent,Owner,No,1.00000,87,6046,0,0.87550,0,1.17357
1997,Single parent,Tenant,Yes,0.21644,59,6046,0,0.17579,0,0.25358
1997,Single parent,Tenant,No,0.78356,208,6046,0,0.71892,0,0.85701
1997,Couple with children,Owner,No,1.00000,1062,6046,0,0.95732,0,1.04871
1997,Couple with children,Tenant,Yes,0.08908,116,6046,0,0.07780,0,0.10159
1997,Couple with children,Tenant,No,0.91092,1182,6046,0,0.86412,0,0.94739
1997,Multi-generational household,Owner,No,1.00000,57,6046,0,0.77391,0,1.19655
1997,Multi-generational household,Tenant,No,1.00000,43,6046,0,0.73696,0,1.29913
1997,Other Combinations,Owner,No,1.00000,63,6046,0,0.82755,0,1.17823
1997,Other Combinations,Tenant,No,1.00000,75,6046,0,0.81528,0,1.16821
1998,Single-person household,Owner,No,1.00000,362,7034,0,0.95535,0,1.03975
1998,Single-person household,Tenant,Yes,0.09258,129,7034,0,0.08264,0,0.10243
1998,Single-person household,Tenant,No,0.90742,1165,7034,0,0.87659,0,0.93339
1998,Couple without children,Owner,No,1.00000,881,7034,0,0.95718,0,1.04377
1998,Couple without children,Tenant,No,1.00000,1213,7034,0,0.96140,0,1.03224
1998,Single parent,Owner,No,1.00000,101,7034,0,0.89168,0,1.09496
1998,Single parent,Tenant,Yes,0.26927,90,7034,0,0.23387,0,0.30401
1998,Single parent,Tenant,No,0.73073,233,7034,0,0.67173,0,0.80308
1998,Couple with children,Owner,No,1.00000,1258,7034,0,0.95966,0,1.02900
1998,Couple with children,Tenant,Yes,0.10002,127,7034,0,0.08661,0,0.11321
1998,Couple with children,Tenant,No,0.89998,1237,7034,0,0.86208,0,0.94499
1998,Multi-generational household,Owner,No,1.00000,54,7034,0,0.85416,0,1.21006
1998,Multi-generational household,Tenant,No,1.00000,42,7034,0,0.75041,0,1.23000
1998,Other Combinations,Owner,No,1.00000,68,7034,0,0.87003,0,1.12576
1998,Other Combinations,Tenant,No,1.00000,74,7034,0,0.85347,0,1.18115
1999,Single-person household,Owner,No,1.00000,368,7042,0,0.95333,0,1.05093
1999,Single-person household,Tenant,Yes,0.08014,107,7042,0,0.07139,0,0.09014
1999,Single-person household,Tenant,No,0.91986,1161,7042,0,0.88963,0,0.94986
1999,Couple without children,Owner,No,1.00000,900,7042,0,0.95710,0,1.03534
1999,Couple without children,Tenant,No,1.00000,1229,7042,0,0.95921,0,1.03821
1999,Single parent,Owner,No,1.00000,103,7042,0,0.88480,0,1.13911
1999,Single parent,Tenant,Yes,0.25328,91,7042,0,0.21244,0,0.28841
1999,Single parent,Tenant,No,0.74672,245,7042,0,0.67785,0,0.80455
1999,Couple with children,Owner,No,1.00000,1361,7042,0,0.96298,0,1.03099
1999,Couple with children,Tenant,Yes,0.07805,114,7042,0,0.06798,0,0.08971
1999,Couple with children,Tenant,No,0.92195,1231,7042,0,0.88413,0,0.96349
1999,Multi-generational household,Owner,No,1.00000,53,7042,0,0.77960,0,1.22080
1999,Multi-generational household,Tenant,No,1.00000,40,7042,0,0.79466,0,1.26163
1999,Other Combinations,Tenant,No,1.00000,39,7042,0,0.83679,0,1.22585
2000,Single-person household,Owner,No,1.00000,868,12938,0,0.97317,0,1.02937
2000,Single-person household,Tenant,Yes,0.06516,173,12938,0,0.06023,0,0.06959
2000,Single-person household,Tenant,No,0.93484,2218,12938,0,0.91852,0,0.94972
2000,Couple without children,Owner,No,1.00000,1990,12938,0,0.97848,0,1.01620
2000,Couple without children,Tenant,Yes,0.02019,46,12938,0,0.01701,0,0.02287
2000,Couple without children,Tenant,No,0.97981,1931,12938,0,0.95790,0,1.00217
2000,Single parent,Owner,No,1.00000,201,12938,0,0.92211,0,1.09137
2000,Single parent,Tenant,Yes,0.23058,144,12938,0,0.21310,0,0.24525
2000,Single parent,Tenant,No,0.76942,414,12938,0,0.73735,0,0.80679
2000,Couple with children,Owner,Yes,0.01094,31,12938,0,0.00890,0,0.01370
2000,Couple with children,Owner,No,0.98906,2527,12938,0,0.96977,0,1.00889
2000,Couple with children,Tenant,Yes,0.07398,162,12938,0,0.06721,0,0.08165
2000,Couple with children,Tenant,No,0.92602,1910,12938,0,0.90412,0,0.94870
2000,Multi-generational household,Owner,No,1.00000,120,12938,0,0.89857,0,1.11904
