,Unnamed: 0,year,hhtyp,quintil_oecd_hh,hlc0083_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1995,Single-person household,1st Quintile,Yes,0.24437,104,6022,0.22099,0.2703
1,1,1995,Single-person household,1st Quintile,No,0.75563,292,6022,0.70573,0.80538
2,2,1995,Single-person household,2nd Quintile,No,1.0,275,6022,0.9249,1.06293
3,3,1995,Single-person household,3rd Quintile,No,1.0,266,6022,0.92263,1.06485
4,4,1995,Single-person household,4th Quintile,No,1.0,229,6022,0.92726,1.06559
5,5,1995,Single-person household,5th Quintile,No,1.0,179,6022,0.93728,1.08235
6,6,1995,Couple without children,1st Quintile,No,1.0,188,6022,0.9009,1.10334
7,7,1995,Couple without children,2nd Quintile,No,1.0,315,6022,0.93269,1.0652
8,8,1995,Couple without children,3rd Quintile,No,1.0,349,6022,0.9254,1.06801
9,9,1995,Couple without children,4th Quintile,No,1.0,398,6022,0.93729,1.05907
10,10,1995,Couple without children,5th Quintile,No,1.0,488,6022,0.94265,1.07843
11,11,1995,Single parent,1st Quintile,Yes,0.45752,68,6022,0.37438,0.55221
12,12,1995,Single parent,1st Quintile,No,0.54248,75,6022,0.45494,0.61913
13,13,1995,Single parent,2nd Quintile,No,1.0,58,6022,0.81437,1.23743
14,14,1995,Single parent,3rd Quintile,No,1.0,46,6022,0.77699,1.21836
15,15,1995,Single parent,4th Quintile,No,1.0,41,6022,0.84144,1.16426
16,16,1995,Single parent,5th Quintile,No,1.0,35,6022,0.8826,1.14793
17,17,1995,Couple with children,1st Quintile,Yes,0.2529,127,6022,0.21973,0.28453
18,18,1995,Couple with children,1st Quintile,No,0.7471,375,6022,0.68516,0.81291
19,19,1995,Couple with children,2nd Quintile,Yes,0.07238,40,6022,0.05508,0.09258
20,20,1995,Couple with children,2nd Quintile,No,0.92762,590,6022,0.86962,0.98154
21,21,1995,Couple with children,3rd Quintile,No,1.0,579,6022,0.94844,1.06602
22,22,1995,Couple with children,4th Quintile,No,1.0,476,6022,0.94711,1.06845
23,23,1995,Couple with children,5th Quintile,No,1.0,325,6022,0.93478,1.07827
24,24,1995,Other Combinations,3rd Quintile,No,1.0,33,6022,0.77496,1.25469
25,25,1995,Other Combinations,4th Quintile,No,1.0,37,6022,0.79425,1.23694
26,26,1995,Other Combinations,5th Quintile,No,1.0,34,6022,0.7837,1.18736
27,27,1996,Single-person household,1st Quintile,Yes,0.22899,101,5921,0.19868,0.25957
28,28,1996,Single-person household,1st Quintile,No,0.77101,306,5921,0.72254,0.82136
29,29,1996,Single-person household,2nd Quintile,No,1.0,270,5921,0.92585,1.064
30,30,1996,Single-person household,3rd Quintile,No,1.0,253,5921,0.92607,1.07127
31,31,1996,Single-person household,4th Quintile,No,1.0,238,5921,0.93359,1.07277
32,32,1996,Single-person household,5th Quintile,No,1.0,181,5921,0.92715,1.07015
33,33,1996,Couple without children,1st Quintile,No,1.0,196,5921,0.90707,1.08962
34,34,1996,Couple without children,2nd Quintile,No,1.0,306,5921,0.93005,1.06879
35,35,1996,Couple without children,3rd Quintile,No,1.0,372,5921,0.93304,1.06973
36,36,1996,Couple without children,4th Quintile,No,1.0,406,5921,0.92351,1.08237
37,37,1996,Couple without children,5th Quintile,No,1.0,455,5921,0.93576,1.0684
38,38,1996,Single parent,1st Quintile,Yes,0.39739,64,5921,0.3275,0.45626
39,39,1996,Single parent,1st Quintile,No,0.60261,87,5921,0.50449,0.70481
40,40,1996,Single parent,2nd Quintile,No,1.0,66,5921,0.83333,1.1619
41,41,1996,Single parent,3rd Quintile,No,1.0,51,5921,0.84747,1.19231
42,42,1996,Single parent,4th Quintile,No,1.0,46,5921,0.81975,1.17697
43,43,1996,Single parent,5th Quintile,No,1.0,33,5921,0.82086,1.18784
44,44,1996,Couple with children,1st Quintile,Yes,0.24747,103,5921,0.20238,0.27857
45,45,1996,Couple with children,1st Quintile,No,0.75253,351,5921,0.67604,0.80911
46,46,1996,Couple with children,2nd Quintile,Yes,0.05044,35,5921,0.03986,0.061
47,47,1996,Couple with children,2nd Quintile,No,0.94956,605,5921,0.8896,1.01463
48,48,1996,Couple with children,3rd Quintile,No,1.0,551,5921,0.9357,1.06589
49,49,1996,Couple with children,4th Quintile,No,1.0,462,5921,0.95244,1.06324
50,50,1996,Couple with children,5th Quintile,No,1.0,345,5921,0.92163,1.08611
51,51,1996,Other Combinations,4th Quintile,No,1.0,38,5921,0.78653,1.22536
52,52,1997,Single-person household,1st Quintile,Yes,0.19733,80,5837,0.16976,0.22619
53,53,1997,Single-person household,1st Quintile,No,0.80267,312,5837,0.75215,0.85248
