year,rentown,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Owner,Yes,0.01322,49,2198,0.00844,0.01799
1995,Owner,No,0.91422,2149,2198,0.90251,0.92593
1995,Tenant,Yes,0.09316,399,4094,0.08426,0.10207
1995,Tenant,No,0.85597,3695,4094,0.84521,0.86673
1996,Owner,Yes,0.01149,41,2216,0.00705,0.01593
1996,Owner,No,0.90422,2175,2216,0.89196,0.91647
1996,Tenant,Yes,0.07756,345,3990,0.06926,0.08586
1996,Tenant,No,0.85709,3645,3990,0.84623,0.86795
1997,Owner,No,0.90629,2228,2228,0.89419,0.91839
1997,Tenant,Yes,0.07144,306,3853,0.06331,0.07957
1997,Tenant,No,0.85878,3547,3853,0.84778,0.86978
1998,Owner,No,0.93912,2724,2724,0.93014,0.94811
1998,Tenant,Yes,0.08405,385,4349,0.07580,0.09230
1998,Tenant,No,0.87363,3964,4349,0.86375,0.88351
1999,Owner,Yes,0.00914,44,2859,0.00565,0.01263
1999,Owner,No,0.99086,2815,2859,0.98737,0.99435
1999,Tenant,Yes,0.07516,339,4284,0.06727,0.08306
1999,Tenant,No,0.92484,3945,4284,0.91694,0.93273
2000,Owner,Yes,0.00463,37,5825,0.00289,0.00638
2000,Owner,No,0.99537,5788,5825,0.99362,0.99711
2000,Tenant,Yes,0.06749,531,7125,0.06166,0.07331
2000,Tenant,No,0.93251,6594,7125,0.92669,0.93834
2001,Owner,Yes,0.00475,33,5267,0.00289,0.00661
2001,Owner,No,0.99525,5234,5267,0.99339,0.99711
2001,Tenant,Yes,0.05616,401,6413,0.05053,0.06180
2001,Tenant,No,0.94384,6012,6413,0.93820,0.94947
2002,Owner,No,0.99478,5818,5818,0.99293,0.99663
2002,Tenant,Yes,0.06109,387,6368,0.05521,0.06697
2002,Tenant,No,0.93891,5981,6368,0.93303,0.94479
2003,Owner,Yes,0.00460,32,5659,0.00284,0.00637
2003,Owner,No,0.99540,5627,5659,0.99363,0.99716
2003,Tenant,Yes,0.07022,423,6145,0.06383,0.07661
2003,Tenant,No,0.92978,5722,6145,0.92339,0.93617
2004,Owner,Yes,0.00711,35,5561,0.00490,0.00932
2004,Owner,No,0.99289,5526,5561,0.99068,0.99510
2004,Tenant,Yes,0.07759,437,5982,0.07081,0.08437
2004,Tenant,No,0.92241,5545,5982,0.91563,0.92919
2005,Owner,Yes,0.00734,32,5385,0.00506,0.00962
2005,Owner,No,0.99266,5353,5385,0.99038,0.99494
2005,Tenant,Yes,0.05263,324,5813,0.04689,0.05837
2005,Tenant,No,0.94737,5489,5813,0.94163,0.95311
2006,Owner,No,0.99479,5974,5974,0.99296,0.99661
2006,Tenant,Yes,0.05098,320,6260,0.04553,0.05643
2006,Tenant,No,0.94902,5940,6260,0.94357,0.95447
2007,Owner,No,0.99601,5599,5599,0.99435,0.99766
2007,Tenant,Yes,0.04959,275,5833,0.04401,0.05516
2007,Tenant,No,0.95041,5558,5833,0.94484,0.95599
2008,Owner,No,0.99783,5365,5365,0.99659,0.99908
2008,Tenant,Yes,0.04568,248,5443,0.04013,0.05123
2008,Tenant,No,0.95432,5195,5443,0.94877,0.95987
2009,Owner,No,0.99728,5049,5049,0.99585,0.99872
2009,Tenant,Yes,0.04383,232,5114,0.03822,0.04945
2009,Tenant,No,0.95617,4882,5114,0.95055,0.96178
2010,Owner,Yes,0.00318,64,6115,0.00177,0.00459
2010,Owner,No,0.95173,6051,6115,0.94636,0.95711
2010,Tenant,Yes,0.04589,549,7282,0.04108,0.05070
2010,Tenant,No,0.91992,6733,7282,0.91369,0.92616
2011,Owner,Yes,0.00332,66,7523,0.00202,0.00461
2011,Owner,No,0.96384,7457,7523,0.95962,0.96806
2011,Tenant,Yes,0.04308,664,8704,0.03881,0.04734
2011,Tenant,No,0.92933,8040,8704,0.92394,0.93471
2012,Owner,Yes,0.00261,55,7435,0.00145,0.00376
2012,Owner,No,0.97158,7380,7435,0.96780,0.97536
2012,Tenant,Yes,0.03763,526,8519,0.03359,0.04168
2012,Tenant,No,0.93659,7993,8519,0.93142,0.94177
2013,Owner,Yes,0.00259,49,7534,0.00145,0.00374
2013,Owner,No,0.97094,7485,7534,0.96715,0.97473
2013,Tenant,Yes,0.03551,559,9981,0.03188,0.03914
2013,Tenant,No,0.93863,9422,9981,0.93392,0.94334
2014,Owner,Yes,0.00175,35,6948,0.00077,0.00273
2014,Owner,No,0.97434,6913,6948,0.97062,0.97806
2014,Tenant,Yes,0.03050,374,8655,0.02688,0.03412
2014,Tenant,No,0.94384,8281,8655,0.93899,0.94869
2015,Owner,No,0.82611,5823,5823,0.81638,0.83585
2015,Tenant,Yes,0.02450,322,8216,0.02116,0.02785
2015,Tenant,No,0.81934,7894,8216,0.81102,0.82766
2016,Owner,No,0.97492,6162,6162,0.97102,0.97883
2016,Tenant,Yes,0.02718,295,7916,0.02360,0.03076
2016,Tenant,No,0.95445,7621,7916,0.94986,0.95904
2017,Owner,Yes,0.00173,32,6954,0.00075,0.00271
2017,Owner,No,0.97715,6922,6954,0.97364,0.98067
2017,Tenant,Yes,0.02690,509,10315,0.02378,0.03002
2017,Tenant,No,0.95485,9806,10315,0.95084,0.95885
2018,Owner,No,0.97893,6652,6652,0.97548,0.98238
2018,Tenant,Yes,0.02885,698,11010,0.02572,0.03198
2018,Tenant,No,0.95805,10312,11010,0.95431,0.96180
2019,Owner,No,0.98481,7793,7793,0.98209,0.98753
2019,Tenant,Yes,0.03010,445,10481,0.02683,0.03337
2019,Tenant,No,0.95686,10036,10481,0.95297,0.96075
2020,Owner,No,0.97145,6808,6808,0.96749,0.97540
2020,Tenant,Yes,0.02499,498,12194,0.02222,0.02777
2020,Tenant,No,0.95312,11696,12194,0.94937,0.95687
2021,Owner,No,0.98979,5047,5047,0.98701,0.99256
2021,Tenant,Yes,0.02988,393,7399,0.02600,0.03376
2021,Tenant,No,0.96060,7006,7399,0.95616,0.96503
2022,Owner,No,0.98124,7734,7734,0.97822,0.98427
2022,Tenant,Yes,0.03222,436,12385,0.02911,0.03533
2022,Tenant,No,0.94802,11949,12385,0.94411,0.95193
