year,hhtyp,sampreg,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Single-person household,West,Yes,0.05644,63,1044,0.04243,0.07044
1995,Single-person household,West,No,0.90455,981,1044,0.88672,0.92238
1995,Single-person household,East,Yes,0.18493,60,322,0.14246,0.22740
1995,Single-person household,East,No,0.80379,262,322,0.76035,0.84724
1995,Couple without children,West,No,0.94730,1266,1266,0.93498,0.95961
1995,Couple without children,East,No,0.94769,472,472,0.92758,0.96780
1995,Single parent,West,Yes,0.20565,52,237,0.15409,0.25722
1995,Single parent,West,No,0.69972,185,237,0.64124,0.75821
1995,Single parent,East,Yes,0.22752,31,101,0.14535,0.30968
1995,Single parent,East,No,0.66259,70,101,0.56992,0.75527
1995,Couple with children,West,Yes,0.04270,104,1806,0.03337,0.05203
1995,Couple with children,West,No,0.85612,1702,1806,0.83993,0.87231
1995,Couple with children,East,Yes,0.10686,77,720,0.08428,0.12944
1995,Couple with children,East,No,0.79028,643,720,0.76052,0.82004
1995,Multi-generational household,West,No,0.75774,92,92,0.66971,0.84577
1995,Other Combinations,West,No,0.84059,99,99,0.76811,0.91306
1995,Other Combinations,East,No,0.87849,48,48,0.78508,0.97190
1996,Single-person household,West,Yes,0.05248,61,1034,0.03888,0.06608
1996,Single-person household,West,No,0.88680,973,1034,0.86748,0.90612
1996,Single-person household,East,Yes,0.14328,53,331,0.10548,0.18108
1996,Single-person household,East,No,0.81736,278,331,0.77567,0.85905
1996,Couple without children,West,No,0.93118,1228,1228,0.91702,0.94534
1996,Couple without children,East,No,0.95524,508,508,0.93724,0.97324
1996,Single parent,West,Yes,0.13733,45,254,0.09492,0.17975
1996,Single parent,West,No,0.75187,209,254,0.69864,0.80509
1996,Single parent,East,No,0.66215,74,74,0.55365,0.77065
1996,Couple with children,West,Yes,0.03628,88,1772,0.02757,0.04499
1996,Couple with children,West,No,0.86213,1684,1772,0.84607,0.87819
1996,Couple with children,East,Yes,0.09359,62,692,0.07188,0.11531
1996,Couple with children,East,No,0.80308,630,692,0.77343,0.83273
1996,Multi-generational household,West,No,0.82487,82,82,0.74210,0.90765
1996,Other Combinations,West,No,0.81966,83,83,0.73644,0.90288
1996,Other Combinations,East,No,0.86398,51,51,0.76895,0.95900
1997,Single-person household,West,Yes,0.05336,60,997,0.03940,0.06732
1997,Single-person household,West,No,0.88741,937,997,0.86778,0.90704
