year,regtyp,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Urban regions,Yes,0.05771,264,4210,0.05066,0.06475
1995,Urban regions,No,0.94229,3946,4210,0.93525,0.94934
1995,Rural regions,Yes,0.08306,184,2082,0.07120,0.09492
1995,Rural regions,No,0.91694,1898,2082,0.90508,0.92880
1996,Urban regions,Yes,0.04908,235,4141,0.04250,0.05567
1996,Urban regions,No,0.95092,3906,4141,0.94433,0.95750
1996,Rural regions,Yes,0.06915,151,2065,0.05820,0.08009
1996,Rural regions,No,0.93085,1914,2065,0.91991,0.94180
1997,Urban regions,Yes,0.04631,222,4079,0.03986,0.05276
1997,Urban regions,No,0.95369,3857,4079,0.94724,0.96014
1997,Rural regions,Yes,0.05937,111,2028,0.04909,0.06966
1997,Rural regions,No,0.94063,1917,2028,0.93034,0.95091
1998,Urban regions,Yes,0.05097,250,4719,0.04470,0.05725
1998,Urban regions,No,0.94903,4469,4719,0.94275,0.95530
1998,Rural regions,Yes,0.06641,163,2382,0.05641,0.07642
1998,Rural regions,No,0.93359,2219,2382,0.92358,0.94359
1999,Urban regions,Yes,0.04023,208,4717,0.03462,0.04584
1999,Urban regions,No,0.95977,4509,4717,0.95416,0.96538
1999,Rural regions,Yes,0.06562,175,2426,0.05577,0.07548
1999,Rural regions,No,0.93438,2251,2426,0.92452,0.94423
2000,Urban regions,Yes,0.03858,346,8599,0.03451,0.04265
2000,Urban regions,No,0.96142,8253,8599,0.95735,0.96549
2000,Rural regions,Yes,0.04734,222,4351,0.04103,0.05365
2000,Rural regions,No,0.95266,4129,4351,0.94635,0.95897
2001,Urban regions,Yes,0.03099,258,7783,0.02714,0.03485
2001,Urban regions,No,0.96901,7525,7783,0.96515,0.97286
2001,Rural regions,Yes,0.04255,176,3897,0.03621,0.04889
2001,Rural regions,No,0.95745,3721,3897,0.95111,0.96379
2002,Urban regions,Yes,0.03419,250,8252,0.03027,0.03811
2002,Urban regions,No,0.96581,8002,8252,0.96189,0.96973
2002,Rural regions,Yes,0.04442,163,3960,0.03800,0.05084
2002,Rural regions,No,0.95558,3797,3960,0.94916,0.96200
2003,Urban regions,Yes,0.03930,261,7982,0.03504,0.04357
2003,Urban regions,No,0.96070,7721,7982,0.95643,0.96496
2003,Rural regions,Yes,0.04964,194,3822,0.04276,0.05653
2003,Rural regions,No,0.95036,3628,3822,0.94347,0.95724
2004,Urban regions,Yes,0.04427,272,7785,0.03970,0.04884
2004,Urban regions,No,0.95573,7513,7785,0.95116,0.96030
2004,Rural regions,Yes,0.05630,200,3758,0.04893,0.06367
2004,Rural regions,No,0.94370,3558,3758,0.93633,0.95107
2005,Urban regions,Yes,0.03264,219,7553,0.02863,0.03665
2005,Urban regions,No,0.96736,7334,7553,0.96335,0.97137
2005,Rural regions,Yes,0.03607,137,3646,0.03002,0.04213
2005,Rural regions,No,0.96393,3509,3646,0.95787,0.96998
2006,Urban regions,Yes,0.02980,208,8168,0.02611,0.03348
2006,Urban regions,No,0.97020,7960,8168,0.96652,0.97389
2006,Rural regions,Yes,0.03671,141,4097,0.03095,0.04247
2006,Rural regions,No,0.96329,3956,4097,0.95753,0.96905
2007,Urban regions,Yes,0.02978,181,7609,0.02596,0.03360
2007,Urban regions,No,0.97022,7428,7609,0.96640,0.97404
2007,Rural regions,Yes,0.03107,115,3844,0.02559,0.03656
2007,Rural regions,No,0.96893,3729,3844,0.96344,0.97441
2008,Urban regions,Yes,0.02687,165,7190,0.02313,0.03060
2008,Urban regions,No,0.97313,7025,7190,0.96940,0.97687
2008,Rural regions,Yes,0.02640,97,3632,0.02118,0.03161
2008,Rural regions,No,0.97360,3535,3632,0.96839,0.97882
2009,Urban regions,Yes,0.02471,147,6699,0.02099,0.02843
2009,Urban regions,No,0.97529,6552,6699,0.97157,0.97901
2009,Rural regions,Yes,0.02724,99,3478,0.02183,0.03265
2009,Rural regions,No,0.97276,3379,3478,0.96735,0.97817
2010,Urban regions,Yes,0.02760,383,8830,0.02418,0.03102
2010,Urban regions,No,0.97240,8447,8830,0.96898,0.97582
2010,Rural regions,Yes,0.02720,230,4567,0.02248,0.03192
2010,Rural regions,No,0.97280,4337,4567,0.96808,0.97752
2011,Urban regions,Yes,0.02464,435,10519,0.02168,0.02760
2011,Urban regions,No,0.97536,10084,10519,0.97240,0.97832
2011,Rural regions,Yes,0.02803,295,5708,0.02375,0.03231
2011,Rural regions,No,0.97197,5413,5708,0.96769,0.97625
2012,Urban regions,Yes,0.02061,332,10236,0.01786,0.02336
2012,Urban regions,No,0.97939,9904,10236,0.97664,0.98214
2012,Rural regions,Yes,0.02577,249,5718,0.02167,0.02988
2012,Rural regions,No,0.97423,5469,5718,0.97012,0.97833
2013,Urban regions,Yes,0.01969,371,11627,0.01716,0.02221
2013,Urban regions,No,0.98031,11256,11627,0.97779,0.98284
2013,Rural regions,Yes,0.02406,237,5888,0.02015,0.02798
2013,Rural regions,No,0.97594,5651,5888,0.97202,0.97985
2014,Urban regions,Yes,0.01658,241,10265,0.01411,0.01905
2014,Urban regions,No,0.98342,10024,10265,0.98095,0.98589
2014,Rural regions,Yes,0.02070,168,5338,0.01688,0.02452
2014,Rural regions,No,0.97930,5170,5338,0.97548,0.98312
2015,Urban regions,Yes,0.01639,220,9322,0.01381,0.01897
2015,Urban regions,No,0.98361,9102,9322,0.98103,0.98619
2015,Rural regions,Yes,0.01707,129,4744,0.01338,0.02076
2015,Rural regions,No,0.98293,4615,4744,0.97924,0.98662
2016,Urban regions,Yes,0.01519,326,10668,0.01286,0.01751
2016,Urban regions,No,0.98481,10342,10668,0.98249,0.98714
2016,Rural regions,Yes,0.01745,172,5462,0.01398,0.02092
2016,Rural regions,No,0.98255,5290,5462,0.97908,0.98602
2017,Urban regions,Yes,0.01472,362,11902,0.01255,0.01688
2017,Urban regions,No,0.98528,11540,11902,0.98312,0.98745
2017,Rural regions,Yes,0.01768,224,6159,0.01438,0.02097
2017,Rural regions,No,0.98232,5935,6159,0.97903,0.98562
2018,Urban regions,Yes,0.01555,470,11819,0.01332,0.01778
2018,Urban regions,No,0.98445,11349,11819,0.98222,0.98668
2018,Rural regions,Yes,0.01966,254,5869,0.01610,0.02321
2018,Rural regions,No,0.98034,5615,5869,0.97679,0.98390
2019,No answer / don't know,No,0.96670,457,457,0.95023,0.98317
2019,Urban regions,Yes,0.01509,288,11898,0.01290,0.01729
2019,Urban regions,No,0.98491,11610,11898,0.98271,0.98710
2019,Rural regions,Yes,0.02073,163,5926,0.01710,0.02436
2019,Rural regions,No,0.97927,5763,5926,0.97564,0.98290
2020,Urban regions,Yes,0.01424,356,13181,0.01222,0.01627
2020,Urban regions,No,0.98576,12825,13181,0.98373,0.98778
2020,Rural regions,Yes,0.01487,162,5841,0.01176,0.01797
2020,Rural regions,No,0.98513,5679,5841,0.98203,0.98824
2021,Urban regions,Yes,0.01682,306,8550,0.01410,0.01955
2021,Urban regions,No,0.98318,8244,8550,0.98045,0.98590
2021,Rural regions,Yes,0.01926,105,3916,0.01496,0.02357
2021,Rural regions,No,0.98074,3811,3916,0.97643,0.98504
2022,Urban regions,Yes,0.01861,333,13929,0.01637,0.02086
2022,Urban regions,No,0.98139,13596,13929,0.97914,0.98363
2022,Rural regions,Yes,0.01965,132,6227,0.01620,0.02309
2022,Rural regions,No,0.98035,6095,6227,0.97691,0.98380
