year,hhtyp,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Single-person household,Yes,0.07670,123,1366,0.06258,0.09082
1995,Single-person household,No,0.88866,1243,1366,0.87197,0.90535
1995,Couple without children,Yes,0.01630,39,1777,0.01041,0.02219
1995,Couple without children,No,0.94737,1738,1777,0.93699,0.95776
1995,Single parent,Yes,0.21009,83,338,0.16659,0.25358
1995,Single parent,No,0.69220,255,338,0.64291,0.74148
1995,Couple with children,Yes,0.05533,181,2526,0.04641,0.06424
1995,Couple with children,No,0.84316,2345,2526,0.82898,0.85735
1995,Multi-generational household,No,0.78263,116,116,0.70724,0.85801
1995,Other Combinations,No,0.85118,147,147,0.79345,0.90891
1996,Single-person household,Yes,0.06672,114,1365,0.05348,0.07997
1996,Single-person household,No,0.87591,1251,1365,0.85841,0.89341
1996,Couple without children,Yes,0.01282,32,1768,0.00758,0.01807
1996,Couple without children,No,0.93590,1736,1768,0.92448,0.94732
1996,Single parent,Yes,0.15343,71,354,0.11583,0.19102
1996,Single parent,No,0.73481,283,354,0.68876,0.78086
1996,Couple with children,Yes,0.04716,150,2464,0.03879,0.05554
1996,Couple with children,No,0.85091,2314,2464,0.83685,0.86498
1996,Multi-generational household,No,0.80873,102,102,0.73203,0.88544
1996,Other Combinations,No,0.83392,134,134,0.77067,0.89717
1997,Single-person household,Yes,0.06254,99,1331,0.04953,0.07556
1997,Single-person household,No,0.88120,1232,1331,0.86381,0.89859
1997,Couple without children,Yes,0.01051,32,1798,0.00580,0.01523
1997,Couple without children,No,0.93316,1766,1798,0.92161,0.94471
1997,Single parent,Yes,0.14070,61,356,0.10452,0.17687
1997,Single parent,No,0.75209,295,356,0.70717,0.79701
1997,Couple with children,Yes,0.04541,134,2378,0.03704,0.05378
1997,Couple with children,No,0.85513,2244,2378,0.84098,0.86928
1997,Multi-generational household,No,0.75585,100,100,0.67123,0.84047
1997,Other Combinations,No,0.82291,138,138,0.75899,0.88684
1998,Single-person household,Yes,0.06766,131,1658,0.05557,0.07976
1998,Single-person household,No,0.90086,1527,1658,0.88647,0.91525
1998,Couple without children,Yes,0.01027,32,2126,0.00599,0.01456
