,Unnamed: 0,year,regtyp,rentown,hlc0083_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1995,Urban regions,Owner,No,1.0,1274,6275,0.96309,1.03724
1,1,1995,Urban regions,Tenant,Yes,0.08612,247,6275,0.0776,0.09435
2,2,1995,Urban regions,Tenant,No,0.91388,2661,6275,0.88628,0.95034
3,3,1995,Rural regions,Owner,Yes,0.02634,32,6275,0.02104,0.03343
4,4,1995,Rural regions,Owner,No,0.97366,875,6275,0.92165,1.02365
5,5,1995,Rural regions,Tenant,Yes,0.13198,152,6275,0.11856,0.14575
6,6,1995,Rural regions,Tenant,No,0.86802,1034,6275,0.83418,0.90981
7,7,1996,Urban regions,Owner,No,1.0,1276,6165,0.96679,1.03554
8,8,1996,Urban regions,Tenant,Yes,0.07251,220,6165,0.06441,0.0804
9,9,1996,Urban regions,Tenant,No,0.92749,2622,6165,0.9007,0.95495
10,10,1996,Rural regions,Owner,No,1.0,899,6165,0.95319,1.04497
11,11,1996,Rural regions,Tenant,Yes,0.11298,125,6165,0.09952,0.13274
12,12,1996,Rural regions,Tenant,No,0.88702,1023,6165,0.84256,0.933
13,13,1997,Urban regions,Owner,No,1.0,1310,6080,0.96694,1.03653
14,14,1997,Urban regions,Tenant,Yes,0.07047,212,6080,0.06026,0.07909
15,15,1997,Urban regions,Tenant,No,0.92953,2539,6080,0.90081,0.96059
16,16,1997,Rural regions,Owner,No,1.0,918,6080,0.95332,1.05599
17,17,1997,Rural regions,Tenant,Yes,0.09563,94,6080,0.08341,0.11075
18,18,1997,Rural regions,Tenant,No,0.90437,1007,6080,0.8632,0.94714
19,19,1998,Urban regions,Owner,No,1.0,1588,7073,0.97203,1.02716
20,20,1998,Urban regions,Tenant,Yes,0.07797,241,7073,0.07122,0.08583
21,21,1998,Urban regions,Tenant,No,0.92203,2872,7073,0.90187,0.95399
22,22,1998,Rural regions,Owner,No,1.0,1136,7073,0.9541,1.03727
23,23,1998,Rural regions,Tenant,Yes,0.11678,144,7073,0.10244,0.12879
24,24,1998,Rural regions,Tenant,No,0.88322,1092,7073,0.84134,0.92373
25,25,1999,Urban regions,Owner,No,1.0,1649,7132,0.9664,1.03139
26,26,1999,Urban regions,Tenant,Yes,0.06218,197,7132,0.05502,0.0694
27,27,1999,Urban regions,Tenant,No,0.93782,2852,7132,0.914,0.96782
28,28,1999,Rural regions,Owner,Yes,0.01848,33,7132,0.01422,0.02295
29,29,1999,Rural regions,Owner,No,0.98152,1166,7132,0.94499,1.01983
30,30,1999,Rural regions,Tenant,Yes,0.11289,142,7132,0.09791,0.12609
31,31,1999,Rural regions,Tenant,No,0.88711,1093,7132,0.85079,0.92489
32,32,2000,Urban regions,Owner,No,1.0,3489,12913,0.98204,1.01581
33,33,2000,Urban regions,Tenant,Yes,0.06119,335,12913,0.05742,0.06494
34,34,2000,Urban regions,Tenant,No,0.93881,4746,12913,0.9221,0.95346
35,35,2000,Rural regions,Owner,No,1.0,2299,12913,0.97617,1.02292
36,36,2000,Rural regions,Tenant,Yes,0.0849,196,12913,0.07845,0.09233
37,37,2000,Rural regions,Tenant,No,0.9151,1848,12913,0.89435,0.93756
38,38,2001,Urban regions,Owner,No,1.0,3125,11647,0.97923,1.02091
39,39,2001,Urban regions,Tenant,Yes,0.04872,245,11647,0.04503,0.05206
40,40,2001,Urban regions,Tenant,No,0.95128,4384,11647,0.93279,0.97259
41,41,2001,Rural regions,Owner,No,1.0,2109,11647,0.97586,1.03101
42,42,2001,Rural regions,Tenant,Yes,0.07769,156,11647,0.06959,0.08575
43,43,2001,Rural regions,Tenant,No,0.92231,1628,11647,0.89287,0.95151
44,44,2002,Urban regions,Owner,No,1.0,3651,12186,0.97109,1.0299
45,45,2002,Urban regions,Tenant,Yes,0.05399,239,12186,0.04973,0.05822
46,46,2002,Urban regions,Tenant,No,0.94601,4337,12186,0.92717,0.96424
47,47,2002,Rural regions,Owner,No,1.0,2167,12186,0.97237,1.03289
48,48,2002,Rural regions,Tenant,Yes,0.08115,148,12186,0.07348,0.09043
49,49,2002,Rural regions,Tenant,No,0.91885,1644,12186,0.89061,0.94736
50,50,2003,Urban regions,Owner,No,1.0,3538,11772,0.97615,1.0245
51,51,2003,Urban regions,Tenant,Yes,0.06205,250,11772,0.05664,0.06683
52,52,2003,Urban regions,Tenant,No,0.93795,4170,11772,0.91498,0.95813
53,53,2003,Rural regions,Owner,No,1.0,2089,11772,0.96825,1.03391
54,54,2003,Rural regions,Tenant,Yes,0.09332,173,11772,0.08415,0.1019
55,55,2003,Rural regions,Tenant,No,0.90668,1552,11772,0.8771,0.93466
56,56,2004,Urban regions,Owner,No,1.0,3458,11508,0.97356,1.02399
57,57,2004,Urban regions,Tenant,Yes,0.0702,266,11508,0.0639,0.07705
58,58,2004,Urban regions,Tenant,No,0.9298,4045,11508,0.90903,0.94938
59,59,2004,Rural regions,Owner,No,1.0,2068,11508,0.96689,1.03412
60,60,2004,Rural regions,Tenant,Yes,0.0987,171,11508,0.08983,0.10943
61,61,2004,Rural regions,Tenant,No,0.9013,1500,11508,0.86815,0.93869
62,62,2005,Urban regions,Owner,No,1.0,3324,11166,0.97494,1.02586
63,63,2005,Urban regions,Tenant,Yes,0.05025,211,11166,0.04616,0.05549
64,64,2005,Urban regions,Tenant,No,0.94975,3997,11166,0.92746,0.96979
65,65,2005,Rural regions,Owner,No,1.0,2029,11166,0.96638,1.038
66,66,2005,Rural regions,Tenant,Yes,0.05962,113,11166,0.05348,0.06767
67,67,2005,Rural regions,Tenant,No,0.94038,1492,11166,0.90942,0.97895
68,68,2006,Urban regions,Owner,No,1.0,3687,12234,0.97276,1.02384
69,69,2006,Urban regions,Tenant,Yes,0.04633,200,12234,0.04258,0.05092
70,70,2006,Urban regions,Tenant,No,0.95367,4250,12234,0.93287,0.97312
71,71,2006,Rural regions,Owner,No,1.0,2287,12234,0.96602,1.03344
72,72,2006,Rural regions,Tenant,Yes,0.06383,120,12234,0.0576,0.07091
73,73,2006,Rural regions,Tenant,No,0.93617,1690,12234,0.90552,0.96777
74,74,2007,Urban regions,Owner,No,1.0,3451,11432,0.97685,1.0302
75,75,2007,Urban regions,Tenant,Yes,0.04703,173,11432,0.04223,0.05175
76,76,2007,Urban regions,Tenant,No,0.95297,3956,11432,0.93334,0.97493
77,77,2007,Rural regions,Owner,No,1.0,2148,11432,0.96317,1.0337
78,78,2007,Rural regions,Tenant,Yes,0.05646,102,11432,0.04807,0.06275
79,79,2007,Rural regions,Tenant,No,0.94354,1602,11432,0.90798,0.97944
80,80,2008,Urban regions,Owner,No,1.0,3294,10808,0.97017,1.03129
81,81,2008,Urban regions,Tenant,Yes,0.04409,161,10808,0.03908,0.04967
82,82,2008,Urban regions,Tenant,No,0.95591,3713,10808,0.93492,0.97984
83,83,2008,Rural regions,Owner,No,1.0,2071,10808,0.96738,1.03324
84,84,2008,Rural regions,Tenant,Yes,0.05011,87,10808,0.04245,0.05813
85,85,2008,Rural regions,Tenant,No,0.94989,1482,10808,0.91345,0.97982
86,86,2009,Urban regions,Owner,No,1.0,3089,10163,0.96967,1.03198
87,87,2009,Urban regions,Tenant,Yes,0.04165,144,10163,0.03662,0.04661
88,88,2009,Urban regions,Tenant,No,0.95835,3447,10163,0.93713,0.98525
89,89,2009,Rural regions,Owner,No,1.0,1960,10163,0.96093,1.03818
90,90,2009,Rural regions,Tenant,Yes,0.04968,88,10163,0.04246,0.05653
91,91,2009,Rural regions,Tenant,No,0.95032,1435,10163,0.91379,0.9886
92,92,2010,Urban regions,Owner,No,1.0,3666,13369,0.96347,1.03825
93,93,2010,Urban regions,Tenant,Yes,0.04558,354,13369,0.03774,0.05413
94,94,2010,Urban regions,Tenant,No,0.95442,4758,13369,0.92606,0.98567
95,95,2010,Rural regions,Owner,Yes,0.00448,36,13369,0.00315,0.00625
96,96,2010,Rural regions,Owner,No,0.99552,2385,13369,0.95282,1.04431
97,97,2010,Rural regions,Tenant,Yes,0.05281,195,13369,0.044,0.06347
98,98,2010,Rural regions,Tenant,No,0.94719,1975,13369,0.90321,0.99491
99,99,2011,Urban regions,Owner,No,1.0,4458,16200,0.96802,1.0293
100,100,2011,Urban regions,Tenant,Yes,0.04099,407,16200,0.03499,0.04793
101,101,2011,Urban regions,Tenant,No,0.95901,5603,16200,0.93587,0.98274
102,102,2011,Rural regions,Owner,Yes,0.00608,39,16200,0.00374,0.00903
103,103,2011,Rural regions,Owner,No,0.99392,2999,16200,0.95739,1.03323
