year,sampreg,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,West,Yes,0.07275,1437,15840,0.06871,0.07680
2011,West,No,0.68758,14403,15840,0.68036,0.69480
2011,East,Yes,0.07403,427,4905,0.06670,0.08135
2011,East,No,0.72359,4478,4905,0.71107,0.73610
2013,West,Yes,0.07240,1363,14414,0.06817,0.07663
2013,West,No,0.62428,13051,14414,0.61637,0.63218
2013,East,Yes,0.07300,383,4452,0.06536,0.08064
2013,East,No,0.70779,4069,4452,0.69443,0.72115
2015,West,Yes,0.07714,1732,19787,0.07342,0.08086
2015,West,No,0.74384,18055,19787,0.73776,0.74992
2015,East,Yes,0.08124,452,5253,0.07385,0.08863
2015,East,No,0.76396,4801,5253,0.75248,0.77545
2017,West,Yes,0.08103,1894,20959,0.07733,0.08472
2017,West,No,0.75123,19065,20959,0.74538,0.75708
2017,East,Yes,0.07371,464,5590,0.06686,0.08056
2017,East,No,0.76875,5126,5590,0.75769,0.77980
2019,West,Yes,0.08310,1853,20103,0.07929,0.08692
2019,West,No,0.74606,18250,20103,0.74005,0.75208
2019,East,Yes,0.07418,453,5546,0.06729,0.08108
2019,East,No,0.76717,5093,5546,0.75605,0.77830
2021,West,Yes,0.09946,1604,15316,0.09472,0.10420
2021,West,No,0.72289,13712,15316,0.71580,0.72998
2021,East,Yes,0.08066,348,3847,0.07206,0.08927
2021,East,No,0.74574,3499,3847,0.73198,0.75951
