year,pgisced97,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Pre-primary Level,No,0.46528,309,309,0.40957,0.52098
2011,Primary Level,No,0.73813,205,205,0.67779,0.79846
2011,Lower Secondary Level,Yes,0.12289,289,2164,0.10905,0.13672
2011,Lower Secondary Level,No,0.77088,1875,2164,0.75317,0.78859
2011,Upper Secondary Level,Yes,0.09013,963,10489,0.08465,0.09561
2011,Upper Secondary Level,No,0.83641,9526,10489,0.82933,0.84349
2011,Post-secondary Non-tertiary Level,Yes,0.05132,84,1201,0.03884,0.06381
2011,Post-secondary Non-tertiary Level,No,0.82208,1117,1201,0.80044,0.84372
2011,First Stage of Tertiary Education,Yes,0.08119,124,1447,0.06711,0.09526
2011,First Stage of Tertiary Education,No,0.85949,1323,1447,0.84158,0.87740
2011,Second Stage of Tertiary Education,Yes,0.07872,358,4588,0.07092,0.08651
2011,Second Stage of Tertiary Education,No,0.83289,4230,4588,0.82209,0.84369
2013,Pre-primary Level,No,0.37198,256,256,0.31266,0.43131
2013,Primary Level,No,0.52138,168,168,0.44562,0.59715
2013,Lower Secondary Level,Yes,0.10235,237,1849,0.08853,0.11617
2013,Lower Secondary Level,No,0.66018,1612,1849,0.63859,0.68178
2013,Upper Secondary Level,Yes,0.09301,912,9406,0.08714,0.09888
2013,Upper Secondary Level,No,0.78173,8494,9406,0.77338,0.79008
2013,Post-secondary Non-tertiary Level,Yes,0.07736,95,1097,0.06155,0.09318
2013,Post-secondary Non-tertiary Level,No,0.68076,1002,1097,0.65317,0.70836
2013,First Stage of Tertiary Education,Yes,0.09411,111,1325,0.07838,0.10983
2013,First Stage of Tertiary Education,No,0.83528,1214,1325,0.81530,0.85526
2013,Second Stage of Tertiary Education,Yes,0.06765,345,4466,0.06028,0.07501
2013,Second Stage of Tertiary Education,No,0.78823,4121,4466,0.77625,0.80022
2015,Pre-primary Level,No,0.50438,344,344,0.45147,0.55730
2015,Primary Level,Yes,0.15705,51,409,0.12175,0.19236
2015,Primary Level,No,0.75458,358,409,0.71282,0.79634
2015,Lower Secondary Level,Yes,0.11773,291,2669,0.10550,0.12996
2015,Lower Secondary Level,No,0.82989,2378,2669,0.81564,0.84415
2015,Upper Secondary Level,Yes,0.10029,1075,11647,0.09483,0.10574
2015,Upper Secondary Level,No,0.88507,10572,11647,0.87928,0.89086
2015,Post-secondary Non-tertiary Level,Yes,0.06361,153,1953,0.05278,0.07444
2015,Post-secondary Non-tertiary Level,No,0.90549,1800,1953,0.89251,0.91846
2015,First Stage of Tertiary Education,Yes,0.10925,140,1525,0.09359,0.12491
2015,First Stage of Tertiary Education,No,0.88700,1385,1525,0.87110,0.90289
2015,Second Stage of Tertiary Education,Yes,0.06465,427,5873,0.05836,0.07094
2015,Second Stage of Tertiary Education,No,0.89921,5446,5873,0.89151,0.90691
2017,Pre-primary Level,No,0.52334,398,398,0.47421,0.57247
2017,Primary Level,Yes,0.11949,58,453,0.08958,0.14939
2017,Primary Level,No,0.76748,395,453,0.72853,0.80642
2017,Lower Secondary Level,Yes,0.11628,295,2739,0.10427,0.12828
2017,Lower Secondary Level,No,0.85078,2444,2739,0.83743,0.86412
2017,Upper Secondary Level,Yes,0.09919,1133,12068,0.09385,0.10452
2017,Upper Secondary Level,No,0.89779,10935,12068,0.89239,0.90320
2017,Post-secondary Non-tertiary Level,Yes,0.08548,185,2213,0.07383,0.09713
2017,Post-secondary Non-tertiary Level,No,0.91175,2028,2213,0.89993,0.92357
2017,First Stage of Tertiary Education,Yes,0.10549,142,1536,0.09012,0.12086
2017,First Stage of Tertiary Education,No,0.89451,1394,1536,0.87914,0.90988
2017,Second Stage of Tertiary Education,Yes,0.07799,490,6515,0.07148,0.08450
2017,Second Stage of Tertiary Education,No,0.91604,6025,6515,0.90930,0.92277
2019,Pre-primary Level,No,0.59124,326,326,0.53779,0.64469
2019,Primary Level,Yes,0.14480,60,390,0.10983,0.17978
2019,Primary Level,No,0.71707,330,390,0.67231,0.76183
2019,Lower Secondary Level,Yes,0.12386,264,2418,0.11073,0.13700
2019,Lower Secondary Level,No,0.83115,2154,2418,0.81622,0.84609
2019,Upper Secondary Level,Yes,0.10412,1078,11140,0.09845,0.10979
2019,Upper Secondary Level,No,0.89251,10062,11140,0.88676,0.89826
2019,Post-secondary Non-tertiary Level,Yes,0.08512,176,2177,0.07339,0.09684
2019,Post-secondary Non-tertiary Level,No,0.91176,2001,2177,0.89984,0.92368
2019,First Stage of Tertiary Education,Yes,0.08513,146,1667,0.07173,0.09854
2019,First Stage of Tertiary Education,No,0.91487,1521,1667,0.90146,0.92827
2019,Second Stage of Tertiary Education,Yes,0.08080,553,7025,0.07442,0.08717
2019,Second Stage of Tertiary Education,No,0.91314,6472,7025,0.90656,0.91973
2021,Pre-primary Level,No,0.47353,183,183,0.40099,0.54607
2021,Primary Level,Yes,0.08183,75,927,0.06418,0.09949
2021,Primary Level,No,0.82841,852,927,0.80412,0.85269
2021,Lower Secondary Level,Yes,0.15258,198,1743,0.13569,0.16947
2021,Lower Secondary Level,No,0.81313,1545,1743,0.79482,0.83143
