year,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Yes,0.07298,1864,20745,0.06944,0.07652
2011,No,0.69394,18881,20745,0.68767,0.70021
2013,Yes,0.07250,1746,18866,0.06880,0.07620
2013,No,0.63889,17120,18866,0.63203,0.64574
2015,Yes,0.07785,2184,25040,0.07454,0.08117
2015,No,0.74736,22856,25040,0.74197,0.75274
2017,Yes,0.07977,2358,26549,0.07651,0.08303
2017,No,0.75423,24191,26549,0.74905,0.75941
2019,Yes,0.08158,2314,25725,0.07823,0.08492
2019,No,0.74970,23411,25725,0.74440,0.75499
2021,Yes,0.09627,1952,19163,0.09210,0.10045
2021,No,0.72676,17211,19163,0.72045,0.73307
