year,sex,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,male,Yes,0.05577,646,9789,0.05122,0.06031
2011,male,No,0.71050,9143,9789,0.70151,0.71948
2011,female,Yes,0.08948,1218,10956,0.08414,0.09483
2011,female,No,0.67809,9738,10956,0.66935,0.68684
2013,male,Yes,0.05851,638,8834,0.05362,0.06341
2013,male,No,0.64802,8196,8834,0.63806,0.65798
2013,female,Yes,0.08599,1108,10032,0.08050,0.09147
2013,female,No,0.63010,8924,10032,0.62065,0.63954
2015,male,Yes,0.06109,776,11458,0.05670,0.06547
2015,male,No,0.75607,10682,11458,0.74820,0.76393
2015,female,Yes,0.09411,1408,13582,0.08920,0.09902
2015,female,No,0.73895,12174,13582,0.73156,0.74634
2017,male,Yes,0.06178,877,12261,0.05752,0.06605
2017,male,No,0.76303,11384,12261,0.75550,0.77055
2017,female,Yes,0.09746,1481,14288,0.09260,0.10233
2017,female,No,0.74564,12807,14288,0.73849,0.75278
2019,male,Yes,0.06810,934,12278,0.06365,0.07256
2019,male,No,0.75435,11344,12278,0.74674,0.76197
2019,female,Yes,0.09482,1379,13440,0.08987,0.09978
2019,female,No,0.74547,12061,13440,0.73811,0.75284
2021,male,Yes,0.08011,758,9291,0.07459,0.08563
2021,male,No,0.73776,8533,9291,0.72882,0.74671
2021,female,Yes,0.11197,1192,9865,0.10575,0.11819
2021,female,No,0.71610,8673,9865,0.70720,0.72500
