year,migback,quintil_oecd,plb0240,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,Full-time,0.46166,163,1691,0.46092,0.46240
1984,No migration background,1st Quintile,Part-time,0.38820,147,1691,0.38748,0.38892
1984,No migration background,1st Quintile,Either,0.15014,56,1691,0.14961,0.15067
1984,No migration background,2nd Quintile,Full-time,0.49589,134,1691,0.49505,0.49673
1984,No migration background,2nd Quintile,Part-time,0.39385,123,1691,0.39303,0.39467
1984,No migration background,2nd Quintile,Either,0.11026,32,1691,0.10973,0.11078
1984,No migration background,3rd Quintile,Full-time,0.53485,111,1691,0.53389,0.53581
1984,No migration background,3rd Quintile,Part-time,0.46515,106,1691,0.46419,0.46611
1984,No migration background,4th Quintile,Full-time,0.56879,113,1691,0.56779,0.56980
1984,No migration background,4th Quintile,Part-time,0.43121,88,1691,0.43020,0.43221
1984,No migration background,5th Quintile,Full-time,0.59343,81,1691,0.59222,0.59464
1984,No migration background,5th Quintile,Part-time,0.40657,59,1691,0.40536,0.40778
1984,Direct migration background,1st Quintile,Full-time,0.56195,174,1691,0.56041,0.56349
1984,Direct migration background,1st Quintile,Part-time,0.21533,68,1691,0.21405,0.21660
1984,Direct migration background,1st Quintile,Either,0.12717,38,1691,0.12614,0.12821
1984,Direct migration background,1st Quintile,I'm not sure yet,0.09554,31,1691,0.09463,0.09646
1984,Direct migration background,2nd Quintile,Full-time,0.63489,81,1691,0.63246,0.63731
1984,Direct migration background,2nd Quintile,Part-time,0.36511,35,1691,0.36269,0.36754
1984,Direct migration background,3rd Quintile,Full-time,1.00000,51,1691,1.00000,1.00000
1985,No migration background,1st Quintile,Full-time,0.57677,169,1256,0.57601,0.57753
1985,No migration background,1st Quintile,Part-time,0.29296,95,1256,0.29226,0.29366
1985,No migration background,1st Quintile,Either,0.13027,35,1256,0.12976,0.13079
1985,No migration background,2nd Quintile,Full-time,0.53415,103,1256,0.53320,0.53511
1985,No migration background,2nd Quintile,Part-time,0.46585,101,1256,0.46489,0.46680
