,Unnamed: 0,year,pgisced97,regtyp,plb0240,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Pre-primary Level,Urban regions,Full-time,1.0,79,1170,0.90536,1.10382
1,1,1985,Primary Level,Urban regions,Full-time,0.69115,76,1170,0.55888,0.86608
2,2,1985,Primary Level,Urban regions,Part-time,0.30885,31,1170,0.21159,0.41315
3,3,1985,Lower Secondary Level,Urban regions,Full-time,0.7099,207,1170,0.65003,0.78699
4,4,1985,Lower Secondary Level,Urban regions,Part-time,0.2901,86,1170,0.25162,0.32641
5,5,1985,Lower Secondary Level,Rural regions,Full-time,1.0,72,1170,0.89534,1.09698
6,6,1985,Upper Secondary Level,Urban regions,Full-time,0.45591,235,1170,0.41775,0.49018
7,7,1985,Upper Secondary Level,Urban regions,Part-time,0.39391,188,1170,0.3744,0.41464
8,8,1985,Upper Secondary Level,Urban regions,Either,0.08957,42,1170,0.07788,0.1006
9,9,1985,Upper Secondary Level,Urban regions,I'm not sure yet,0.06061,33,1170,0.04957,0.06881
10,10,1985,Upper Secondary Level,Rural regions,Full-time,0.57286,68,1170,0.52419,0.61793
11,11,1985,Upper Secondary Level,Rural regions,Part-time,0.42714,53,1170,0.39439,0.4561
12,12,1986,Pre-primary Level,Urban regions,Full-time,1.0,96,1106,0.86184,1.09817
13,13,1986,Primary Level,Urban regions,Full-time,1.0,66,1106,0.78895,1.24144
14,14,1986,Lower Secondary Level,Urban regions,Full-time,0.74231,210,1106,0.6614,0.81539
15,15,1986,Lower Secondary Level,Urban regions,Part-time,0.25769,75,1106,0.21834,0.29919
16,16,1986,Lower Secondary Level,Rural regions,Full-time,1.0,56,1106,0.88095,1.14629
17,17,1986,Upper Secondary Level,Urban regions,Full-time,0.47118,235,1106,0.43375,0.50779
18,18,1986,Upper Secondary Level,Urban regions,Part-time,0.45035,208,1106,0.42064,0.47422
19,19,1986,Upper Secondary Level,Urban regions,Either,0.07846,40,1106,0.06571,0.09459
20,20,1986,Upper Secondary Level,Rural regions,Full-time,0.6276,74,1106,0.57171,0.68475
21,21,1986,Upper Secondary Level,Rural regions,Part-time,0.3724,46,1106,0.3457,0.39797
22,22,1987,Pre-primary Level,Urban regions,Full-time,1.0,85,1100,0.87832,1.13615
23,23,1987,Primary Level,Urban regions,Full-time,1.0,54,1100,0.79804,1.2165
24,24,1987,Lower Secondary Level,Urban regions,Full-time,0.65023,204,1100,0.58216,0.73785
25,25,1987,Lower Secondary Level,Urban regions,Part-time,0.34977,86,1100,0.29177,0.39696
26,26,1987,Lower Secondary Level,Rural regions,Full-time,1.0,60,1100,0.8613,1.16564
27,27,1987,Upper Secondary Level,Urban regions,Full-time,0.43052,221,1100,0.39924,0.46944
28,28,1987,Upper Secondary Level,Urban regions,Part-time,0.47428,227,1100,0.44909,0.49668
29,29,1987,Upper Secondary Level,Urban regions,Either,0.09519,52,1100,0.08121,0.11121
30,30,1987,Upper Secondary Level,Rural regions,Full-time,0.53719,59,1100,0.49095,0.59153
31,31,1987,Upper Secondary Level,Rural regions,Part-time,0.46281,52,1100,0.422,0.50133
32,32,1988,Pre-primary Level,Urban regions,Full-time,1.0,73,1128,0.88891,1.11499
33,33,1988,Primary Level,Urban regions,Full-time,1.0,46,1128,0.7316,1.31472
34,34,1988,Lower Secondary Level,Urban regions,Full-time,0.58122,205,1128,0.52263,0.66826
35,35,1988,Lower Secondary Level,Urban regions,Part-time,0.31441,74,1128,0.268,0.35458
36,36,1988,Lower Secondary Level,Urban regions,I'm not sure yet,0.10437,41,1128,0.08087,0.13365
37,37,1988,Lower Secondary Level,Rural regions,Full-time,1.0,52,1128,0.85396,1.14959
38,38,1988,Upper Secondary Level,Urban regions,Full-time,0.42414,216,1128,0.39238,0.45663
39,39,1988,Upper Secondary Level,Urban regions,Part-time,0.41796,213,1128,0.38848,0.44356
40,40,1988,Upper Secondary Level,Urban regions,Either,0.08393,43,1128,0.06578,0.09925
41,41,1988,Upper Secondary Level,Urban regions,I'm not sure yet,0.07397,40,1128,0.05583,0.08916
42,42,1988,Upper Secondary Level,Rural regions,Full-time,0.63964,76,1128,0.57483,0.6975
43,43,1988,Upper Secondary Level,Rural regions,Part-time,0.36036,49,1128,0.31072,0.40758
44,44,1989,Pre-primary Level,Urban regions,Full-time,1.0,76,913,0.89825,1.15142
45,45,1989,Primary Level,Urban regions,Full-time,1.0,41,913,0.78406,1.23914
46,46,1989,Lower Secondary Level,Urban regions,Full-time,0.62855,145,913,0.54945,0.72032
