year,migback,sampreg,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Full-time,0.45347,606,1392,0.42731,0.47963
1984,No migration background,West,Part-time,0.36158,525,1392,0.33633,0.38683
1984,No migration background,West,Either,0.11010,157,1392,0.09365,0.12655
1984,No migration background,West,I'm not sure yet,0.07485,104,1392,0.06102,0.08868
1984,Direct migration background,West,Full-time,0.53659,346,610,0.49698,0.57620
1984,Direct migration background,West,Part-time,0.26240,137,610,0.22746,0.29735
1984,Direct migration background,West,Either,0.12367,72,610,0.09752,0.14981
1984,Direct migration background,West,I'm not sure yet,0.07734,55,610,0.05612,0.09856
1984,Indirect migration background,West,Full-time,0.49177,31,31,0.31287,0.67067
1985,No migration background,West,Full-time,0.53427,549,1062,0.50426,0.56429
1985,No migration background,West,Part-time,0.31283,356,1062,0.28494,0.34073
1985,No migration background,West,Either,0.08760,87,1062,0.07059,0.10461
1985,No migration background,West,I'm not sure yet,0.06529,70,1062,0.05043,0.08015
1985,Direct migration background,West,Full-time,0.55749,291,440,0.51103,0.60395
1985,Direct migration background,West,Part-time,0.32669,118,440,0.28281,0.37056
1985,Direct migration background,West,Either,0.06692,31,440,0.04355,0.09030
1986,No migration background,West,Full-time,0.53073,534,1030,0.50024,0.56122
1986,No migration background,West,Part-time,0.32247,341,1030,0.29391,0.35103
1986,No migration background,West,Either,0.08122,83,1030,0.06452,0.09791
1986,No migration background,West,I'm not sure yet,0.06558,72,1030,0.05046,0.08071
1986,Direct migration background,West,Full-time,0.62175,287,407,0.57458,0.66892
1986,Direct migration background,West,Part-time,0.27021,120,407,0.22701,0.31340
1987,No migration background,West,Full-time,0.46860,494,1050,0.43841,0.49880
1987,No migration background,West,Part-time,0.36615,373,1050,0.33700,0.39531
1987,No migration background,West,Either,0.10467,109,1050,0.08614,0.12320
1987,No migration background,West,I'm not sure yet,0.06057,74,1050,0.04614,0.07501
1987,Direct migration background,West,Full-time,0.52152,255,469,0.47627,0.56678
1987,Direct migration background,West,Part-time,0.29101,113,469,0.24986,0.33217
1987,Direct migration background,West,Either,0.12546,60,469,0.09545,0.15547
1987,Direct migration background,West,I'm not sure yet,0.06200,41,469,0.04015,0.08385
1987,Indirect migration background,West,Full-time,0.37668,36,36,0.21615,0.53721
1988,No migration background,West,Full-time,0.49036,482,995,0.45928,0.52143
1988,No migration background,West,Part-time,0.35687,363,995,0.32709,0.38665
1988,No migration background,West,Either,0.09369,87,995,0.07557,0.11180
1988,No migration background,West,I'm not sure yet,0.05909,63,995,0.04443,0.07374
1988,Direct migration background,West,Full-time,0.53888,243,441,0.49230,0.58546
1988,Direct migration background,West,Part-time,0.24609,104,441,0.20584,0.28633
1988,Direct migration background,West,Either,0.11469,51,441,0.08492,0.14447
1988,Direct migration background,West,I'm not sure yet,0.10034,43,441,0.07226,0.12841
1988,Indirect migration background,West,Full-time,0.62582,47,47,0.48597,0.76566
1989,No migration background,West,Full-time,0.47614,402,858,0.44270,0.50958
1989,No migration background,West,Part-time,0.38002,332,858,0.34753,0.41252
1989,No migration background,West,Either,0.06353,56,858,0.04720,0.07986
1989,No migration background,West,I'm not sure yet,0.08031,68,858,0.06212,0.09851
1989,Direct migration background,West,Full-time,0.50916,183,369,0.45808,0.56024
1989,Direct migration background,West,Part-time,0.26676,108,369,0.22158,0.31195
1989,Direct migration background,West,Either,0.13767,41,369,0.10247,0.17287
1989,Direct migration background,West,I'm not sure yet,0.08641,37,369,0.05770,0.11511
1989,Indirect migration background,West,Full-time,0.62632,67,67,0.50960,0.74303
1990,No migration background,East,Full-time,0.45331,152,300,0.39688,0.50974
1990,No migration background,East,Part-time,0.32850,99,300,0.27526,0.38173
1990,No migration background,East,Either,0.15981,49,300,0.11827,0.20134
1991,No migration background,West,Full-time,0.43460,320,742,0.39891,0.47029
1991,No migration background,West,Part-time,0.41093,308,742,0.37550,0.44635
1991,No migration background,West,Either,0.08491,63,742,0.06484,0.10498
1991,No migration background,West,I'm not sure yet,0.06957,51,742,0.05125,0.08789
1991,No migration background,East,Full-time,0.50288,265,484,0.45829,0.54747
1991,No migration background,East,Part-time,0.23593,113,484,0.19806,0.27380
1991,No migration background,East,Either,0.21440,106,484,0.17780,0.25100
1991,Direct migration background,West,Full-time,0.43855,145,280,0.38032,0.49677
1991,Direct migration background,West,Part-time,0.34904,102,280,0.29310,0.40497
1991,Direct migration background,West,Either,0.12437,33,280,0.08564,0.16309
1991,Indirect migration background,West,Full-time,0.56627,66,66,0.44579,0.68675
1992,No migration background,West,Full-time,0.43065,323,779,0.39585,0.46544
1992,No migration background,West,Part-time,0.42122,344,779,0.38652,0.45591
1992,No migration background,West,Either,0.07294,58,779,0.05467,0.09122
1992,No migration background,West,I'm not sure yet,0.07520,54,779,0.05667,0.09373
1992,No migration background,East,Full-time,0.62530,408,638,0.58771,0.66289
1992,No migration background,East,Part-time,0.15484,105,638,0.12675,0.18294
1992,No migration background,East,Either,0.18297,125,638,0.15294,0.21299
1992,Direct migration background,West,Full-time,0.45528,145,298,0.39864,0.51191
1992,Direct migration background,West,Part-time,0.33251,104,298,0.27893,0.38609
