year,bula_h,sex,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,male,Full-time,0.71110,69,69,0.60337,0.81883
1984,Lower Saxony,female,Full-time,0.32375,45,115,0.23786,0.40965
1984,Lower Saxony,female,Part-time,0.49359,70,115,0.40181,0.58537
1984,North Rhine-Westphalia,male,Full-time,0.76615,173,173,0.70290,0.82941
1984,North Rhine-Westphalia,female,Full-time,0.35063,142,411,0.30444,0.39682
1984,North Rhine-Westphalia,female,Part-time,0.47383,180,411,0.42550,0.52216
1984,North Rhine-Westphalia,female,Either,0.10346,50,411,0.07398,0.13294
1984,North Rhine-Westphalia,female,I'm not sure yet,0.07208,39,411,0.04704,0.09711
1984,Hesse,male,Full-time,0.77695,62,62,0.67248,0.88142
1984,Hesse,female,Full-time,0.27100,46,113,0.18868,0.35332
1984,Hesse,female,Part-time,0.55190,67,113,0.45980,0.64401
1984,"Rhineland-Palatinate, Saarland",male,Full-time,0.83105,39,39,0.71191,0.95019
1984,"Rhineland-Palatinate, Saarland",female,Part-time,0.59867,46,46,0.45546,0.74189
1984,Baden-Wuerttemberg,male,Full-time,0.86920,75,75,0.79237,0.94602
1984,Baden-Wuerttemberg,female,Full-time,0.32093,88,204,0.25671,0.38515
1984,Baden-Wuerttemberg,female,Part-time,0.55133,116,204,0.48291,0.61975
1984,Bavaria,male,Full-time,0.79609,78,78,0.70609,0.88608
1984,Bavaria,female,Full-time,0.24131,53,163,0.17542,0.30720
1984,Bavaria,female,Part-time,0.54177,110,163,0.46504,0.61850
1985,Lower Saxony,male,Full-time,0.84144,83,83,0.76238,0.92050
1985,Lower Saxony,female,Full-time,0.34858,36,81,0.24416,0.45300
1985,Lower Saxony,female,Part-time,0.48899,45,81,0.37945,0.59853
1985,North Rhine-Westphalia,male,Full-time,0.84482,143,143,0.78527,0.90437
1985,North Rhine-Westphalia,female,Full-time,0.37454,106,244,0.31368,0.43539
1985,North Rhine-Westphalia,female,Part-time,0.48483,138,244,0.42199,0.54767
1985,Hesse,male,Full-time,0.73292,42,42,0.59749,0.86835
1985,Hesse,female,Full-time,0.26410,43,96,0.17545,0.35276
1985,Hesse,female,Part-time,0.52345,53,96,0.42301,0.62388
1985,"Rhineland-Palatinate, Saarland",male,Full-time,0.85463,32,32,0.73055,0.97871
1985,Baden-Wuerttemberg,male,Full-time,0.84546,86,86,0.76861,0.92230
1985,Baden-Wuerttemberg,female,Full-time,0.31364,65,147,0.23838,0.38890
1985,Baden-Wuerttemberg,female,Part-time,0.56141,82,147,0.48092,0.64190
