year,plb0240,proportion,n,lower_confidence,upper_confidence
1984,Full-time,1.0,16099,1.0,1.0
1984,Part-time,1.0,16099,1.0,1.0
1984,Either,1.0,16099,1.0,1.0
1984,I'm not sure yet,1.0,16099,1.0,1.0
1985,Full-time,1.0,14443,1.0,1.0
1985,Part-time,1.0,14443,1.0,1.0
1985,Either,1.0,14443,1.0,1.0
1985,I'm not sure yet,1.0,14443,1.0,1.0
1986,Full-time,1.0,13742,1.0,1.0
1986,Part-time,1.0,13742,1.0,1.0
1986,Either,1.0,13742,1.0,1.0
1986,I'm not sure yet,1.0,13742,1.0,1.0
1987,Full-time,1.0,13496,1.0,1.0
1987,Part-time,1.0,13496,1.0,1.0
1987,Either,1.0,13496,1.0,1.0
1987,I'm not sure yet,1.0,13496,1.0,1.0
1988,Full-time,1.0,12817,1.0,1.0
1988,Part-time,1.0,12817,1.0,1.0
1988,Either,1.0,12817,1.0,1.0
1988,I'm not sure yet,1.0,12817,1.0,1.0
1989,Full-time,1.0,12393,1.0,1.0
1989,Part-time,1.0,12393,1.0,1.0
1989,Either,1.0,12393,1.0,1.0
1989,I'm not sure yet,1.0,12393,1.0,1.0
1990,Full-time,1.0,18165,1.0,1.0
1990,Part-time,1.0,18165,1.0,1.0
1990,Either,1.0,18165,1.0,1.0
1990,I'm not sure yet,1.0,18165,1.0,1.0
1991,Full-time,1.0,17756,1.0,1.0
1991,Part-time,1.0,17756,1.0,1.0
1991,Either,1.0,17756,1.0,1.0
1991,I'm not sure yet,1.0,17756,1.0,1.0
1992,Full-time,1.0,17350,1.0,1.0
1992,Part-time,1.0,17350,1.0,1.0
1992,Either,1.0,17350,1.0,1.0
1992,I'm not sure yet,1.0,17350,1.0,1.0
1993,Full-time,1.0,16993,1.0,1.0
1993,Part-time,1.0,16993,1.0,1.0
1993,Either,1.0,16993,1.0,1.0
1993,I'm not sure yet,1.0,16993,1.0,1.0
1994,Full-time,1.0,16642,1.0,1.0
1994,Part-time,1.0,16642,1.0,1.0
1994,Either,1.0,16642,1.0,1.0
1994,I'm not sure yet,1.0,16642,1.0,1.0
1995,Full-time,1.0,17246,1.0,1.0
1995,Part-time,1.0,17246,1.0,1.0
1995,Either,1.0,17246,1.0,1.0
1995,I'm not sure yet,1.0,17246,1.0,1.0
1996,Full-time,1.0,16862,1.0,1.0
1996,Part-time,1.0,16862,1.0,1.0
1996,Either,1.0,16862,1.0,1.0
1996,I'm not sure yet,1.0,16862,1.0,1.0
1997,Full-time,1.0,16487,1.0,1.0
1997,Part-time,1.0,16487,1.0,1.0
1997,Either,1.0,16487,1.0,1.0
1997,I'm not sure yet,1.0,16487,1.0,1.0
1998,Full-time,1.0,18147,1.0,1.0
1998,Part-time,1.0,18147,1.0,1.0
1998,Either,1.0,18147,1.0,1.0
1998,I'm not sure yet,1.0,18147,1.0,1.0
1999,Full-time,1.0,17396,1.0,1.0
1999,Part-time,1.0,17396,1.0,1.0
1999,Either,1.0,17396,1.0,1.0
1999,I'm not sure yet,1.0,17396,1.0,1.0
2000,Full-time,1.0,30607,1.0,1.0
2000,Part-time,1.0,30607,1.0,1.0
2000,Either,1.0,30607,1.0,1.0
2000,I'm not sure yet,1.0,30607,1.0,1.0
2001,Full-time,1.0,27798,1.0,1.0
2001,Part-time,1.0,27798,1.0,1.0
2001,Either,1.0,27798,1.0,1.0
2001,I'm not sure yet,1.0,27798,1.0,1.0
2002,Full-time,1.0,28961,1.0,1.0
2002,Part-time,1.0,28961,1.0,1.0
2002,Either,1.0,28961,1.0,1.0
2002,I'm not sure yet,1.0,28961,1.0,1.0
2003,Full-time,1.0,27727,1.0,1.0
2003,Part-time,1.0,27727,1.0,1.0
2003,Either,1.0,27727,1.0,1.0
2003,I'm not sure yet,1.0,27727,1.0,1.0
2004,Full-time,1.0,26790,1.0,1.0
2004,Part-time,1.0,26790,1.0,1.0
2004,Either,1.0,26790,1.0,1.0
2004,I'm not sure yet,1.0,26790,1.0,1.0
2005,Full-time,1.0,25520,1.0,1.0
2005,Part-time,1.0,25520,1.0,1.0
2005,Either,1.0,25520,1.0,1.0
2005,I'm not sure yet,1.0,25520,1.0,1.0
2006,Full-time,1.0,27321,1.0,1.0
2006,Part-time,1.0,27321,1.0,1.0
2006,Either,1.0,27321,1.0,1.0
2006,I'm not sure yet,1.0,27321,1.0,1.0
2007,Full-time,1.0,25385,1.0,1.0
2007,Part-time,1.0,25385,1.0,1.0
2007,Either,1.0,25385,1.0,1.0
2007,I'm not sure yet,1.0,25385,1.0,1.0
2008,Full-time,1.0,23673,1.0,1.0
2008,Part-time,1.0,23673,1.0,1.0
2008,Either,1.0,23673,1.0,1.0
2008,I'm not sure yet,1.0,23673,1.0,1.0
2009,Full-time,1.0,21983,1.0,1.0
2009,Part-time,1.0,21983,1.0,1.0
2009,Either,1.0,21983,1.0,1.0
2009,I'm not sure yet,1.0,21983,1.0,1.0
2010,Full-time,1.0,35837,1.0,1.0
2010,Part-time,1.0,35837,1.0,1.0
2010,Either,1.0,35837,1.0,1.0
2010,I'm not sure yet,1.0,35837,1.0,1.0
2011,Full-time,1.0,41903,1.0,1.0
2011,Part-time,1.0,41903,1.0,1.0
2011,Either,1.0,41903,1.0,1.0
2011,I'm not sure yet,1.0,41903,1.0,1.0
2012,Full-time,1.0,40229,1.0,1.0
2012,Part-time,1.0,40229,1.0,1.0
2012,Either,1.0,40229,1.0,1.0
2012,I'm not sure yet,1.0,40229,1.0,1.0
2013,Full-time,1.0,44486,1.0,1.0
2013,Part-time,1.0,44486,1.0,1.0
2013,Either,1.0,44486,1.0,1.0
2013,I'm not sure yet,1.0,44486,1.0,1.0
2014,Full-time,1.0,38694,1.0,1.0
2014,Part-time,1.0,38694,1.0,1.0
2014,Either,1.0,38694,1.0,1.0
2014,I'm not sure yet,1.0,38694,1.0,1.0
2015,Full-time,1.0,38036,1.0,1.0
2015,Part-time,1.0,38036,1.0,1.0
2015,Either,1.0,38036,1.0,1.0
2015,I'm not sure yet,1.0,38036,1.0,1.0
2016,Full-time,1.0,41132,1.0,1.0
2016,Part-time,1.0,41132,1.0,1.0
2016,Either,1.0,41132,1.0,1.0
2016,I'm not sure yet,1.0,41132,1.0,1.0
2017,Full-time,1.0,45410,1.0,1.0
2017,Part-time,1.0,45410,1.0,1.0
2017,Either,1.0,45410,1.0,1.0
2017,I'm not sure yet,1.0,45410,1.0,1.0
2018,Full-time,1.0,43121,1.0,1.0
2018,Part-time,1.0,43121,1.0,1.0
2018,Either,1.0,43121,1.0,1.0
2018,I'm not sure yet,1.0,43121,1.0,1.0
2019,Full-time,1.0,42417,1.0,1.0
2019,Part-time,1.0,42417,1.0,1.0
2019,Either,1.0,42417,1.0,1.0
2019,I'm not sure yet,1.0,42417,1.0,1.0
