,Unnamed: 0,year,migback,plb0240,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,No migration background,Full-time,0.45352,607,2003,0.44591,0.4611
1,1,1984,No migration background,Part-time,0.36155,525,2003,0.3557,0.36663
2,2,1984,No migration background,Either,0.11009,157,2003,0.10528,0.11467
3,3,1984,No migration background,I'm not sure yet,0.07484,104,2003,0.07201,0.07782
4,4,1984,Direct migration background,Full-time,0.53658,346,2003,0.48261,0.61629
5,5,1984,Direct migration background,Part-time,0.26239,137,2003,0.21909,0.31458
6,6,1984,Direct migration background,Either,0.12367,72,2003,0.09525,0.15798
7,7,1984,Direct migration background,I'm not sure yet,0.07736,55,2003,0.05659,0.1044
8,8,1985,No migration background,Full-time,0.53445,549,1502,0.52088,0.54708
9,9,1985,No migration background,Part-time,0.31277,356,1502,0.30507,0.32113
10,10,1985,No migration background,Either,0.0875,87,1502,0.08148,0.09401
11,11,1985,No migration background,I'm not sure yet,0.06527,70,1502,0.06176,0.06878
12,12,1985,Direct migration background,Full-time,0.58628,291,1502,0.52736,0.66069
13,13,1985,Direct migration background,Part-time,0.34338,118,1502,0.27981,0.40369
14,14,1985,Direct migration background,Either,0.07033,31,1502,0.04661,0.097
15,15,1986,No migration background,Full-time,0.53083,534,1437,0.51401,0.5471
16,16,1986,No migration background,Part-time,0.32244,341,1437,0.3109,0.33187
17,17,1986,No migration background,Either,0.08115,83,1437,0.07426,0.08792
18,18,1986,No migration background,I'm not sure yet,0.06558,72,1437,0.06097,0.07023
19,19,1986,Direct migration background,Full-time,0.69698,287,1437,0.61096,0.8168
20,20,1986,Direct migration background,Part-time,0.30302,120,1437,0.2556,0.36167
21,21,1987,No migration background,Full-time,0.46865,494,1555,0.45072,0.48608
22,22,1987,No migration background,Part-time,0.36615,373,1555,0.35425,0.3784
23,23,1987,No migration background,Either,0.10467,109,1555,0.09499,0.11494
24,24,1987,No migration background,I'm not sure yet,0.06053,74,1555,0.055,0.06578
25,25,1987,Direct migration background,Full-time,0.52146,255,1555,0.4517,0.59908
26,26,1987,Direct migration background,Part-time,0.29107,113,1555,0.23758,0.35902
27,27,1987,Direct migration background,Either,0.12542,60,1555,0.09741,0.15295
28,28,1987,Direct migration background,I'm not sure yet,0.06204,41,1555,0.04553,0.08258
29,29,1987,Indirect migration background,Full-time,1.0,36,1555,0.86974,1.16674
30,30,1988,No migration background,Full-time,0.49029,482,1483,0.4709,0.50943
31,31,1988,No migration background,Part-time,0.35696,363,1483,0.34033,0.37187
32,32,1988,No migration background,Either,0.09367,87,1483,0.08604,0.10056
33,33,1988,No migration background,I'm not sure yet,0.05908,63,1483,0.05196,0.06573
34,34,1988,Direct migration background,Full-time,0.53888,243,1483,0.46554,0.62841
35,35,1988,Direct migration background,Part-time,0.24617,104,1483,0.2,0.29575
36,36,1988,Direct migration background,Either,0.1146,51,1483,0.08711,0.15169
37,37,1988,Direct migration background,I'm not sure yet,0.10035,43,1483,0.06641,0.13459
38,38,1988,Indirect migration background,Full-time,1.0,47,1483,0.67332,1.46948
39,39,1989,No migration background,Full-time,0.47611,402,1294,0.45787,0.49529
40,40,1989,No migration background,Part-time,0.37997,332,1294,0.36338,0.39668
41,41,1989,No migration background,Either,0.06362,56,1294,0.05507,0.07473
42,42,1989,No migration background,I'm not sure yet,0.08031,68,1294,0.07385,0.08686
43,43,1989,Direct migration background,Full-time,0.50924,183,1294,0.43534,0.59406
44,44,1989,Direct migration background,Part-time,0.26679,108,1294,0.22299,0.31458
45,45,1989,Direct migration background,Either,0.13751,41,1294,0.09686,0.17784
46,46,1989,Direct migration background,I'm not sure yet,0.08646,37,1294,0.05673,0.1222
47,47,1989,Indirect migration background,Full-time,1.0,67,1294,0.76597,1.29631
48,48,1990,No migration background,Full-time,0.48142,152,300,0.45457,0.52058
49,49,1990,No migration background,Part-time,0.34886,99,300,0.32332,0.38073
50,50,1990,No migration background,Either,0.16972,49,300,0.1442,0.1938
51,51,1991,No migration background,Full-time,0.45165,584,1609,0.42853,0.47502
52,52,1991,No migration background,Part-time,0.36699,421,1609,0.34936,0.38685
53,53,1991,No migration background,Either,0.11755,169,1609,0.10709,0.13057
54,54,1991,No migration background,I'm not sure yet,0.0638,75,1609,0.0551,0.07341
55,55,1991,Direct migration background,Full-time,0.47951,149,1609,0.41056,0.54701
56,56,1991,Direct migration background,Part-time,0.38012,106,1609,0.30501,0.45471
57,57,1991,Direct migration background,Either,0.14036,37,1609,0.09705,0.19389
58,58,1991,Indirect migration background,Full-time,1.0,68,1609,0.83271,1.18155
59,59,1992,No migration background,Full-time,0.4899,731,1859,0.46634,0.51565
60,60,1992,No migration background,Part-time,0.34009,449,1859,0.32312,0.35866
61,61,1992,No migration background,Either,0.10652,183,1859,0.09632,0.11681
62,62,1992,No migration background,I'm not sure yet,0.0635,80,1859,0.05593,0.0728
63,63,1992,Direct migration background,Full-time,0.5013,153,1859,0.41385,0.57914
64,64,1992,Direct migration background,Part-time,0.36321,108,1859,0.29619,0.43721
65,65,1992,Direct migration background,I'm not sure yet,0.13549,50,1859,0.10753,0.16977
66,66,1992,Indirect migration background,Full-time,1.0,105,1859,0.8692,1.16298
67,67,1993,No migration background,Full-time,0.48978,738,1875,0.46733,0.51218
68,68,1993,No migration background,Part-time,0.31191,411,1875,0.292,0.33148
69,69,1993,No migration background,Either,0.12511,209,1875,0.11291,0.1379
70,70,1993,No migration background,I'm not sure yet,0.0732,93,1875,0.06571,0.08036
71,71,1993,Direct migration background,Full-time,0.4466,148,1875,0.38979,0.52599
