year,pgisced97,plb0240,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Full-time,1.00000,125,1848,1.00000,1.00000
1984,Primary Level,Full-time,0.79507,102,1848,0.79329,0.79685
1984,Primary Level,Part-time,0.20493,32,1848,0.20315,0.20671
1984,Lower Secondary Level,Full-time,0.49453,303,1848,0.49385,0.49521
1984,Lower Secondary Level,Part-time,0.33973,186,1848,0.33908,0.34037
1984,Lower Secondary Level,Either,0.11179,73,1848,0.11136,0.11222
1984,Lower Secondary Level,I'm not sure yet,0.05395,40,1848,0.05364,0.05426
1984,Upper Secondary Level,Full-time,0.38948,365,1848,0.38897,0.38999
1984,Upper Secondary Level,Part-time,0.41811,352,1848,0.41759,0.41862
1984,Upper Secondary Level,Either,0.11300,99,1848,0.11267,0.11333
1984,Upper Secondary Level,I'm not sure yet,0.07941,69,1848,0.07913,0.07970
1984,Post-secondary Non-tertiary Level,Full-time,1.00000,32,1848,1.00000,1.00000
1984,First Stage of Tertiary Education,Part-time,1.00000,39,1848,1.00000,1.00000
1984,Second Stage of Tertiary Education,Part-time,1.00000,31,1848,1.00000,1.00000
1985,Pre-primary Level,Full-time,1.00000,105,1296,1.00000,1.00000
1985,Primary Level,Full-time,0.68976,93,1296,0.68789,0.69163
1985,Primary Level,Part-time,0.31024,37,1296,0.30837,0.31211
1985,Lower Secondary Level,Full-time,0.65528,279,1296,0.65455,0.65601
1985,Lower Secondary Level,Part-time,0.26289,114,1296,0.26221,0.26356
1985,Lower Secondary Level,Either,0.08183,33,1296,0.08141,0.08225
1985,Upper Secondary Level,Full-time,0.46886,303,1296,0.46827,0.46944
1985,Upper Secondary Level,Part-time,0.39043,241,1296,0.38986,0.39100
1985,Upper Secondary Level,Either,0.08058,49,1296,0.08026,0.08090
1985,Upper Secondary Level,I'm not sure yet,0.06013,42,1296,0.05985,0.06041
1986,Pre-primary Level,Full-time,1.00000,112,1309,1.00000,1.00000
1986,Primary Level,Full-time,0.61187,79,1309,0.60974,0.61399
1986,Primary Level,Part-time,0.38813,35,1309,0.38601,0.39026
1986,Lower Secondary Level,Full-time,0.61523,266,1309,0.61448,0.61598
1986,Lower Secondary Level,Part-time,0.21158,100,1309,0.21095,0.21220
1986,Lower Secondary Level,Either,0.09774,35,1309,0.09729,0.09820
1986,Lower Secondary Level,I'm not sure yet,0.07545,39,1309,0.07504,0.07585
1986,Upper Secondary Level,Full-time,0.47830,309,1309,0.47773,0.47887
1986,Upper Secondary Level,Part-time,0.40743,254,1309,0.40687,0.40800
1986,Upper Secondary Level,Either,0.06803,47,1309,0.06774,0.06832
1986,Upper Secondary Level,I'm not sure yet,0.04623,33,1309,0.04599,0.04647
1987,Pre-primary Level,Full-time,1.00000,103,1276,1.00000,1.00000
1987,Primary Level,Full-time,0.63834,61,1276,0.63610,0.64059
1987,Primary Level,Part-time,0.36166,33,1276,0.35941,0.36390
1987,Lower Secondary Level,Full-time,0.55298,264,1276,0.55218,0.55377
1987,Lower Secondary Level,Part-time,0.28520,110,1276,0.28448,0.28593
