year,regtyp,sex,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,Full-time,0.06960,395,460,0.04632,0.09288
1985,Urban regions,male,Either,0.00741,34,460,-0.00044,0.01526
1985,Urban regions,male,I'm not sure yet,0.00578,31,460,-0.00116,0.01271
1985,Urban regions,female,Full-time,0.04003,280,754,0.02603,0.05403
1985,Urban regions,female,Part-time,0.05996,361,754,0.04300,0.07692
1985,Urban regions,female,Either,0.01020,59,754,0.00302,0.01737
1985,Urban regions,female,I'm not sure yet,0.00781,54,754,0.00152,0.01409
1985,Rural regions,male,Full-time,0.09198,130,130,0.04210,0.14185
1985,Rural regions,female,Full-time,0.03382,64,160,0.00572,0.06192
1985,Rural regions,female,Part-time,0.05889,96,160,0.02230,0.09549
1986,Urban regions,male,Full-time,0.07086,403,403,0.04578,0.09595
1986,Urban regions,female,Full-time,0.04083,280,755,0.02670,0.05496
1986,Urban regions,female,Part-time,0.06119,351,755,0.04408,0.07830
1986,Urban regions,female,Either,0.01109,61,755,0.00361,0.01856
1986,Urban regions,female,I'm not sure yet,0.00884,63,755,0.00216,0.01552
1986,Rural regions,male,Full-time,0.07752,110,110,0.02732,0.12773
1986,Rural regions,female,Full-time,0.03585,57,141,0.00505,0.06664
1986,Rural regions,female,Part-time,0.04927,84,141,0.01342,0.08512
1987,Urban regions,male,Full-time,0.06698,394,430,0.04333,0.09064
1987,Urban regions,male,Either,0.00630,36,430,-0.00119,0.01378
1987,Urban regions,female,Full-time,0.03424,237,792,0.02157,0.04692
1987,Urban regions,female,Part-time,0.07029,383,792,0.05248,0.08811
1987,Urban regions,female,Either,0.01547,99,792,0.00687,0.02407
1987,Urban regions,female,I'm not sure yet,0.00924,73,792,0.00257,0.01591
1987,Rural regions,male,Full-time,0.06336,95,95,0.01411,0.11261
1987,Rural regions,female,Full-time,0.03472,59,148,0.00512,0.06431
1987,Rural regions,female,Part-time,0.06093,89,148,0.02226,0.09960
1988,Urban regions,male,Full-time,0.07111,381,419,0.04647,0.09575
1988,Urban regions,male,I'm not sure yet,0.00632,38,419,-0.00128,0.01391
1988,Urban regions,female,Full-time,0.03284,223,755,0.02012,0.04556
1988,Urban regions,female,Part-time,0.06989,372,755,0.05169,0.08809
1988,Urban regions,female,Either,0.01332,81,755,0.00513,0.02150
1988,Urban regions,female,I'm not sure yet,0.01093,79,755,0.00351,0.01835
1988,Rural regions,male,Full-time,0.07986,104,104,0.02751,0.13221
1988,Rural regions,female,Full-time,0.04138,64,146,0.00896,0.07380
1988,Rural regions,female,Part-time,0.05784,82,146,0.01984,0.09584
1989,Urban regions,male,Full-time,0.06179,318,353,0.03664,0.08695
1989,Urban regions,male,I'm not sure yet,0.00797,35,353,-0.00132,0.01725
1989,Urban regions,female,Full-time,0.02968,198,669,0.01681,0.04255
1989,Urban regions,female,Part-time,0.06419,349,669,0.04560,0.08278
1989,Urban regions,female,Either,0.00842,51,669,0.00149,0.01534
1989,Urban regions,female,I'm not sure yet,0.00939,71,669,0.00208,0.01671
