year,age_gr,bula_h,plb0240,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Lower Saxony,Full-time,0.07667081434681977,87,1270,0.07642832733903165,0.07691330135460789
1984,17-29 y.,North Rhine-Westphalia,Full-time,0.19424822798497882,241,1270,0.19388767066064372,0.19460878530931391
1984,17-29 y.,North Rhine-Westphalia,Part-time,0.036823336379431894,51,1270,0.036651699860323864,0.036994972898539924
1984,17-29 y.,North Rhine-Westphalia,Either,0.03792276595550367,51,1270,0.03774868545504108,0.03809684645596627
1984,17-29 y.,North Rhine-Westphalia,I'm not sure yet,0.028688254148954363,37,1270,0.028536120061134554,0.02884038823677417
1984,17-29 y.,Hesse,Full-time,0.0539605920339772,78,1270,0.05375467696887531,0.05416650709907909
1984,17-29 y.,Hesse,Part-time,0.02141538538762446,32,1270,0.021283451216302172,0.021547319558946745
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Full-time,0.039745828438600285,42,1270,0.03956778169591604,0.03992387518128453
1984,17-29 y.,Baden-Wuerttemberg,Full-time,0.08600407412798913,121,1270,0.08574855301111181,0.08625959524486645
1984,17-29 y.,Baden-Wuerttemberg,Part-time,0.023248542771174323,34,1270,0.023111206561620284,0.023385878980728362
1984,17-29 y.,Bavaria,Full-time,0.08223038672190697,97,1270,0.08198001910343555,0.08248075434037838
1984,17-29 y.,Bavaria,Either,0.02572898889061935,32,1270,0.025584695511260917,0.025873282269977784
1984,30-45 y.,Lower Saxony,Part-time,0.029165817100831423,33,1270,0.029012459693257345,0.0293191745084055
1984,30-45 y.,North Rhine-Westphalia,Full-time,0.03839591387488437,53,1270,0.03822079385042995,0.03857103389933879
1984,30-45 y.,North Rhine-Westphalia,Part-time,0.10086960313519372,113,1270,0.1005951383373574,0.10114406793303003
1984,30-45 y.,Baden-Wuerttemberg,Full-time,0.01515912218187741,31,1270,0.015047765773581582,0.015270478590173237
1984,30-45 y.,Baden-Wuerttemberg,Part-time,0.050538978605193595,69,1270,0.05033933888380731,0.05073861832657988
1984,30-45 y.,Bavaria,Part-time,0.059183367914439323,68,1270,0.0589683139337797,0.059398421895098946
1985,17-29 y.,Lower Saxony,Full-time,0.12529747911299338,89,831,0.12494037616190469,0.12565458206408206
1985,17-29 y.,North Rhine-Westphalia,Full-time,0.23059708905436663,184,831,0.23014273343226718,0.23105144467646607
1985,17-29 y.,North Rhine-Westphalia,Part-time,0.05597880482408011,46,831,0.05573083732212894,0.05622677232603128
1985,17-29 y.,Hesse,Full-time,0.05987405129948728,64,831,0.0596181311823007,0.06012997141667386
1985,17-29 y.,"Rhineland-Palatinate, Saarland",Full-time,0.051493249345967856,39,831,0.05125485966888465,0.051731639023051064
1985,17-29 y.,Baden-Wuerttemberg,Full-time,0.12016417628018013,114,831,0.11981344022687106,0.1205149123334892
1985,17-29 y.,Bavaria,Full-time,0.1097365651349397,87,831,0.10939941213162596,0.11007371813825345
