year,bula_h,pgisced97,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,Lower Secondary Level,Full-time,0.61396,46,46,0.47172,0.75621
1984,Lower Saxony,Upper Secondary Level,Full-time,0.31565,34,75,0.20975,0.42154
1984,Lower Saxony,Upper Secondary Level,Part-time,0.48704,41,75,0.37315,0.60092
1984,North Rhine-Westphalia,Pre-primary Level,Full-time,0.83024,46,46,0.72056,0.93993
1984,North Rhine-Westphalia,Primary Level,Full-time,0.65738,37,37,0.50235,0.81241
1984,North Rhine-Westphalia,Lower Secondary Level,Full-time,0.47557,82,128,0.38871,0.56243
1984,North Rhine-Westphalia,Lower Secondary Level,Part-time,0.31120,46,128,0.23068,0.39173
1984,North Rhine-Westphalia,Upper Secondary Level,Full-time,0.42659,119,233,0.36295,0.49023
1984,North Rhine-Westphalia,Upper Secondary Level,Part-time,0.42337,114,233,0.35979,0.48695
1984,Hesse,Lower Secondary Level,Full-time,0.55070,43,43,0.40026,0.70113
1984,Hesse,Upper Secondary Level,Full-time,0.40017,45,82,0.29348,0.50687
1984,Hesse,Upper Secondary Level,Part-time,0.46869,37,82,0.36002,0.57737
1984,Baden-Wuerttemberg,Lower Secondary Level,Full-time,0.45230,48,87,0.34710,0.55749
1984,Baden-Wuerttemberg,Lower Secondary Level,Part-time,0.41838,39,87,0.31412,0.52264
1984,Baden-Wuerttemberg,Upper Secondary Level,Full-time,0.36828,51,105,0.27557,0.46098
1984,Baden-Wuerttemberg,Upper Secondary Level,Part-time,0.47028,54,105,0.37435,0.56621
1984,Bavaria,Lower Secondary Level,Full-time,0.48434,43,43,0.33319,0.63548
1984,Bavaria,Upper Secondary Level,Full-time,0.37402,61,120,0.28708,0.46095
1984,Bavaria,Upper Secondary Level,Part-time,0.35866,59,120,0.27249,0.44484
1985,Lower Saxony,Lower Secondary Level,Full-time,0.74477,38,38,0.60428,0.88526
1985,Lower Saxony,Upper Secondary Level,Full-time,0.46378,40,71,0.34696,0.58061
1985,Lower Saxony,Upper Secondary Level,Part-time,0.38556,31,71,0.27154,0.49958
