year,migback,regtyp,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,Full-time,0.05302,395,791,0.03739,0.06864
1985,No migration background,Urban regions,Part-time,0.03309,272,791,0.02062,0.04556
1985,No migration background,Urban regions,Either,0.00925,68,791,0.00257,0.01593
1985,No migration background,Urban regions,I'm not sure yet,0.00707,56,791,0.00123,0.01291
1985,No migration background,Rural regions,Full-time,0.06147,154,238,0.03089,0.09204
1985,No migration background,Rural regions,Part-time,0.03019,84,238,0.00841,0.05198
1985,Direct migration background,Urban regions,Full-time,0.07671,254,358,0.04910,0.10431
1985,Direct migration background,Urban regions,Part-time,0.04327,104,358,0.02216,0.06438
1985,Direct migration background,Rural regions,Full-time,0.08062,37,37,-0.00831,0.16956
1986,No migration background,Urban regions,Full-time,0.05367,406,793,0.03797,0.06937
1986,No migration background,Urban regions,Part-time,0.03476,271,793,0.02200,0.04752
1986,No migration background,Urban regions,Either,0.00775,60,793,0.00164,0.01385
1986,No migration background,Urban regions,I'm not sure yet,0.00675,56,793,0.00105,0.01245
1986,No migration background,Rural regions,Full-time,0.05443,128,198,0.02275,0.08612
1986,No migration background,Rural regions,Part-time,0.02689,70,198,0.00430,0.04948
1986,Direct migration background,Urban regions,Full-time,0.08004,249,351,0.05161,0.10847
1986,Direct migration background,Urban regions,Part-time,0.03386,102,351,0.01491,0.05281
1986,Direct migration background,Rural regions,Full-time,0.09377,38,38,-0.00016,0.18771
1987,No migration background,Urban regions,Full-time,0.04903,376,813,0.03418,0.06388
1987,No migration background,Urban regions,Part-time,0.03983,296,813,0.02638,0.05328
1987,No migration background,Urban regions,Either,0.01064,79,813,0.00358,0.01770
1987,No migration background,Urban regions,I'm not sure yet,0.00695,62,813,0.00124,0.01266
1987,No migration background,Rural regions,Full-time,0.04752,118,195,0.01758,0.07745
1987,No migration background,Rural regions,Part-time,0.03274,77,195,0.00770,0.05778
1987,Direct migration background,Urban regions,Full-time,0.07015,221,408,0.04534,0.09497
1987,Direct migration background,Urban regions,Part-time,0.04153,100,408,0.02215,0.06091
1987,Direct migration background,Urban regions,Either,0.01789,52,408,0.00501,0.03076
1987,Direct migration background,Urban regions,I'm not sure yet,0.00778,35,408,-0.00076,0.01631
1987,Direct migration background,Rural regions,Full-time,0.08029,34,34,-0.01243,0.17301
1987,Indirect migration background,Urban regions,Full-time,0.01524,34,34,-0.02656,0.05704
1988,No migration background,Urban regions,Full-time,0.04951,354,768,0.03416,0.06486
1988,No migration background,Urban regions,Part-time,0.03985,292,768,0.02601,0.05369
1988,No migration background,Urban regions,Either,0.00977,63,768,0.00281,0.01673
1988,No migration background,Urban regions,I'm not sure yet,0.00787,59,768,0.00162,0.01413
1988,No migration background,Rural regions,Full-time,0.05907,128,199,0.02623,0.09191
1988,No migration background,Rural regions,Part-time,0.03173,71,199,0.00731,0.05614
1988,Direct migration background,Urban regions,Full-time,0.07462,210,385,0.04834,0.10091
1988,Direct migration background,Urban regions,Part-time,0.03619,90,385,0.01751,0.05487
1988,Direct migration background,Urban regions,Either,0.01437,45,385,0.00247,0.02628
1988,Direct migration background,Urban regions,I'm not sure yet,0.01500,40,385,0.00284,0.02715
1988,Direct migration background,Rural regions,Full-time,0.08733,33,33,-0.01049,0.18515
1988,Indirect migration background,Urban regions,Full-time,0.02833,40,40,-0.02374,0.08040
