year,migback,sex,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Full-time,0.76245,352,445,0.72286,0.80204
1984,No migration background,male,Either,0.13275,62,445,0.10119,0.16431
1984,No migration background,male,I'm not sure yet,0.06703,31,445,0.04376,0.09029
1984,No migration background,female,Full-time,0.28960,254,929,0.26042,0.31879
1984,No migration background,female,Part-time,0.53332,507,929,0.50122,0.56541
1984,No migration background,female,Either,0.09808,95,929,0.07894,0.11722
1984,No migration background,female,I'm not sure yet,0.07900,73,929,0.06165,0.09636
1984,Direct migration background,male,Full-time,0.80191,175,175,0.74269,0.86113
1984,Direct migration background,female,Full-time,0.40366,171,400,0.35552,0.45180
1984,Direct migration background,female,Part-time,0.36169,127,400,0.31454,0.40883
1984,Direct migration background,female,Either,0.15279,55,400,0.11748,0.18809
1984,Direct migration background,female,I'm not sure yet,0.08187,47,400,0.05497,0.10877
1985,No migration background,male,Full-time,0.81651,355,418,0.77936,0.85366
1985,No migration background,male,Either,0.08057,32,418,0.05444,0.10669
1985,No migration background,male,I'm not sure yet,0.06764,31,418,0.04353,0.09174
1985,No migration background,female,Full-time,0.32680,194,627,0.29006,0.36354
1985,No migration background,female,Part-time,0.51686,339,627,0.47771,0.55601
1985,No migration background,female,Either,0.09277,55,627,0.07005,0.11550
1985,No migration background,female,I'm not sure yet,0.06357,39,627,0.04445,0.08268
1985,Direct migration background,male,Full-time,0.85912,157,157,0.80453,0.91371
1985,Direct migration background,female,Full-time,0.36222,134,245,0.30191,0.42252
1985,Direct migration background,female,Part-time,0.49568,111,245,0.43295,0.55842
1986,No migration background,male,Full-time,0.84927,335,335,0.81090,0.88764
1986,No migration background,female,Full-time,0.32383,199,631,0.28729,0.36037
1986,No migration background,female,Part-time,0.50563,324,631,0.46659,0.54467
1986,No migration background,female,Either,0.09391,59,631,0.07113,0.11668
1986,No migration background,female,I'm not sure yet,0.07663,49,631,0.05586,0.09741
1986,Direct migration background,male,Full-time,0.91725,165,165,0.87508,0.95942
1986,Direct migration background,female,Full-time,0.40391,122,230,0.34035,0.46746
1986,Direct migration background,female,Part-time,0.43378,108,230,0.36959,0.49797
1987,No migration background,male,Full-time,0.81103,317,349,0.76990,0.85217
1987,No migration background,male,Either,0.08935,32,349,0.05938,0.11931
1987,No migration background,female,Full-time,0.26713,177,660,0.23335,0.30091
