year,age_gr,sampreg,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Full-time,0.60790,721,1193,0.58018,0.63562
1984,17-29 y.,West,Part-time,0.17415,210,1193,0.15262,0.19568
1984,17-29 y.,West,Either,0.13123,154,1193,0.11206,0.15040
1984,17-29 y.,West,I'm not sure yet,0.08672,108,1193,0.07074,0.10269
1984,30-45 y.,West,Full-time,0.22816,176,648,0.19583,0.26050
1984,30-45 y.,West,Part-time,0.62207,361,648,0.58471,0.65943
1984,30-45 y.,West,Either,0.08126,61,648,0.06020,0.10231
1984,30-45 y.,West,I'm not sure yet,0.06851,50,648,0.04905,0.08798
1984,46-65 y.,West,Full-time,0.33508,86,181,0.26612,0.40404
1984,46-65 y.,West,Part-time,0.54221,95,181,0.46943,0.61499
1985,17-29 y.,West,Full-time,0.67945,634,933,0.64949,0.70941
1985,17-29 y.,West,Part-time,0.16437,157,933,0.14058,0.18816
1985,17-29 y.,West,Either,0.08091,70,933,0.06340,0.09842
1985,17-29 y.,West,I'm not sure yet,0.07527,72,933,0.05833,0.09220
1985,30-45 y.,West,Full-time,0.27497,146,401,0.23121,0.31873
1985,30-45 y.,West,Part-time,0.59971,255,401,0.55170,0.64773
1985,46-65 y.,West,Full-time,0.42830,89,158,0.35089,0.50570
1985,46-65 y.,West,Part-time,0.41054,69,158,0.33359,0.48749
1986,17-29 y.,West,Full-time,0.68954,616,894,0.65919,0.71988
1986,17-29 y.,West,Part-time,0.15518,142,894,0.13144,0.17893
1986,17-29 y.,West,Either,0.09019,67,894,0.07140,0.10898
1986,17-29 y.,West,I'm not sure yet,0.06509,69,894,0.04891,0.08127
1986,30-45 y.,West,Full-time,0.30371,143,426,0.25999,0.34743
1986,30-45 y.,West,Part-time,0.56960,249,426,0.52253,0.61667
1986,30-45 y.,West,I'm not sure yet,0.07813,34,426,0.05261,0.10364
1986,46-65 y.,West,Full-time,0.42538,90,163,0.34924,0.50151
1986,46-65 y.,West,Part-time,0.43979,73,163,0.36336,0.51623
1987,17-29 y.,West,Full-time,0.64943,580,883,0.61794,0.68092
1987,17-29 y.,West,Part-time,0.18377,143,883,0.15821,0.20933
1987,17-29 y.,West,Either,0.10271,90,883,0.08268,0.12275
1987,17-29 y.,West,I'm not sure yet,0.06409,70,883,0.04793,0.08025
1987,30-45 y.,West,Full-time,0.24767,118,462,0.20826,0.28707
1987,30-45 y.,West,Part-time,0.58857,261,462,0.54365,0.63349
1987,30-45 y.,West,Either,0.10292,51,462,0.07518,0.13065
1987,30-45 y.,West,I'm not sure yet,0.06084,32,462,0.03902,0.08267
1987,46-65 y.,West,Full-time,0.32970,87,213,0.26642,0.39299
1987,46-65 y.,West,Part-time,0.49014,94,213,0.42285,0.55743
1987,46-65 y.,West,Either,0.12714,32,213,0.08230,0.17199
1988,17-29 y.,West,Full-time,0.66358,567,858,0.63195,0.69521
1988,17-29 y.,West,Part-time,0.17191,140,858,0.14665,0.19717
1988,17-29 y.,West,Either,0.09149,73,858,0.07219,0.11079
1988,17-29 y.,West,I'm not sure yet,0.07302,78,858,0.05560,0.09044
1988,30-45 y.,West,Full-time,0.27493,120,406,0.23145,0.31842
1988,30-45 y.,West,Part-time,0.57520,243,406,0.52706,0.62334
1988,30-45 y.,West,Either,0.10260,43,406,0.07305,0.13215
1988,46-65 y.,West,Full-time,0.34957,85,176,0.27892,0.42021
1988,46-65 y.,West,Part-time,0.47768,91,176,0.40367,0.55169
1989,17-29 y.,West,Full-time,0.66285,500,776,0.62956,0.69613
1989,17-29 y.,West,Part-time,0.18525,144,776,0.15789,0.21260
1989,17-29 y.,West,Either,0.05681,52,776,0.04051,0.07310
