year,sex,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Full-time,0.76817,549,669,0.73617,0.80018
1984,male,Either,0.12437,79,669,0.09935,0.14940
1984,male,I'm not sure yet,0.06706,41,669,0.04809,0.08603
1984,female,Full-time,0.30246,434,1351,0.27796,0.32696
1984,female,Part-time,0.51266,638,1351,0.48600,0.53932
1984,female,Either,0.10414,154,1351,0.08784,0.12043
1984,female,I'm not sure yet,0.08074,125,1351,0.06621,0.09527
1985,male,Full-time,0.82092,525,606,0.79036,0.85147
1985,male,Either,0.07742,43,606,0.05612,0.09871
1985,male,I'm not sure yet,0.06328,38,606,0.04388,0.08269
1985,female,Full-time,0.33174,344,943,0.30167,0.36181
1985,female,Part-time,0.51435,457,943,0.48244,0.54627
1985,female,Either,0.08988,77,943,0.07162,0.10815
1985,female,I'm not sure yet,0.06402,65,943,0.04839,0.07965
1986,male,Full-time,0.85548,513,547,0.82599,0.88497
1986,male,Either,0.05901,34,547,0.03925,0.07878
1986,female,Full-time,0.33561,337,928,0.30521,0.36601
1986,female,Part-time,0.49373,435,928,0.46154,0.52591
1986,female,Either,0.09199,77,928,0.07339,0.11060
1986,female,I'm not sure yet,0.07867,79,928,0.06134,0.09600
1987,male,Full-time,0.81065,489,571,0.77849,0.84282
1987,male,Either,0.08406,47,571,0.06128,0.10684
1987,male,I'm not sure yet,0.05141,35,571,0.03328,0.06954
1987,female,Full-time,0.27290,296,979,0.24498,0.30082
1987,female,Part-time,0.54018,472,979,0.50895,0.57142
1987,female,Either,0.11988,126,979,0.09952,0.14023
1987,female,I'm not sure yet,0.06704,85,979,0.05136,0.08271
1988,male,Full-time,0.83484,485,561,0.80408,0.86559
1988,male,Either,0.06963,37,561,0.04855,0.09071
1988,male,I'm not sure yet,0.05504,39,561,0.03615,0.07393
1988,female,Full-time,0.27885,287,930,0.25001,0.30769
1988,female,Part-time,0.53594,454,930,0.50387,0.56801
1988,female,Either,0.11182,104,930,0.09156,0.13209
1988,female,I'm not sure yet,0.07339,85,930,0.05662,0.09016
1989,male,Full-time,0.81982,409,484,0.78554,0.85409
1989,male,Either,0.06323,33,484,0.04152,0.08493
1989,male,I'm not sure yet,0.09140,42,484,0.06570,0.11710
1989,female,Full-time,0.26516,243,828,0.23508,0.29525
1989,female,Part-time,0.57488,436,828,0.54119,0.60857
1989,female,Either,0.07964,68,828,0.06119,0.09809
1989,female,I'm not sure yet,0.08032,81,828,0.06179,0.09884
1990,male,Full-time,0.71317,80,80,0.61344,0.81291
1990,female,Full-time,0.33318,78,215,0.27002,0.39633
1990,female,Part-time,0.44444,95,215,0.37786,0.51101
1990,female,Either,0.18111,42,215,0.12951,0.23270
1991,male,Full-time,0.76088,480,615,0.72714,0.79462
1991,male,Part-time,0.06260,38,615,0.04344,0.08177
1991,male,Either,0.13023,66,615,0.10360,0.15685
1991,male,I'm not sure yet,0.04629,31,615,0.02967,0.06291
1991,female,Full-time,0.27091,321,1060,0.24414,0.29768
1991,female,Part-time,0.53322,499,1060,0.50317,0.56327
1991,female,Either,0.11390,154,1060,0.09476,0.13303
1991,female,I'm not sure yet,0.08197,86,1060,0.06545,0.09849
1992,male,Full-time,0.80611,545,630,0.77522,0.83701
1992,male,Either,0.06967,45,630,0.04977,0.08956
1992,male,I'm not sure yet,0.07002,40,630,0.05008,0.08996
1992,female,Full-time,0.31656,444,1256,0.29083,0.34230
1992,female,Part-time,0.49021,535,1256,0.46255,0.51787
1992,female,Either,0.12232,176,1256,0.10419,0.14045
1992,female,I'm not sure yet,0.07091,101,1256,0.05671,0.08511
1993,male,Full-time,0.78029,560,672,0.74896,0.81162
1993,male,Either,0.09609,62,672,0.07379,0.11839
1993,male,I'm not sure yet,0.08508,50,672,0.06397,0.10619
1993,female,Full-time,0.31832,425,1234,0.29232,0.34432
1993,female,Part-time,0.46274,509,1234,0.43491,0.49057
1993,female,Either,0.13541,195,1234,0.11631,0.15451
1993,female,I'm not sure yet,0.08353,105,1234,0.06809,0.09898
1994,male,Full-time,0.79508,586,701,0.76518,0.82498
1994,male,Either,0.10467,74,701,0.08199,0.12735
1994,male,I'm not sure yet,0.05916,41,701,0.04168,0.07663
1994,female,Full-time,0.30232,427,1289,0.27724,0.32741
1994,female,Part-time,0.44908,522,1289,0.42191,0.47624
1994,female,Either,0.13705,196,1289,0.11826,0.15583
1994,female,I'm not sure yet,0.11155,144,1289,0.09436,0.12875
1995,male,Full-time,0.80634,614,728,0.77761,0.83507
1995,male,Either,0.09692,75,728,0.07541,0.11843
1995,male,I'm not sure yet,0.05434,39,728,0.03786,0.07082
1995,female,Full-time,0.29179,444,1382,0.26781,0.31576
1995,female,Part-time,0.46402,585,1382,0.43772,0.49033
1995,female,Either,0.16060,234,1382,0.14123,0.17996
1995,female,I'm not sure yet,0.08359,119,1382,0.06899,0.09819
1996,male,Full-time,0.78130,629,753,0.75176,0.81085
1996,male,Either,0.11118,80,753,0.08871,0.13365
1996,male,I'm not sure yet,0.05733,44,753,0.04071,0.07395
1996,female,Full-time,0.26899,415,1358,0.24540,0.29258
1996,female,Part-time,0.47039,562,1358,0.44383,0.49694
1996,female,Either,0.16654,248,1358,0.14671,0.18636
1996,female,I'm not sure yet,0.09409,133,1358,0.07855,0.10962
1997,male,Full-time,0.74453,606,787,0.71404,0.77502
1997,male,Part-time,0.05429,33,787,0.03845,0.07013
1997,male,Either,0.14178,105,787,0.11739,0.16616
1997,male,I'm not sure yet,0.05940,43,787,0.04287,0.07592
1997,female,Full-time,0.27743,386,1333,0.25339,0.30148
1997,female,Part-time,0.45678,584,1333,0.43003,0.48354
1997,female,Either,0.17450,253,1333,0.15412,0.19489
1997,female,I'm not sure yet,0.09128,110,1333,0.07581,0.10675
1998,male,Full-time,0.72331,646,849,0.69320,0.75342
1998,male,Part-time,0.04749,31,849,0.03318,0.06181
1998,male,Either,0.15737,114,849,0.13286,0.18188
1998,male,I'm not sure yet,0.07183,58,849,0.05445,0.08921
1998,female,Full-time,0.28304,394,1377,0.25924,0.30684
1998,female,Part-time,0.46075,607,1377,0.43442,0.48709
1998,female,Either,0.16654,239,1377,0.14685,0.18622
1998,female,I'm not sure yet,0.08967,137,1377,0.07457,0.10477
1999,male,Full-time,0.72519,529,676,0.69152,0.75887
1999,male,Either,0.16275,103,676,0.13490,0.19059
1999,male,I'm not sure yet,0.07278,44,676,0.05319,0.09238
1999,female,Full-time,0.29440,371,1227,0.26889,0.31991
1999,female,Part-time,0.45065,506,1227,0.42279,0.47850
1999,female,Either,0.15341,208,1227,0.13323,0.17358
1999,female,I'm not sure yet,0.10155,142,1227,0.08464,0.11845
2000,male,Full-time,0.75616,924,1204,0.73189,0.78042
2000,male,Part-time,0.04944,52,1204,0.03719,0.06169
2000,male,Either,0.12867,153,1204,0.10975,0.14759
2000,male,I'm not sure yet,0.06573,75,1204,0.05173,0.07974
2000,female,Full-time,0.28055,652,2170,0.26164,0.29946
2000,female,Part-time,0.46353,985,2170,0.44255,0.48452
2000,female,Either,0.16360,341,2170,0.14803,0.17917
