year,migback,pgisced97,plb0240,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Pre-primary Level,Full-time,1.00000,108,1582,1.00000,1.00000
1984,No migration background,Lower Secondary Level,Full-time,0.51988,181,1582,0.51913,0.52063
1984,No migration background,Lower Secondary Level,Part-time,0.36966,137,1582,0.36894,0.37039
1984,No migration background,Lower Secondary Level,Either,0.11046,41,1582,0.10999,0.11093
1984,No migration background,Upper Secondary Level,Full-time,0.38102,252,1582,0.38049,0.38154
1984,No migration background,Upper Secondary Level,Part-time,0.42640,309,1582,0.42586,0.42694
1984,No migration background,Upper Secondary Level,Either,0.11215,79,1582,0.11180,0.11249
1984,No migration background,Upper Secondary Level,I'm not sure yet,0.08044,56,1582,0.08014,0.08073
1984,No migration background,First Stage of Tertiary Education,Part-time,1.00000,37,1582,1.00000,1.00000
1984,Direct migration background,Primary Level,Full-time,1.00000,84,1582,1.00000,1.00000
1984,Direct migration background,Lower Secondary Level,Full-time,0.66654,111,1582,0.66440,0.66869
1984,Direct migration background,Lower Secondary Level,Part-time,0.33346,47,1582,0.33131,0.33560
1984,Direct migration background,Upper Secondary Level,Full-time,0.59351,99,1582,0.59149,0.59554
1984,Direct migration background,Upper Secondary Level,Part-time,0.40649,41,1582,0.40446,0.40851
1985,No migration background,Pre-primary Level,Full-time,1.00000,84,1142,1.00000,1.00000
1985,No migration background,Lower Secondary Level,Full-time,0.72225,173,1142,0.72148,0.72302
1985,No migration background,Lower Secondary Level,Part-time,0.27775,74,1142,0.27698,0.27852
1985,No migration background,Upper Secondary Level,Full-time,0.46896,223,1142,0.46835,0.46958
1985,No migration background,Upper Secondary Level,Part-time,0.39157,207,1142,0.39097,0.39217
1985,No migration background,Upper Secondary Level,Either,0.07895,39,1142,0.07862,0.07929
1985,No migration background,Upper Secondary Level,I'm not sure yet,0.06051,32,1142,0.06022,0.06080
1985,Direct migration background,Primary Level,Full-time,1.00000,76,1142,1.00000,1.00000
1985,Direct migration background,Lower Secondary Level,Full-time,0.66327,94,1142,0.66095,0.66559
1985,Direct migration background,Lower Secondary Level,Part-time,0.33673,36,1142,0.33441,0.33905
1985,Direct migration background,Upper Secondary Level,Full-time,0.55611,72,1142,0.55394,0.55828
1985,Direct migration background,Upper Secondary Level,Part-time,0.44389,32,1142,0.44172,0.44606
1986,No migration background,Pre-primary Level,Full-time,1.00000,81,1089,1.00000,1.00000
1986,No migration background,Lower Secondary Level,Full-time,0.73682,158,1089,0.73601,0.73762
1986,No migration background,Lower Secondary Level,Part-time,0.26318,61,1089,0.26238,0.26399
1986,No migration background,Upper Secondary Level,Full-time,0.49361,225,1089,0.49299,0.49422
1986,No migration background,Upper Secondary Level,Part-time,0.43530,214,1089,0.43469,0.43591
1986,No migration background,Upper Secondary Level,Either,0.07109,37,1089,0.07077,0.07140
1986,Direct migration background,Primary Level,Full-time,1.00000,63,1089,1.00000,1.00000
1986,Direct migration background,Lower Secondary Level,Full-time,0.77405,98,1089,0.77211,0.77600
1986,Direct migration background,Lower Secondary Level,Part-time,0.22595,37,1089,0.22400,0.22789
1986,Direct migration background,Upper Secondary Level,Full-time,0.63522,76,1089,0.63322,0.63722
1986,Direct migration background,Upper Secondary Level,Part-time,0.36478,39,1089,0.36278,0.36678
1987,No migration background,Pre-primary Level,Full-time,1.00000,80,1073,1.00000,1.00000
1987,No migration background,Lower Secondary Level,Full-time,0.65424,138,1073,0.65332,0.65516
1987,No migration background,Lower Secondary Level,Part-time,0.34576,68,1073,0.34484,0.34668
1987,No migration background,Upper Secondary Level,Full-time,0.44449,215,1073,0.44390,0.44508
1987,No migration background,Upper Secondary Level,Part-time,0.46358,236,1073,0.46299,0.46417
1987,No migration background,Upper Secondary Level,Either,0.09193,50,1073,0.09159,0.09228
1987,Direct migration background,Primary Level,Full-time,1.00000,49,1073,1.00000,1.00000
1987,Direct migration background,Lower Secondary Level,Full-time,0.69304,108,1073,0.69102,0.69505
1987,Direct migration background,Lower Secondary Level,Part-time,0.30696,39,1073,0.30495,0.30898
1987,Direct migration background,Upper Secondary Level,Full-time,0.53092,56,1073,0.52886,0.53299
1987,Direct migration background,Upper Secondary Level,Part-time,0.46908,34,1073,0.46701,0.47114
