year,sampreg,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Full-time,0.46319,983,2048,0.44159,0.48479
1984,West,Part-time,0.34967,666,2048,0.32901,0.37033
1984,West,Either,0.11112,233,2048,0.09751,0.12474
1984,West,I'm not sure yet,0.07602,166,2048,0.06454,0.08750
1985,West,Full-time,0.53640,869,1573,0.51175,0.56105
1985,West,Part-time,0.31522,481,1573,0.29225,0.33819
1985,West,Either,0.08467,120,1573,0.07091,0.09843
1985,West,I'm not sure yet,0.06371,103,1573,0.05164,0.07579
1986,West,Full-time,0.54176,850,1534,0.51682,0.56670
1986,West,Part-time,0.31426,464,1534,0.29102,0.33750
1986,West,Either,0.07891,111,1534,0.06542,0.09241
1986,West,I'm not sure yet,0.06506,109,1534,0.05272,0.07741
1987,West,Full-time,0.47396,785,1577,0.44930,0.49861
1987,West,Part-time,0.35836,499,1577,0.33469,0.38204
1987,West,Either,0.10649,173,1577,0.09126,0.12172
1987,West,I'm not sure yet,0.06119,120,1577,0.04936,0.07303
1988,West,Full-time,0.49828,772,1511,0.47306,0.52350
1988,West,Part-time,0.34040,474,1511,0.31650,0.36430
1988,West,Either,0.09517,141,1511,0.08037,0.10997
1988,West,I'm not sure yet,0.06615,124,1511,0.05361,0.07868
1989,West,Full-time,0.48417,652,1323,0.45723,0.51111
1989,West,Part-time,0.35798,447,1323,0.33214,0.38382
1989,West,Either,0.07316,101,1323,0.05912,0.08720
1989,West,I'm not sure yet,0.08469,123,1323,0.06968,0.09970
1990,East,Full-time,0.46219,158,308,0.40642,0.51796
1990,East,Part-time,0.32723,101,308,0.27474,0.37972
1990,East,Either,0.15423,49,308,0.11383,0.19463
1991,West,Full-time,0.43907,531,1153,0.41041,0.46773
1991,West,Part-time,0.39412,420,1153,0.36590,0.42234
1991,West,Either,0.09289,110,1153,0.07613,0.10965
1991,West,I'm not sure yet,0.07392,92,1153,0.05881,0.08903
1991,East,Full-time,0.49912,270,497,0.45511,0.54312
1991,East,Part-time,0.23747,117,497,0.20002,0.27492
1991,East,Either,0.21238,110,497,0.17639,0.24838
1992,West,Full-time,0.44902,568,1232,0.42124,0.47681
1992,West,Part-time,0.39349,456,1232,0.36620,0.42078
1992,West,Either,0.07474,94,1232,0.06005,0.08943
1992,West,I'm not sure yet,0.08275,114,1232,0.06736,0.09814
1992,East,Full-time,0.62416,421,657,0.58709,0.66122
1992,East,Part-time,0.15880,109,657,0.13083,0.18676
1992,East,Either,0.17935,127,657,0.14999,0.20871
1993,West,Full-time,0.44171,570,1264,0.41432,0.46910
1993,West,Part-time,0.36184,442,1264,0.33534,0.38834
1993,West,Either,0.09503,119,1264,0.07886,0.11120
1993,West,I'm not sure yet,0.10142,133,1264,0.08477,0.11807
1993,East,Full-time,0.63592,415,642,0.59867,0.67317
1993,East,Part-time,0.13555,89,642,0.10905,0.16205
1993,East,Either,0.19404,138,642,0.16342,0.22465
1994,West,Full-time,0.45482,617,1352,0.42826,0.48137
1994,West,Part-time,0.34434,457,1352,0.31900,0.36968
1994,West,Either,0.09632,131,1352,0.08059,0.11206
1994,West,I'm not sure yet,0.10452,147,1352,0.08821,0.12083
1994,East,Full-time,0.59149,396,668,0.55419,0.62880
1994,East,Part-time,0.14417,95,668,0.11751,0.17083
1994,East,Either,0.21147,139,668,0.18048,0.24246
1994,East,I'm not sure yet,0.05286,38,668,0.03588,0.06985
1995,West,Full-time,0.45276,704,1530,0.42781,0.47771
1995,West,Part-time,0.34870,512,1530,0.32481,0.37259
1995,West,Either,0.11691,187,1530,0.10081,0.13302
1995,West,I'm not sure yet,0.08163,127,1530,0.06790,0.09535
1995,East,Full-time,0.57426,354,605,0.53483,0.61369
1995,East,Part-time,0.16900,98,605,0.13911,0.19889
1995,East,Either,0.21675,122,605,0.18389,0.24961
1995,East,I'm not sure yet,0.03999,31,605,0.02437,0.05562
1996,West,Full-time,0.42660,659,1483,0.40142,0.45178
1996,West,Part-time,0.36438,501,1483,0.33988,0.38888
1996,West,Either,0.11600,180,1483,0.09970,0.13230
1996,West,I'm not sure yet,0.09302,143,1483,0.07823,0.10781
1996,East,Full-time,0.55641,385,656,0.51837,0.59446
1996,East,Part-time,0.15346,89,656,0.12586,0.18107
1996,East,Either,0.25240,148,656,0.21914,0.28567
1996,East,I'm not sure yet,0.03772,34,656,0.02313,0.05231
1997,West,Full-time,0.43020,643,1480,0.40497,0.45544
1997,West,Part-time,0.35237,525,1480,0.32802,0.37671
1997,West,Either,0.13069,198,1480,0.11351,0.14787
