,Unnamed: 0,year,pgisced97,quintil_oecd,plb0240,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Pre-primary Level,2nd Quintile,Full-time,1.0,33,1286,0.87571,1.11125
1,1,1984,Primary Level,1st Quintile,Full-time,1.0,57,1286,0.75727,1.26868
2,2,1984,Lower Secondary Level,1st Quintile,Full-time,0.41053,104,1286,0.34279,0.47458
3,3,1984,Lower Secondary Level,1st Quintile,Part-time,0.45525,90,1286,0.41488,0.4977
4,4,1984,Lower Secondary Level,1st Quintile,Either,0.13422,36,1286,0.09655,0.16964
5,5,1984,Lower Secondary Level,2nd Quintile,Full-time,0.61131,73,1286,0.51061,0.695
6,6,1984,Lower Secondary Level,2nd Quintile,Part-time,0.38869,45,1286,0.31542,0.45657
7,7,1984,Lower Secondary Level,3rd Quintile,Full-time,1.0,55,1286,0.83544,1.16012
8,8,1984,Lower Secondary Level,4th Quintile,Full-time,1.0,43,1286,0.84514,1.13603
9,9,1984,Upper Secondary Level,1st Quintile,Full-time,0.46307,119,1286,0.39981,0.52962
10,10,1984,Upper Secondary Level,1st Quintile,Part-time,0.35789,77,1286,0.32423,0.38995
11,11,1984,Upper Secondary Level,1st Quintile,Either,0.17904,37,1286,0.15353,0.20383
12,12,1984,Upper Secondary Level,2nd Quintile,Full-time,0.44979,86,1286,0.39024,0.50482
13,13,1984,Upper Secondary Level,2nd Quintile,Part-time,0.55021,95,1286,0.51745,0.57824
14,14,1984,Upper Secondary Level,3rd Quintile,Full-time,0.43613,62,1286,0.38951,0.49426
15,15,1984,Upper Secondary Level,3rd Quintile,Part-time,0.56387,76,1286,0.52689,0.59512
16,16,1984,Upper Secondary Level,4th Quintile,Full-time,0.48836,58,1286,0.43327,0.54089
17,17,1984,Upper Secondary Level,4th Quintile,Part-time,0.51164,59,1286,0.47312,0.54505
18,18,1984,Upper Secondary Level,5th Quintile,Full-time,0.42417,36,1286,0.36667,0.4713
19,19,1984,Upper Secondary Level,5th Quintile,Part-time,0.57583,45,1286,0.54544,0.60202
20,20,1985,Primary Level,1st Quintile,Full-time,1.0,45,902,0.69369,1.35911
21,21,1985,Lower Secondary Level,1st Quintile,Full-time,0.63985,107,902,0.53413,0.7324
22,22,1985,Lower Secondary Level,1st Quintile,Part-time,0.36015,59,902,0.30583,0.4174
23,23,1985,Lower Secondary Level,2nd Quintile,Full-time,0.61079,55,902,0.50649,0.73033
24,24,1985,Lower Secondary Level,2nd Quintile,Part-time,0.38921,32,902,0.32218,0.44967
25,25,1985,Lower Secondary Level,3rd Quintile,Full-time,1.0,57,902,0.86944,1.12475
26,26,1985,Lower Secondary Level,4th Quintile,Full-time,1.0,33,902,0.79026,1.20465
27,27,1985,Upper Secondary Level,1st Quintile,Full-time,0.65511,112,902,0.5628,0.73899
28,28,1985,Upper Secondary Level,1st Quintile,Part-time,0.34489,55,902,0.30482,0.38237
29,29,1985,Upper Secondary Level,2nd Quintile,Full-time,0.47185,65,902,0.41119,0.52497
30,30,1985,Upper Secondary Level,2nd Quintile,Part-time,0.52815,71,902,0.49286,0.55853
31,31,1985,Upper Secondary Level,3rd Quintile,Full-time,0.55049,58,902,0.46622,0.62706
32,32,1985,Upper Secondary Level,3rd Quintile,Part-time,0.44951,47,902,0.4108,0.48437
33,33,1985,Upper Secondary Level,4th Quintile,Full-time,0.52652,40,902,0.45526,0.59858
34,34,1985,Upper Secondary Level,4th Quintile,Part-time,0.47348,35,902,0.42752,0.52209
35,35,1985,Upper Secondary Level,5th Quintile,Part-time,1.0,31,902,0.94996,1.05495
36,36,1986,Primary Level,1st Quintile,Full-time,1.0,34,880,0.61676,1.53968
37,37,1986,Lower Secondary Level,1st Quintile,Full-time,0.71171,99,880,0.59093,0.83456
