year,age_gr,pgisced97,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Full-time,0.74791,125,125,0.67149,0.82434
1984,17-29 y.,Primary Level,Full-time,0.69170,57,57,0.57075,0.81265
1984,17-29 y.,Lower Secondary Level,Full-time,0.66292,236,344,0.61289,0.71295
1984,17-29 y.,Lower Secondary Level,Part-time,0.14966,59,344,0.11191,0.18741
1984,17-29 y.,Lower Secondary Level,Either,0.12752,49,344,0.09222,0.16282
1984,17-29 y.,Upper Secondary Level,Full-time,0.51789,243,460,0.47218,0.56361
1984,17-29 y.,Upper Secondary Level,Part-time,0.24139,112,460,0.20225,0.28054
1984,17-29 y.,Upper Secondary Level,Either,0.15121,66,460,0.11844,0.18399
1984,17-29 y.,Upper Secondary Level,I'm not sure yet,0.08950,39,460,0.06339,0.11562
1984,30-45 y.,Lower Secondary Level,Full-time,0.21003,38,128,0.13918,0.28087
1984,30-45 y.,Lower Secondary Level,Part-time,0.66657,90,128,0.58458,0.74856
1984,30-45 y.,Upper Secondary Level,Full-time,0.21966,89,291,0.17201,0.26731
1984,30-45 y.,Upper Secondary Level,Part-time,0.62435,202,291,0.56861,0.68009
1984,46-65 y.,Lower Secondary Level,Part-time,0.55588,37,37,0.39357,0.71819
1984,46-65 y.,Upper Secondary Level,Full-time,0.37525,33,71,0.26182,0.48868
1984,46-65 y.,Upper Secondary Level,Part-time,0.54378,38,71,0.42710,0.66047
1985,17-29 y.,Pre-primary Level,Full-time,0.78288,105,105,0.70364,0.86211
1985,17-29 y.,Primary Level,Full-time,0.57440,42,42,0.42305,0.72574
1985,17-29 y.,Lower Secondary Level,Full-time,0.78927,222,254,0.73901,0.83952
1985,17-29 y.,Lower Secondary Level,Part-time,0.08721,32,254,0.05244,0.12198
1985,17-29 y.,Upper Secondary Level,Full-time,0.59842,199,281,0.54100,0.65584
1985,17-29 y.,Upper Secondary Level,Part-time,0.25422,82,281,0.20322,0.30522
1985,30-45 y.,Lower Secondary Level,Full-time,0.26944,32,92,0.17828,0.36059
1985,30-45 y.,Lower Secondary Level,Part-time,0.62872,60,92,0.52945,0.72799
1985,30-45 y.,Upper Secondary Level,Full-time,0.28879,69,198,0.22550,0.35208
1985,30-45 y.,Upper Secondary Level,Part-time,0.58795,129,198,0.51922,0.65668
