"plh0196","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Leute sind hilfsbereit","2003","(noch) kein Abschluss","Staedtischer Raum","244","0.35905912619011","0.321479462143233","0.396638790236986"
"Leute sind hilfsbereit","2003","(noch) kein Abschluss","Laendlicher Raum","98","0.399405123719375","0.339525487021251","0.4592847604175"
"Leute sind hilfsbereit","2003","Hauptschule","Staedtischer Raum","2103","0.383020735217894","0.370099178100521","0.395942292335266"
"Leute sind hilfsbereit","2003","Hauptschule","Laendlicher Raum","1092","0.392838867018416","0.375051649398622","0.41062608463821"
"Leute sind hilfsbereit","2003","Realschule","Staedtischer Raum","1132","0.326553306324194","0.310792681525315","0.342313931123073"
"Leute sind hilfsbereit","2003","Realschule","Laendlicher Raum","630","0.274947063643846","0.25672372942194","0.293170397865753"
"Leute sind hilfsbereit","2003","(Fach-)Abitur","Staedtischer Raum","593","0.32612577281355","0.304546779870892","0.347704765756208"
"Leute sind hilfsbereit","2003","(Fach-)Abitur","Laendlicher Raum","155","0.28266984972877","0.2454078681343","0.31993183132324"
"Leute sind hilfsbereit","2003","AkademikerIn","Staedtischer Raum","1234","0.407887154091685","0.390380057167404","0.425394251015966"
"Leute sind hilfsbereit","2003","AkademikerIn","Laendlicher Raum","456","0.357890241254015","0.331399913366415","0.384380569141615"
"Leute verfolgen Eigeninteresse","2003","(noch) kein Abschluss","Staedtischer Raum","382","0.64094087380989","0.603361209763014","0.678520537856767"
"Leute verfolgen Eigeninteresse","2003","(noch) kein Abschluss","Laendlicher Raum","159","0.600594876280625","0.5407152395825","0.660474512978749"
"Leute verfolgen Eigeninteresse","2003","Hauptschule","Staedtischer Raum","3334","0.616979264782106","0.604057707664734","0.629900821899479"
"Leute verfolgen Eigeninteresse","2003","Hauptschule","Laendlicher Raum","1804","0.607161132981584","0.58937391536179","0.624948350601378"
"Leute verfolgen Eigeninteresse","2003","Realschule","Staedtischer Raum","2269","0.673446693675806","0.657686068876926","0.689207318474685"
"Leute verfolgen Eigeninteresse","2003","Realschule","Laendlicher Raum","1676","0.725052936356154","0.706829602134247","0.74327627057806"
