year,sex,plh0196,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,male,People usually try to be helpful,0.3398997880396278,3649,21835,0.33973719823350773,0.34006237784574783
2003,male,People usually only pursue their own interests,0.6601002119603723,6893,21835,0.6599376221542522,0.6602628017664923
2003,female,People usually try to be helpful,0.378904367724379,4182,21835,0.378742019866924,0.379066715581834
2003,female,People usually only pursue their own interests,0.621095632275621,7111,21835,0.6209332844181661,0.621257980133076
2008,male,People usually try to be helpful,0.34443770665229945,3248,19029,0.34427490418596407,0.3446005091186348
2008,male,People usually only pursue their own interests,0.6555622933477006,5830,19029,0.6553994908813652,0.6557250958140359
2008,female,People usually try to be helpful,0.3905366249748155,3968,19029,0.39037399745755785,0.39069925249207316
2008,female,People usually only pursue their own interests,0.6094633750251844,5983,19029,0.6093007475079268,0.609626002542442
2013,male,People usually try to be helpful,0.4107595631568729,4780,25013,0.41057999632595665,0.41093912998778914
2013,male,People usually only pursue their own interests,0.5892404368431271,6535,25013,0.5890608700122109,0.5894200036740433
2013,female,People usually try to be helpful,0.45133377418632015,6217,25013,0.4511580707196797,0.45150947765296057
2013,female,People usually only pursue their own interests,0.5486662258136799,7481,25013,0.5484905223470394,0.5488419292803203
2018,male,People usually try to be helpful,0.45338282865046425,6165,28104,0.45321301947098186,0.45355263782994665
2018,male,People usually only pursue their own interests,0.5466171713495358,7165,28104,0.5464473621700534,0.5467869805290182
2018,female,People usually try to be helpful,0.47463993426014256,7050,28104,0.4744729608849328,0.4748069076353523
2018,female,People usually only pursue their own interests,0.5253600657398574,7724,28104,0.5251930923646476,0.5255270391150672
