"plh0196","year","quintil_oecd","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Leute sind hilfsbereit","2003","1 Einkommensschwächstes Quintil","Westdeutschland","970","0.347996180572602","0.330333882947354","0.36565847819785"
"Leute sind hilfsbereit","2003","1 Einkommensschwächstes Quintil","Ostdeutschland","335","0.225942984291351","0.204462042933674","0.247423925649028"
"Leute sind hilfsbereit","2003","2","Westdeutschland","1330","0.376199139234995","0.360229861815216","0.392168416654774"
"Leute sind hilfsbereit","2003","2","Ostdeutschland","470","0.320436468689293","0.296789891013753","0.344083046364833"
"Leute sind hilfsbereit","2003","3","Westdeutschland","1182","0.378265083472143","0.361412479593128","0.395117687351158"
"Leute sind hilfsbereit","2003","3","Ostdeutschland","392","0.339640197182547","0.31184239153973","0.367438002825364"
"Leute sind hilfsbereit","2003","4","Westdeutschland","1266","0.370184369204945","0.354141788789089","0.3862269496208"
"Leute sind hilfsbereit","2003","4","Ostdeutschland","266","0.349043650085049","0.316136037575207","0.381951262594891"
"Leute sind hilfsbereit","2003","5 Einkommensstärkstes Quintil","Westdeutschland","1487","0.405456524572986","0.389341856030854","0.421571193115118"
"Leute sind hilfsbereit","2003","5 Einkommensstärkstes Quintil","Ostdeutschland","133","0.356812323925544","0.310213618189448","0.403411029661639"
"Leute verfolgen Eigeninteresse","2003","1 Einkommensschwächstes Quintil","Westdeutschland","1824","0.652003819427398","0.63434152180215","0.669666117052646"
"Leute verfolgen Eigeninteresse","2003","1 Einkommensschwächstes Quintil","Ostdeutschland","1121","0.774057015708649","0.752576074350972","0.795537957066326"
"Leute verfolgen Eigeninteresse","2003","2","Westdeutschland","2205","0.623800860765005","0.607831583345226","0.639770138184784"
"Leute verfolgen Eigeninteresse","2003","2","Ostdeutschland","1026","0.679563531310707","0.655916953635167","0.703210108986247"
"Leute verfolgen Eigeninteresse","2003","3","Westdeutschland","1999","0.621734916527857","0.604882312648842","0.638587520406872"
"Leute verfolgen Eigeninteresse","2003","3","Ostdeutschland","723","0.660359802817453","0.632561997174636","0.68815760846027"
"Leute verfolgen Eigeninteresse","2003","4","Westdeutschland","2214","0.629815630795055","0.6137730503792","0.645858211210911"
"Leute verfolgen Eigeninteresse","2003","4","Ostdeutschland","540","0.650956349914951","0.618048737405109","0.683863962424793"
"Leute verfolgen Eigeninteresse","2003","5 Einkommensstärkstes Quintil","Westdeutschland","2079","0.594543475427014","0.578428806884882","0.610658143969146"
"Leute verfolgen Eigeninteresse","2003","5 Einkommensstärkstes Quintil","Ostdeutschland","273","0.643187676074456","0.59658897033836","0.689786381810552"
"Leute sind hilfsbereit","2004","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Leute sind hilfsbereit","2004","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2004","2","Westdeutschland","","","",""
"Leute sind hilfsbereit","2004","2","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2004","3","Westdeutschland","","","",""
"Leute sind hilfsbereit","2004","3","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2004","4","Westdeutschland","","","",""
"Leute sind hilfsbereit","2004","4","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2004","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Leute sind hilfsbereit","2004","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2004","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2004","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2004","2","Westdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2004","2","Ostdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2004","3","Westdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2004","3","Ostdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2004","4","Westdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2004","4","Ostdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2004","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2004","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2005","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Leute sind hilfsbereit","2005","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2005","2","Westdeutschland","","","",""
"Leute sind hilfsbereit","2005","2","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2005","3","Westdeutschland","","","",""
"Leute sind hilfsbereit","2005","3","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2005","4","Westdeutschland","","","",""
"Leute sind hilfsbereit","2005","4","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2005","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Leute sind hilfsbereit","2005","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2005","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2005","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2005","2","Westdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2005","2","Ostdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2005","3","Westdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2005","3","Ostdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2005","4","Westdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2005","4","Ostdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2005","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2005","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2006","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Leute sind hilfsbereit","2006","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2006","2","Westdeutschland","","","",""
"Leute sind hilfsbereit","2006","2","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2006","3","Westdeutschland","","","",""
"Leute sind hilfsbereit","2006","3","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2006","4","Westdeutschland","","","",""
"Leute sind hilfsbereit","2006","4","Ostdeutschland","","","",""
"Leute sind hilfsbereit","2006","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Leute sind hilfsbereit","2006","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2006","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2006","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Leute verfolgen Eigeninteresse","2006","2","Westdeutschland","","","",""
