"plh0196","year","migback","n","percent","lower_confidence","upper_confidence","NA"
"Leute sind hilfsbereit","2003","kein Migrationshintergrund","6619","0.361377621789136","0.354456212902463","0.368299030675809",""
"Leute sind hilfsbereit","2003","direkter Migrationshintergrund","952","0.363388034853235","0.344752766194378","0.382023303512091",""
"Leute sind hilfsbereit","2003","indirekter Migrationshintergrund","260","0.303807148042018","0.271323372396051","0.336290923687985",""
"Leute sind hilfsbereit","2003","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2003","kein Migrationshintergrund","11887","0.638622378210864","0.631700969324191","0.645543787097537",""
"Leute verfolgen Eigeninteresse","2003","direkter Migrationshintergrund","1607","0.636611965146765","0.617976696487909","0.655247233805622",""
"Leute verfolgen Eigeninteresse","2003","indirekter Migrationshintergrund","510","0.696192851957982","0.663709076312015","0.728676627603948",""
"Leute verfolgen Eigeninteresse","2003","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2004","kein Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2004","direkter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2004","indirekter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2004","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2004","kein Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2004","direkter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2004","indirekter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2004","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2005","kein Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2005","direkter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2005","indirekter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2005","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2005","kein Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2005","direkter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2005","indirekter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2005","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2006","kein Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2006","direkter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2006","indirekter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2006","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2006","kein Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2006","direkter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2006","indirekter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2006","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2007","kein Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2007","direkter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2007","indirekter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2007","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2007","kein Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2007","direkter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2007","indirekter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2007","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2008","kein Migrationshintergrund","6264","0.374203901342764","0.366798807700401","0.381608994985127",""
"Leute sind hilfsbereit","2008","direkter Migrationshintergrund","697","0.357738067711946","0.336012758971406","0.379463376452487",""
