year,regtyp,plh0196,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,Urban regions,People usually try to be helpful,0.3668252334676324,5389,21835,0.3666854067794809,0.3669650601557839
2003,Urban regions,People usually only pursue their own interests,0.6331747665323676,9125,21835,0.6330349398442161,0.6333145932205191
2003,Rural regions,People usually try to be helpful,0.3450295468538334,2442,21835,0.3448275162198974,0.34523157748776945
2003,Rural regions,People usually only pursue their own interests,0.6549704531461666,4879,21835,0.6547684225122306,0.6551724837801027
2008,Urban regions,People usually try to be helpful,0.376330140218338,4904,19029,0.37618966116237074,0.37647061927430525
2008,Urban regions,People usually only pursue their own interests,0.6236698597816621,7561,19029,0.6235293807256949,0.6238103388376294
2008,Rural regions,People usually try to be helpful,0.3507597668021936,2312,19029,0.35055856876917524,0.350960964835212
2008,Rural regions,People usually only pursue their own interests,0.6492402331978063,4252,19029,0.6490390351647879,0.6494414312308248
2013,Urban regions,People usually try to be helpful,0.43245061426100084,6975,25013,0.43229566101350403,0.43260556750849766
2013,Urban regions,People usually only pursue their own interests,0.5675493857389992,8879,25013,0.5673944324915023,0.567704338986496
2013,Rural regions,People usually try to be helpful,0.430310866571351,4022,25013,0.43009591345367876,0.4305258196890232
2013,Rural regions,People usually only pursue their own interests,0.569689133428649,5137,25013,0.5694741803109767,0.5699040865463213
2018,Urban regions,People usually try to be helpful,0.4668839818387349,8804,28104,0.46674037330214097,0.46702759037532887
2018,Urban regions,People usually only pursue their own interests,0.533116018161265,9721,28104,0.5329724096246711,0.5332596266978589
2018,Rural regions,People usually try to be helpful,0.458351512588911,4411,28104,0.4581384619425683,0.4585645632352537
2018,Rural regions,People usually only pursue their own interests,0.541648487411089,5168,28104,0.5414354367647463,0.5418615380574316
