"plh0196","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Leute sind hilfsbereit","2003","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","102","0.369540673227341","0.312801193025965","0.426280153428718"
"Leute sind hilfsbereit","2003","(noch) kein Abschluss","2","90","0.345171517616848","0.28191584461815","0.408427190615546"
"Leute sind hilfsbereit","2003","(noch) kein Abschluss","3","62","0.464836787931353","0.383373822260942","0.546299753601763"
"Leute sind hilfsbereit","2003","(noch) kein Abschluss","4","37","0.247796629451784","0.173004062109691","0.322589196793877"
"Leute sind hilfsbereit","2003","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","51","0.400298285436354","0.311136530771028","0.48946004010168"
"Leute sind hilfsbereit","2003","Hauptschule","1 Einkommensschwächstes Quintil","694","0.336069939017852","0.31580418035638","0.356335697679323"
"Leute sind hilfsbereit","2003","Hauptschule","2","982","0.408648911341319","0.389254643600677","0.428043179081961"
"Leute sind hilfsbereit","2003","Hauptschule","3","704","0.397953062894725","0.375059312858321","0.420846812931128"
"Leute sind hilfsbereit","2003","Hauptschule","4","541","0.412952786115544","0.386975411115909","0.43893016111518"
"Leute sind hilfsbereit","2003","Hauptschule","5 Einkommensstärkstes Quintil","274","0.389975251272136","0.352246465575697","0.427704036968576"
"Leute sind hilfsbereit","2003","Realschule","1 Einkommensschwächstes Quintil","261","0.25154643024194","0.22553580752381","0.27755705296007"
"Leute sind hilfsbereit","2003","Realschule","2","421","0.300150863049268","0.275837010463964","0.324464715634573"
"Leute sind hilfsbereit","2003","Realschule","3","401","0.337429735247809","0.310983944702994","0.363875525792623"
"Leute sind hilfsbereit","2003","Realschule","4","352","0.298074363499051","0.271898142428628","0.324250584569474"
"Leute sind hilfsbereit","2003","Realschule","5 Einkommensstärkstes Quintil","327","0.377621895230176","0.345444892657347","0.409798897803004"
"Leute sind hilfsbereit","2003","(Fach-)Abitur","1 Einkommensschwächstes Quintil","124","0.285397775854511","0.242513234925832","0.328282316783189"
"Leute sind hilfsbereit","2003","(Fach-)Abitur","2","138","0.307274675889694","0.26515921621518","0.349390135564209"
"Leute sind hilfsbereit","2003","(Fach-)Abitur","3","139","0.280743017953271","0.240585017698172","0.32090101820837"
"Leute sind hilfsbereit","2003","(Fach-)Abitur","4","169","0.34915220891976","0.307860750248668","0.390443667590852"
"Leute sind hilfsbereit","2003","(Fach-)Abitur","5 Einkommensstärkstes Quintil","178","0.38838946261765","0.34541051120962","0.43136841402568"
"Leute sind hilfsbereit","2003","AkademikerIn","1 Einkommensschwächstes Quintil","91","0.350892275408376","0.296339139759548","0.405445411057204"
"Leute sind hilfsbereit","2003","AkademikerIn","2","148","0.345571473688346","0.301923335548228","0.389219611828464"
"Leute sind hilfsbereit","2003","AkademikerIn","3","252","0.396892700349775","0.359222803041651","0.434562597657898"
